store_id,revenue,orders,customers,avg_order,store_name,city,province,region,store_format,opening_date,closing_date,floor_area_sqm,store_status,revenue_per_sqm,orders_per_sqm,performance_cluster
STR-015,83794.89,343,340,244.29997084548106,Aurelia Durban 15,Durban,KwaZulu-Natal,Coastal,Compact,2012-04-28,,2325,Active,36.040812903225806,0.1475268817204301,1
STR-016,94283.65,356,352,264.84171348314607,Aurelia Cape Town 16,Cape Town,Western Cape,Coastal,Standard,2021-03-20,,1174,Active,80.30975298126064,0.303236797274276,0
STR-017,102455.98,399,393,256.78190476190474,Aurelia Midrand 17,Midrand,Gauteng,Inland,Compact,2014-11-28,,421,Active,243.3633729216152,0.9477434679334917,3
STR-018,93386.73,367,360,254.45975476839237,Aurelia Pretoria 18,Pretoria,Gauteng,Inland,Flagship,2017-01-26,,1291,Active,72.33673896204492,0.284275755228505,0
STR-019,96337.02,363,358,265.3912396694215,Aurelia Durban 19,Durban,KwaZulu-Natal,Coastal,Flagship,2011-12-16,,992,Active,97.11393145161291,0.3659274193548387,0
STR-020,111087.35,426,415,260.76842723004694,Aurelia Stellenbosch 20,Stellenbosch,Western Cape,Coastal,Compact,2013-06-02,,2365,Active,46.97139534883721,0.18012684989429176,2
STR-021,103098.13,381,376,270.59876640419947,Aurelia Bloemfontein 21,Bloemfontein,Free State,Inland,Compact,2016-08-01,,1666,Active,61.883631452581035,0.22869147659063627,3
STR-022,89674.25,347,341,258.4272334293948,Aurelia Johannesburg 22,Johannesburg,Gauteng,Inland,Outlet,2020-07-18,,1977,Active,45.35875063227112,0.17551846231664137,1
STR-023,100387.7,409,405,245.44669926650366,Aurelia Gqeberha 23,Gqeberha,Eastern Cape,Coastal,Flagship,2022-07-14,,2143,Active,46.84447036864209,0.19085394307046197,3
STR-024,101670.23,362,354,280.8569889502762,Aurelia Durban 24,Durban,KwaZulu-Natal,Coastal,Flagship,2015-11-02,,789,Active,128.8596070975919,0.458808618504436,3
STR-025,99339.72,395,389,251.49296202531647,Aurelia Gqeberha 25,Gqeberha,Eastern Cape,Coastal,Compact,2020-04-11,,2123,Active,46.79214319359397,0.18605746585021196,3
STR-026,90665.55,363,358,249.76735537190083,Aurelia Polokwane 26,Polokwane,Limpopo,Inland,Compact,2013-01-04,2019-11-01,2020,Closed,44.88393564356436,0.1797029702970297,1
STR-027,94359.19,376,374,250.9552925531915,Aurelia Bloemfontein 27,Bloemfontein,Free State,Inland,Standard,2021-10-02,,1745,Active,54.07403438395416,0.2154727793696275,0
STR-028,103686.96,422,409,245.70369668246448,Aurelia Pretoria 28,Pretoria,Gauteng,Inland,Flagship,2014-03-05,,2006,Active,51.68841475573281,0.21036889332003988,2
STR-029,88543.34,354,352,250.12242937853105,Aurelia Polokwane 29,Polokwane,Limpopo,Inland,Standard,2017-08-12,,1529,Active,57.9093132766514,0.2315238718116416,1
STR-030,101736.83,373,366,272.75289544235926,Aurelia Cape Town 30,Cape Town,Western Cape,Coastal,Flagship,2013-09-12,,507,Active,200.66435897435898,0.7357001972386588,3
STR-031,98791.18000000001,401,387,246.36204488778057,Aurelia Midrand 31,Midrand,Gauteng,Inland,Flagship,2019-11-09,,1309,Active,75.47072574484339,0.306340718105424,3
STR-032,92178.78,358,354,257.482625698324,Aurelia Durban 32,Durban,KwaZulu-Natal,Coastal,Compact,2011-03-12,,1971,Active,46.76751902587519,0.18163368848300354,0
STR-033,96011.79,387,383,248.09248062015502,Aurelia Umhlanga 33,Umhlanga,KwaZulu-Natal,Coastal,Compact,2018-07-07,,1495,Active,64.22193311036789,0.2588628762541806,0
STR-034,85155.4,368,366,231.40054347826086,Aurelia Sandton 34,Sandton,Gauteng,Inland,Compact,2021-12-21,2025-06-02,1031,Closed,82.59495635305528,0.3569350145489816,1
STR-035,107262.86,391,387,274.3295652173913,Aurelia Stellenbosch 35,Stellenbosch,Western Cape,Coastal,Standard,2016-07-29,,872,Active,123.00786697247706,0.44839449541284404,2
STR-036,88580.36,358,354,247.43117318435753,Aurelia Polokwane 36,Polokwane,Limpopo,Inland,Compact,2016-02-25,,328,Active,270.0620731707317,1.0914634146341464,1
STR-037,92305.36,349,344,264.4852722063037,Aurelia Polokwane 37,Polokwane,Limpopo,Inland,Flagship,2013-07-10,,2175,Active,42.439245977011495,0.16045977011494253,0
STR-038,96407.69,362,358,266.31958563535915,Aurelia Bloemfontein 38,Bloemfontein,Free State,Inland,Standard,2014-03-28,,1227,Active,78.57187449062755,0.29502852485737574,0
STR-039,96439.42,387,378,249.1974677002584,Aurelia Gqeberha 39,Gqeberha,Eastern Cape,Coastal,Standard,2019-12-20,,1386,Active,69.58111111111111,0.2792207792207792,0
STR-040,96219.12,396,389,242.97757575757575,Aurelia Sandton 40,Sandton,Gauteng,Inland,Outlet,2021-10-21,,1170,Active,82.2385641025641,0.3384615384615385,0
STR-041,93565.14,362,355,258.4672375690608,Aurelia Durban 41,Durban,KwaZulu-Natal,Coastal,Compact,2016-02-14,,972,Active,96.26043209876543,0.3724279835390947,0
STR-042,102514.82,395,387,259.53118987341776,Aurelia Polokwane 42,Polokwane,Limpopo,Inland,Standard,2012-07-07,2014-08-11,452,Closed,226.80269911504428,0.8738938053097345,3
STR-043,94206.3,343,341,274.6539358600583,Aurelia Polokwane 43,Polokwane,Limpopo,Inland,Compact,2021-08-14,,1875,Active,50.24336,0.18293333333333334,0
STR-044,104315.59,372,359,280.41825268817206,Aurelia Johannesburg 44,Johannesburg,Gauteng,Inland,Standard,2020-10-18,,612,Active,170.45031045751634,0.6078431372549019,2
STR-045,99105.65,361,359,274.53088642659276,Aurelia Johannesburg 45,Johannesburg,Gauteng,Inland,Compact,2024-02-16,,592,Active,167.40819256756757,0.6097972972972973,3
STR-046,85868.69,337,330,254.803234421365,Aurelia Durban 46,Durban,KwaZulu-Natal,Coastal,Compact,2017-06-18,,1253,Active,68.53047885075819,0.26895450917797287,1
STR-047,99416.7,373,370,266.5327077747989,Aurelia Pretoria 47,Pretoria,Gauteng,Inland,Standard,2013-08-06,,928,Active,107.1300646551724,0.4019396551724138,3
STR-048,95312.51,361,356,264.0235734072022,Aurelia Bloemfontein 48,Bloemfontein,Free State,Inland,Compact,2019-02-22,,1064,Active,89.57942669172932,0.3392857142857143,0
STR-049,86849.47,344,343,252.46938953488373,Aurelia Midrand 49,Midrand,Gauteng,Inland,Outlet,2015-02-28,,515,Active,168.63974757281554,0.6679611650485436,1
STR-050,91412.08,364,359,251.1320879120879,Aurelia Durban 50,Durban,KwaZulu-Natal,Coastal,Outlet,2015-07-08,,2294,Active,39.848334786399306,0.15867480383609417,0
