acquisition_channel,customer_segment,target_inactive,order_count,completed_orders,cancelled_orders,gross_value,avg_order_value,cancel_rate,days_since_last_order,return_count,refund_value,ticket_count,mean_satisfaction,marketing_events,sessions,tenure_days
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2328
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1462
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,416
Marketplace,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668
Store,Core,0,1.0,1.0,0.0,56.08,56.08,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1769
Website,High Value,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015
Website,Core,0,1.0,1.0,0.0,315.75,315.75,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,1826
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516
Website,High Value,0,3.0,3.0,0.0,504.48,168.16,0.0,80.0,1.0,82.67,0.0,0.0,1.0,1.0,134
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732
Marketplace,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748
Referral,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141
Marketplace,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296
Mobile,Core,1,1.0,1.0,0.0,230.59,230.59,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1663
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2972
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539
Mobile,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512
Mobile,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1826
Mobile,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2772
Store,Emerging,0,1.0,1.0,0.0,192.77,192.77,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1380
Store,Core,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.09,0.0,0.0,0.0,0.0,2938
Store,Core,0,1.0,1.0,0.0,535.03,535.03,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,512
Mobile,Emerging,0,1.0,1.0,0.0,783.5,783.5,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1654
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,813
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443
Referral,Core,0,1.0,1.0,0.0,57.02,57.02,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1968
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841
Store,High Value,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950
Referral,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,544
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1533
Mobile,Emerging,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2950
Referral,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462
Mobile,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
Mobile,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2092
Store,Core,0,1.0,1.0,0.0,57.510000000000005,57.510000000000005,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,3093
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016
Website,High Value,0,1.0,1.0,0.0,229.72,229.72,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,2636
Referral,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2922
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370
Website,High Value,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1874
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1900
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3019
Store,Emerging,0,1.0,1.0,0.0,266.08,266.08,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,474
Mobile,Core,0,1.0,1.0,0.0,94.86,94.86,0.0,97.0,1.0,47.43,0.0,0.0,0.0,0.0,857
Mobile,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611
Store,High Value,0,2.0,2.0,0.0,631.11,315.555,0.0,74.0,2.0,248.01999999999998,0.0,0.0,0.0,0.0,968
Referral,High Value,1,1.0,1.0,0.0,256.07,256.07,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,226
Mobile,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2895
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1412
Mobile,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2525
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.73,0.0,0.0,0.0,0.0,2587
Mobile,Emerging,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345
Referral,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730
Store,Standard,0,1.0,1.0,0.0,505.38,505.38,0.0,132.0,0.0,0.0,0.0,0.0,1.0,1.0,2437
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2106
Mobile,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521
Store,Standard,0,1.0,1.0,0.0,168.82999999999998,168.82999999999998,0.0,174.0,1.0,103.18,0.0,0.0,0.0,0.0,1209
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3051
Referral,Core,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483
Store,Standard,0,1.0,1.0,0.0,139.12,139.12,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1261
Website,Core,0,1.0,1.0,0.0,175.78,175.78,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1508
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368
Marketplace,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305
Referral,Emerging,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732
Mobile,Core,0,1.0,1.0,0.0,19.22,19.22,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,999
Store,Standard,0,1.0,1.0,0.0,185.5,185.5,0.0,54.0,2.0,149.17000000000002,0.0,0.0,0.0,0.0,743
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535
Mobile,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475
Marketplace,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071
Store,Standard,0,1.0,1.0,0.0,744.75,744.75,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1124
Marketplace,Core,0,1.0,1.0,0.0,312.42,312.42,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,1751
Referral,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285
Referral,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608
Referral,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263
Store,Core,0,1.0,1.0,0.0,388.3,388.3,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,1967
Referral,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022
Website,High Value,0,2.0,2.0,0.0,205.1,102.55,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1639
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2719
Marketplace,Standard,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.3,0.0,0.0,1.0,1.0,2231
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777
Referral,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2632
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2209
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520
Mobile,Emerging,0,1.0,1.0,0.0,258.49,258.49,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1889
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2582
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229
Website,Emerging,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2992
Referral,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3045
Website,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2912
Referral,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378
Mobile,Standard,0,1.0,1.0,0.0,359.63,359.63,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1538
Mobile,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735
Website,High Value,1,1.0,1.0,0.0,151.20999999999998,151.20999999999998,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,1310
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2621
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2936
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272
Mobile,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342
Website,Standard,0,1.0,1.0,0.0,32.86,32.86,0.0,62.0,0.0,0.0,1.0,1.0,0.0,0.0,1624
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2553
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582
Referral,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2788
Marketplace,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148
Website,Core,0,1.0,1.0,0.0,175.17,175.17,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2647
Store,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,574
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,775.7,0.0,0.0,0.0,0.0,2707
Referral,Core,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2723
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877
Website,Core,0,1.0,1.0,0.0,443.8,443.8,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,1295
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728
Store,Standard,0,1.0,1.0,0.0,250.05,250.05,0.0,135.0,1.0,107.02,0.0,0.0,0.0,0.0,616
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401
Store,High Value,0,1.0,1.0,0.0,331.45000000000005,331.45000000000005,0.0,72.0,1.0,142.93,0.0,0.0,0.0,0.0,395
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3052
Store,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642
Store,Emerging,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155
Store,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,525
Marketplace,Standard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1032
Website,Standard,0,2.0,2.0,0.0,625.12,312.56,0.0,50.0,1.0,242.98,0.0,0.0,0.0,0.0,259
Website,Emerging,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3081
Mobile,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941
Website,Standard,0,1.0,1.0,0.0,645.38,645.38,0.0,114.0,2.0,429.32,0.0,0.0,0.0,0.0,1625
Website,Standard,0,1.0,1.0,0.0,159.7,159.7,0.0,162.0,0.0,0.0,0.0,0.0,1.0,1.0,2820
Website,High Value,0,1.0,1.0,0.0,214.59,214.59,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1997
Marketplace,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044
Website,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020
Website,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919
Store,Core,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185
Mobile,High Value,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3188
Website,High Value,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146
