shipment_id,supplier_id,product_id,purchase_order_date,expected_delivery_date,actual_delivery_date,ordered_quantity,received_quantity,rejected_quantity,shipment_status
SHP-0000098,SUP-067,PRD-00058,2026-08-25,2026-09-02,2026-09-09,992,992,0,Delivered
SHP-0000099,SUP-059,PRD-00434,2021-01-05,2021-01-12,2021-01-20,835,835,0,Delivered
SHP-0000100,SUP-038,PRD-00703,2025-06-20,2025-06-30,2025-06-30,569,564,5,Delivered
SHP-0000101,SUP-034,PRD-00156,2023-12-09,2023-12-16,2023-12-16,378,375,3,Delivered
SHP-0000102,SUP-037,PRD-00809,2025-12-12,2025-12-26,2026-01-01,1027,710,0,Partial
SHP-0000103,SUP-013,PRD-00375,2026-02-12,2026-02-21,2026-02-21,1252,1252,0,Late
SHP-0000104,SUP-029,PRD-00642,2024-06-28,2024-07-07,2024-07-17,401,401,0,Delivered
SHP-0000105,SUP-058,PRD-00755,2026-07-14,2026-08-28,2026-09-08,1285,1285,0,Delivered
SHP-0000106,SUP-035,PRD-00457,2025-09-12,2025-09-23,2025-09-24,988,988,0,Delivered
SHP-0000107,SUP-068,PRD-00238,2026-07-21,2026-08-08,2026-08-12,742,681,0,Partial
SHP-0000108,SUP-010,PRD-00572,2023-11-15,2023-12-30,2024-01-05,1115,1115,0,Delivered
SHP-0000109,SUP-008,PRD-00169,2026-01-31,2026-04-13,2026-04-21,1033,1033,0,Delivered
SHP-0000110,SUP-025,PRD-00246,2022-11-22,2022-12-14,2022-12-14,1048,1048,0,Delivered
SHP-0000111,SUP-017,PRD-00817,2026-01-25,2026-02-17,2026-02-25,547,547,0,Delivered
SHP-0000112,SUP-051,PRD-00876,2023-07-12,2023-07-20,2023-07-20,1316,859,0,Partial
SHP-0000113,SUP-006,PRD-00143,2022-12-11,2023-01-01,2023-01-02,324,321,3,Delivered
SHP-0000114,SUP-025,PRD-00577,2021-02-24,2021-04-17,2021-04-24,856,831,25,Delivered
SHP-0000115,SUP-066,PRD-00284,2022-08-18,2022-10-02,2022-10-02,402,402,0,Delivered
SHP-0000116,SUP-022,PRD-00305,2020-05-24,2020-06-06,2020-06-06,539,539,0,Late
SHP-0000117,SUP-003,PRD-00768,2022-03-21,2022-04-10,2022-04-10,573,568,5,Delivered
SHP-0000118,SUP-038,PRD-00740,2020-10-15,2020-11-06,2020-11-10,724,703,21,Delivered
SHP-0000119,SUP-040,PRD-00289,2021-02-28,2021-03-15,2021-03-16,572,572,0,Delivered
SHP-0000120,SUP-066,PRD-00705,2026-07-11,2026-08-20,2026-08-21,621,621,0,Delivered
SHP-0000121,SUP-031,PRD-00822,2025-08-04,2025-10-11,2025-10-11,1389,1348,41,Delivered
SHP-0000122,SUP-019,PRD-00124,2025-01-29,2025-02-04,2025-02-09,1116,861,8,Partial
SHP-0000123,SUP-002,PRD-00073,2023-01-13,2023-03-28,2023-04-11,900,900,0,Delivered
SHP-0000124,SUP-068,PRD-00550,2021-03-26,2021-04-17,2021-04-20,67,67,0,Delivered
SHP-0000125,SUP-048,PRD-00448,2021-03-23,2021-04-07,2021-04-07,219,213,6,Late
SHP-0000126,SUP-049,PRD-00212,2023-07-01,2023-07-21,2023-07-30,1299,1080,0,Partial
SHP-0000127,SUP-011,PRD-00477,2024-09-04,2024-09-21,2024-09-22,321,321,0,Delivered
SHP-0000128,SUP-004,PRD-00409,2023-09-13,2023-10-01,2023-10-01,236,229,7,Delivered
SHP-0000129,SUP-004,PRD-00733,2022-08-16,2022-09-04,2022-09-05,80,80,0,Delivered
SHP-0000130,SUP-029,PRD-00642,2024-10-22,2024-11-14,2024-11-14,631,631,0,Delivered
SHP-0000131,SUP-019,PRD-00867,2020-04-02,2020-04-15,2020-04-16,138,138,0,Delivered
SHP-0000132,SUP-027,PRD-00637,2024-07-27,2024-08-13,2024-08-17,1195,1184,11,Late
SHP-0000133,SUP-006,PRD-00294,2023-06-06,2023-06-14,2023-06-20,50,50,0,Delivered
SHP-0000134,SUP-002,PRD-00700,2021-06-06,2021-07-04,2021-07-14,1490,1446,44,Late
SHP-0000135,SUP-005,PRD-00085,2024-06-20,2024-07-09,2024-07-13,1151,1151,0,Delivered
SHP-0000136,SUP-046,PRD-00879,2023-10-26,2023-11-04,2023-11-10,906,906,0,Delivered
SHP-0000137,SUP-050,PRD-00794,2025-08-03,2025-10-11,2025-10-11,611,611,0,Delivered
SHP-0000138,SUP-057,PRD-00219,2022-08-24,2022-08-31,2022-09-08,1167,1156,11,Delivered
SHP-0000139,SUP-035,PRD-00041,2024-02-20,2024-03-03,2024-03-18,894,886,8,Late
SHP-0000140,SUP-027,PRD-00308,2024-10-16,2024-11-03,2024-11-05,454,454,0,Delivered
SHP-0000141,SUP-047,PRD-00266,2025-03-21,2025-04-23,2025-04-23,1057,1057,0,Late
SHP-0000142,SUP-006,PRD-00644,2025-04-20,2025-05-06,2025-05-07,1203,1191,12,Delivered
SHP-0000143,SUP-035,PRD-00601,2025-10-01,2025-10-17,2025-10-17,1173,917,0,Partial
SHP-0000144,SUP-030,PRD-00069,2025-06-06,2025-06-25,2025-06-25,642,642,0,Delivered
SHP-0000145,SUP-034,PRD-00156,2026-03-01,2026-03-13,2026-03-16,1367,1367,0,Delivered
SHP-0000146,SUP-058,PRD-00468,2024-08-16,2024-10-20,2024-10-22,323,320,3,Delivered
SHP-0000147,SUP-063,PRD-00743,2026-01-26,2026-02-16,2026-02-16,497,493,4,Delivered
SHP-0000148,SUP-022,PRD-00770,2021-04-27,2021-05-06,2021-05-06,51,51,0,Delivered
SHP-0000149,SUP-061,PRD-00684,2024-04-04,2024-04-12,2024-04-18,1059,1049,10,Delivered
SHP-0000150,SUP-023,PRD-00242,2025-03-04,2025-03-10,2025-03-14,395,395,0,Delivered
SHP-0000151,SUP-069,PRD-00139,2020-02-24,2020-03-10,2020-03-11,96,96,0,Delivered
SHP-0000152,SUP-022,PRD-00024,2025-05-19,2025-05-27,2025-06-13,937,937,0,Delivered
SHP-0000153,SUP-048,PRD-00258,2025-01-16,2025-02-07,2025-02-09,677,677,0,Delivered
SHP-0000154,SUP-003,PRD-00474,2023-01-29,2023-02-22,2023-02-22,787,787,0,Delivered
SHP-0000155,SUP-064,PRD-00235,2025-10-21,2025-12-15,2025-12-15,1421,1407,14,Delivered
SHP-0000156,SUP-059,PRD-00759,2022-02-22,2022-03-01,2022-03-10,949,921,28,Late
SHP-0000157,SUP-039,PRD-00436,2021-05-20,2021-06-07,2021-06-13,1222,1222,0,Delivered
SHP-0000158,SUP-023,PRD-00093,2024-05-24,2024-06-04,2024-06-10,680,680,0,Delivered
SHP-0000159,SUP-009,PRD-00118,2020-07-14,2020-08-20,2020-08-20,170,170,0,Delivered
SHP-0000160,SUP-069,PRD-00013,2025-03-05,2025-03-10,2025-03-12,872,864,8,Delivered
SHP-0000161,SUP-015,PRD-00501,2026-04-20,2026-05-12,2026-05-16,1149,1138,11,Delivered
SHP-0000162,SUP-013,PRD-00400,2022-02-16,2022-03-12,2022-03-13,138,138,0,Delivered
SHP-0000163,SUP-027,PRD-00367,2020-02-23,2020-03-10,2020-03-11,874,874,0,Delivered
SHP-0000164,SUP-029,PRD-00762,2026-04-25,2026-05-19,2026-05-19,424,424,0,Delivered
SHP-0000165,SUP-059,PRD-00110,2024-01-11,2024-01-19,2024-01-27,801,613,0,Partial
SHP-0000166,SUP-064,PRD-00325,2024-04-07,2024-05-23,2024-05-27,1439,1439,0,Delivered
SHP-0000167,SUP-011,PRD-00411,2024-09-27,2024-10-11,2024-10-11,1486,1472,14,Late
SHP-0000168,SUP-020,PRD-00765,2020-06-28,2020-09-08,2020-09-09,248,248,0,Delivered
SHP-0000169,SUP-054,PRD-00037,2025-09-29,2025-10-19,2025-10-19,1143,853,0,Partial
SHP-0000170,SUP-053,PRD-00363,2024-05-29,2024-06-19,2024-06-24,251,244,7,Delivered
SHP-0000171,SUP-042,PRD-00847,2025-05-26,2025-06-26,2025-07-01,496,496,0,Late
SHP-0000172,SUP-020,PRD-00167,2022-09-18,2022-11-15,2022-11-21,118,115,3,Late
SHP-0000173,SUP-017,PRD-00817,2024-01-01,2024-01-21,2024-01-29,986,986,0,Delivered
SHP-0000174,SUP-066,PRD-00660,2024-12-02,2025-02-07,2025-02-07,97,97,0,Delivered
SHP-0000175,SUP-049,PRD-00212,2024-08-29,2024-09-22,2024-09-29,856,831,25,Delivered
SHP-0000176,SUP-057,PRD-00870,2021-03-12,2021-03-22,2021-03-22,1108,728,0,Partial
SHP-0000177,SUP-039,PRD-00081,2026-08-05,2026-08-27,2026-08-27,710,710,0,Delivered
SHP-0000178,SUP-028,PRD-00605,2021-12-24,2022-01-11,2022-01-11,1373,1373,0,Delivered
SHP-0000179,SUP-047,PRD-00207,2024-11-25,2024-12-08,2024-12-11,299,291,8,Delivered
SHP-0000180,SUP-039,PRD-00360,2025-04-06,2025-04-15,2025-04-15,70,70,0,Delivered
SHP-0000181,SUP-042,PRD-00098,2023-11-18,2024-01-11,2024-01-16,1332,1332,0,Delivered
SHP-0000182,SUP-049,PRD-00222,2023-01-13,2023-01-21,2023-01-21,596,596,0,Delivered
SHP-0000183,SUP-058,PRD-00262,2025-03-08,2025-05-01,2025-05-01,454,360,3,Partial
SHP-0000184,SUP-023,PRD-00748,2020-01-30,2020-02-11,2020-02-18,1240,1141,99,Delivered
SHP-0000185,SUP-020,PRD-00844,2026-05-11,2026-05-26,2026-05-26,368,365,3,Delivered
SHP-0000186,SUP-064,PRD-00680,2026-01-19,2026-02-21,2026-02-21,1429,1415,14,Delivered
SHP-0000187,SUP-004,PRD-00279,2021-09-21,2021-09-26,2021-09-29,1428,1428,0,Delivered
SHP-0000188,SUP-023,PRD-00748,2025-01-12,2025-02-22,2025-02-22,309,309,0,Delivered
SHP-0000189,SUP-032,PRD-00357,2023-05-25,2023-07-29,2023-07-29,1405,1391,14,Delivered
SHP-0000190,SUP-033,PRD-00127,2024-07-21,2024-08-10,2024-08-10,624,624,0,Delivered
SHP-0000191,SUP-043,PRD-00418,2020-06-29,2020-07-25,2020-07-28,984,984,0,Delivered
SHP-0000192,SUP-020,PRD-00785,2022-01-14,2022-03-18,2022-03-18,1071,1071,0,Delivered
SHP-0000193,SUP-019,PRD-00286,2020-03-05,2020-03-24,2020-03-24,1432,1432,0,Late
SHP-0000194,SUP-023,PRD-00698,2021-08-28,2021-10-14,2021-10-14,542,537,5,Delivered
SHP-0000195,SUP-063,PRD-00065,2021-04-29,2021-05-13,2021-05-13,350,350,0,Delivered
SHP-0000196,SUP-043,PRD-00008,2022-07-24,2022-08-11,2022-08-13,424,420,4,Late
SHP-0000197,SUP-066,PRD-00533,2025-04-05,2025-05-14,2025-05-21,1025,1025,0,Delivered
SHP-0000198,SUP-020,PRD-00510,2024-10-15,2024-11-29,2024-11-29,1222,1186,36,Delivered
SHP-0000199,SUP-059,PRD-00110,2020-06-13,2020-07-01,2020-07-05,1203,1167,36,Delivered
SHP-0000200,SUP-058,PRD-00747,2023-03-08,2023-04-05,2023-04-15,559,559,0,Delivered
SHP-0000201,SUP-001,PRD-00475,2020-12-25,2021-01-12,2021-01-25,1019,1009,10,Delivered
SHP-0000202,SUP-043,PRD-00418,2026-04-20,2026-04-29,2026-04-29,336,336,0,Delivered
SHP-0000203,SUP-009,PRD-00495,2021-07-13,2021-09-15,2021-09-15,1483,1483,0,Delivered
SHP-0000204,SUP-013,PRD-00400,2023-12-19,2024-01-04,2024-01-04,977,977,0,Delivered
SHP-0000205,SUP-016,PRD-00730,2022-03-26,2022-05-10,2022-05-10,487,487,0,Delivered
SHP-0000206,SUP-026,PRD-00799,2020-03-03,2020-03-21,2020-03-21,882,882,0,Delivered
SHP-0000207,SUP-068,PRD-00382,2025-12-09,2025-12-24,2025-12-24,465,452,13,Delivered
SHP-0000208,SUP-056,PRD-00192,2024-08-08,2024-10-21,2024-10-30,476,472,4,Delivered
SHP-0000209,SUP-020,PRD-00543,2025-05-15,2025-06-14,2025-06-14,1344,1344,0,Delivered
SHP-0000210,SUP-065,PRD-00691,2025-02-26,2025-04-09,2025-04-13,315,306,9,Delivered
SHP-0000211,SUP-060,PRD-00203,2022-06-16,2022-07-04,2022-07-04,514,514,0,Delivered
SHP-0000212,SUP-047,PRD-00744,2021-03-13,2021-04-17,2021-04-17,367,367,0,Delivered
SHP-0000213,SUP-021,PRD-00083,2022-08-10,2022-10-22,2022-10-24,265,263,2,Late
SHP-0000214,SUP-039,PRD-00108,2026-01-30,2026-02-21,2026-02-21,172,167,5,Delivered
SHP-0000215,SUP-039,PRD-00854,2021-03-27,2021-04-01,2021-04-13,354,354,0,Late
SHP-0000216,SUP-066,PRD-00620,2024-05-10,2024-06-01,2024-06-07,199,199,0,Delivered
SHP-0000217,SUP-021,PRD-00830,2022-10-31,2022-12-07,2022-12-07,315,312,3,Delivered
SHP-0000218,SUP-066,PRD-00620,2023-11-16,2023-12-10,2023-12-10,191,190,1,Delivered
SHP-0000219,SUP-033,PRD-00781,2022-11-19,2022-11-24,2022-11-24,231,231,0,Delivered
SHP-0000220,SUP-010,PRD-00731,2020-01-28,2020-02-28,2020-02-28,701,701,0,Delivered
SHP-0000221,SUP-060,PRD-00336,2023-05-11,2023-06-04,2023-06-07,1318,1318,0,Delivered
SHP-0000222,SUP-023,PRD-00324,2022-11-25,2023-01-28,2023-02-04,348,348,0,Late
SHP-0000223,SUP-064,PRD-00198,2022-08-12,2022-08-29,2022-08-29,64,64,0,Delivered
SHP-0000224,SUP-026,PRD-00688,2026-05-23,2026-06-12,2026-06-19,161,160,1,Delivered
SHP-0000225,SUP-033,PRD-00132,2022-11-17,2022-12-01,2022-12-09,1401,1401,0,Delivered
SHP-0000226,SUP-035,PRD-00457,2020-04-28,2020-05-07,2020-05-07,596,596,0,Delivered
SHP-0000227,SUP-019,PRD-00124,2023-01-31,2023-02-24,2023-02-24,465,465,0,Delivered
SHP-0000228,SUP-053,PRD-00518,2024-08-08,2024-08-23,2024-09-10,714,707,7,Delivered
SHP-0000229,SUP-021,PRD-00083,2024-06-11,2024-07-09,2024-07-18,641,635,6,Delivered
SHP-0000230,SUP-070,PRD-00494,2021-11-02,2021-11-26,2021-11-28,963,963,0,Delivered
SHP-0000231,SUP-041,PRD-00451,2024-04-27,2024-07-05,2024-07-07,470,433,37,Delivered
SHP-0000232,SUP-014,PRD-00009,2024-09-02,2024-11-14,2024-11-22,1260,1260,0,Delivered
SHP-0000233,SUP-032,PRD-00333,2024-09-08,2024-11-08,2024-11-15,828,828,0,Delivered
SHP-0000234,SUP-041,PRD-00166,2021-04-20,2021-05-23,2021-05-24,297,297,0,Delivered
SHP-0000235,SUP-046,PRD-00756,2026-07-22,2026-07-30,2026-08-02,1130,1130,0,Delivered
SHP-0000236,SUP-006,PRD-00244,2023-07-24,2023-08-12,2023-08-24,740,740,0,Delivered
SHP-0000237,SUP-030,PRD-00522,2022-04-14,2022-04-27,2022-05-02,1127,1127,0,Delivered
SHP-0000238,SUP-029,PRD-00647,2025-08-23,2025-09-11,2025-09-20,1455,1441,14,Delivered
SHP-0000239,SUP-001,PRD-00736,2025-09-27,2025-10-14,2025-10-15,1010,687,0,Partial
SHP-0000240,SUP-026,PRD-00419,2020-08-26,2020-09-02,2020-09-18,466,466,0,Delivered
SHP-0000241,SUP-018,PRD-00848,2020-03-07,2020-03-16,2020-03-18,552,552,0,Delivered
SHP-0000242,SUP-041,PRD-00166,2023-12-09,2024-02-17,2024-02-17,1089,1089,0,Delivered
SHP-0000243,SUP-027,PRD-00652,2021-11-29,2021-12-13,2021-12-13,256,256,0,Delivered
SHP-0000244,SUP-064,PRD-00198,2024-04-03,2024-04-10,2024-04-10,358,358,0,Late
SHP-0000245,SUP-066,PRD-00705,2022-03-29,2022-05-12,2022-05-17,228,228,0,Delivered
SHP-0000246,SUP-066,PRD-00533,2022-06-19,2022-07-28,2022-07-30,1157,1157,0,Delivered
SHP-0000247,SUP-066,PRD-00255,2025-01-06,2025-02-20,2025-02-21,1227,1227,0,Delivered
SHP-0000248,SUP-051,PRD-00053,2021-05-31,2021-06-23,2021-06-30,268,268,0,Delivered
SHP-0000249,SUP-066,PRD-00213,2022-10-19,2022-11-08,2022-11-12,1100,950,0,Partial
SHP-0000250,SUP-041,PRD-00553,2025-11-21,2026-01-02,2026-01-12,462,462,0,Delivered
SHP-0000251,SUP-018,PRD-00293,2022-11-21,2022-12-07,2022-12-11,1022,1022,0,Delivered
SHP-0000252,SUP-018,PRD-00338,2020-05-07,2020-05-27,2020-06-04,333,333,0,Delivered
SHP-0000253,SUP-052,PRD-00090,2025-03-19,2025-04-11,2025-04-25,292,292,0,Delivered
SHP-0000254,SUP-020,PRD-00167,2024-04-25,2024-06-29,2024-06-29,293,291,2,Delivered
SHP-0000255,SUP-026,PRD-00557,2026-03-06,2026-03-28,2026-03-30,1419,1419,0,Delivered
SHP-0000256,SUP-038,PRD-00330,2025-11-27,2025-12-07,2025-12-07,638,638,0,Delivered
SHP-0000257,SUP-054,PRD-00596,2026-02-23,2026-03-19,2026-03-20,926,917,9,Delivered
SHP-0000258,SUP-058,PRD-00567,2020-07-12,2020-08-21,2020-08-23,1238,1238,0,Delivered
SHP-0000259,SUP-029,PRD-00480,2020-06-19,2020-07-01,2020-07-03,1141,1130,11,Delivered
