campaign_id,campaign_name,campaign_type,channel,budget,exposed_customers,orders,revenue,conversion_rate,roi_proxy
CMP-0029,Winter Campaign 29,Promotion,Email,232112.0,596,18,5248.740000000001,0.030201342281879196,-0.9773870372923417
CMP-0030,Winter Campaign 30,Acquisition,Email,856950.0,559,17,3791.76,0.03041144901610018,-0.9955752844389988
CMP-0031,Clearance Campaign 31,Product Launch,Paid Search,914471.0,599,10,2285.72,0.01669449081803005,-0.9975005002892383
CMP-0032,Member Campaign 32,Acquisition,SMS,1126761.0,571,35,8615.539999999999,0.06129597197898424,-0.9923537112129369
CMP-0033,Winter Campaign 33,Retention,SMS,466756.0,578,22,4544.0,0.03806228373702422,-0.9902647207534557
CMP-0034,Clearance Campaign 34,Acquisition,Social,406856.0,578,19,5156.710000000001,0.031141868512110725,-0.9873254665041193
CMP-0035,Member Campaign 35,Retention,Email,944836.0,585,32,8187.93,0.0547008547008547,-0.9913340198722317
CMP-0036,Weekend Campaign 36,Product Launch,SMS,279581.0,593,35,8378.39,0.05733558178752108,-0.9700323340999567
CMP-0037,Summer Campaign 37,Promotion,Push,428800.0,560,45,10626.16,0.07857142857142857,-0.9752188432835821
CMP-0038,Clearance Campaign 38,Acquisition,Paid Search,623852.0,610,34,7388.7300000000005,0.05573770491803279,-0.988156277450421
CMP-0039,Clearance Campaign 39,Acquisition,Push,1474530.0,612,16,2785.25,0.026143790849673203,-0.9981110930262524
CMP-0040,Member Campaign 40,Acquisition,Email,677653.0,560,16,5187.51,0.02857142857142857,-0.9923448874276363
CMP-0041,Clearance Campaign 41,Promotion,Push,768089.0,618,20,5607.11,0.032362459546925564,-0.9926999214934727
CMP-0042,Weekend Campaign 42,Promotion,Paid Search,173104.0,553,3,788.9100000000001,0.0054249547920434,-0.9954425663185137
CMP-0043,Winter Campaign 43,Acquisition,Paid Search,593736.0,556,14,3380.99,0.025179856115107913,-0.9943055667838905
CMP-0044,Member Campaign 44,Promotion,Email,1221523.0,575,41,10354.35,0.06782608695652174,-0.9915234097106644
CMP-0045,Clearance Campaign 45,Retention,Social,886230.0,599,30,9558.26,0.048414023372287146,-0.9892146959592882
CMP-0046,Summer Campaign 46,Acquisition,Email,175410.0,580,20,5183.28,0.034482758620689655,-0.9704504874294511
CMP-0047,Clearance Campaign 47,Retention,Social,653642.0,579,20,7376.31,0.031088082901554404,-0.9887150611496812
CMP-0048,Member Campaign 48,Retention,Social,125315.0,603,36,5806.3,0.05970149253731343,-0.9536663607708574
CMP-0049,Summer Campaign 49,Retention,SMS,762183.0,553,15,2460.3400000000006,0.027124773960216998,-0.996771982581611
CMP-0050,Winter Campaign 50,Promotion,Push,1126187.0,598,34,7027.99,0.056856187290969896,-0.9937594822174293
