ticket_id,customer_id,opened_at,closed_at,issue_type,channel,priority,agent_id,resolution_status,satisfaction_score
TKT-0000024,CUS-001839,2024-03-15 04:00:00,2024-03-18 03:00:00,Returns,Store,Low,AGT-148,Resolved,4.0
TKT-0000025,CUS-001332,2026-05-16 13:00:00,2026-05-21 01:00:00,Returns,Chat,Low,AGT-292,Resolved,
TKT-0000026,CUS-003490,2020-05-31 17:00:00,2020-05-31 20:00:00,Returns,Phone,Medium,AGT-310,Resolved,4.0
TKT-0000027,CUS-011844,2022-04-14 21:00:00,2022-04-15 13:00:00,Delivery,Email,Low,AGT-072,Resolved,
TKT-0000028,CUS-000701,2025-01-17 11:00:00,2025-01-19 03:00:00,Product Quality,Email,Medium,AGT-099,Resolved,
TKT-0000029,CUS-007648,2022-12-29 09:00:00,2023-01-02 20:00:00,Delivery,Phone,Low,AGT-004,Resolved,
TKT-0000030,CUS-004259,2026-01-15 17:00:00,2026-01-17 21:00:00,Delivery,Chat,Medium,AGT-127,Resolved,4.0
TKT-0000031,CUS-006158,2025-11-21 20:00:00,,Returns,Store,High,AGT-247,Open,
TKT-0000032,CUS-008778,2023-01-09 04:00:00,2023-01-13 05:00:00,Product Quality,Phone,Low,AGT-059,Resolved,5.0
TKT-0000033,CUS-002465,2022-03-10 23:00:00,2022-03-11 16:00:00,Delivery,Chat,High,AGT-296,Resolved,
TKT-0000034,CUS-004731,2026-02-22 00:00:00,2026-02-25 07:00:00,Payment,Store,Medium,AGT-323,Resolved,5.0
TKT-0000035,CUS-000540,2020-02-18 13:00:00,2020-02-20 21:00:00,Account,Phone,Low,AGT-089,Resolved,
TKT-0000036,CUS-006586,2024-09-28 17:00:00,2024-10-03 13:00:00,Delivery,Social,High,AGT-324,Resolved,2.0
TKT-0000037,CUS-005233,2024-04-26 23:00:00,2024-04-28 18:00:00,Payment,Email,Medium,AGT-089,Resolved,5.0
TKT-0000038,CUS-004833,2025-05-02 13:00:00,2025-05-04 11:00:00,Account,Email,Low,AGT-202,Resolved,4.0
TKT-0000039,CUS-007716,2022-01-17 17:00:00,2022-01-21 07:00:00,Delivery,Phone,Medium,AGT-131,Closed,
TKT-0000040,CUS-007671,2024-11-11 16:00:00,2024-11-15 21:00:00,Technical,Social,Medium,AGT-109,Resolved,5.0
TKT-0000041,CUS-009065,2026-06-09 19:00:00,2026-06-10 01:00:00,Delivery,Chat,High,AGT-297,Resolved,
TKT-0000042,CUS-002634,2021-02-20 08:00:00,,Account,Phone,Medium,AGT-032,Open,
TKT-0000043,CUS-009926,2023-12-23 11:00:00,,Promotion,Social,Medium,AGT-047,Open,
TKT-0000044,CUS-002256,2022-05-10 05:00:00,2022-05-14 15:00:00,Technical,Chat,Medium,AGT-246,Resolved,1.0
TKT-0000045,CUS-008499,2025-09-30 10:00:00,2025-09-30 22:00:00,Returns,Store,Low,AGT-274,Resolved,2.0
TKT-0000046,CUS-011246,2025-03-28 08:00:00,2025-03-31 23:00:00,Returns,Chat,High,AGT-076,Resolved,5.0
TKT-0000047,CUS-011557,2023-10-19 17:00:00,2023-10-23 11:00:00,Technical,Social,High,AGT-340,Resolved,
TKT-0000048,CUS-011358,2020-11-02 14:00:00,2020-11-05 05:00:00,Product Quality,Store,Low,AGT-305,Resolved,
TKT-0000049,CUS-001105,2021-12-04 11:00:00,,Returns,Social,Low,AGT-177,Open,
TKT-0000050,CUS-003791,2021-06-06 00:00:00,2021-06-10 19:00:00,Delivery,Email,Low,AGT-144,Resolved,
TKT-0000051,CUS-001552,2022-05-16 19:00:00,2022-05-18 14:00:00,Delivery,Email,Medium,AGT-187,Resolved,
TKT-0000052,CUS-008926,2026-07-18 13:00:00,,Delivery,Chat,Medium,AGT-154,Open,
TKT-0000053,CUS-004023,2022-02-08 12:00:00,2022-02-10 11:00:00,Payment,Phone,High,AGT-240,Resolved,4.0
TKT-0000054,CUS-000850,2024-02-15 04:00:00,2024-02-17 23:00:00,Returns,Email,Medium,AGT-350,Resolved,1.0
TKT-0000055,CUS-006310,2025-03-02 06:00:00,,Technical,Social,High,AGT-169,Open,
TKT-0000056,CUS-002193,2026-05-01 05:00:00,2026-05-03 04:00:00,Payment,Store,Low,AGT-076,Resolved,
TKT-0000057,CUS-011695,2023-10-25 06:00:00,2023-10-26 21:00:00,Delivery,Chat,High,AGT-150,Resolved,
TKT-0000058,CUS-005577,2026-08-05 16:00:00,2026-08-09 00:00:00,Returns,Chat,High,AGT-007,Resolved,5.0
TKT-0000059,CUS-010011,2020-01-18 02:00:00,,Payment,Phone,Low,AGT-250,Open,
TKT-0000060,CUS-006767,2021-07-07 08:00:00,2021-07-10 17:00:00,Delivery,Phone,Critical,AGT-072,Resolved,
TKT-0000061,CUS-001144,2020-04-10 10:00:00,2020-04-12 05:00:00,Delivery,Email,High,AGT-054,Resolved,5.0
TKT-0000062,CUS-006920,2020-01-21 05:00:00,2020-01-22 10:00:00,Returns,Chat,Medium,AGT-227,Resolved,
TKT-0000063,CUS-008171,2025-12-20 04:00:00,2025-12-23 14:00:00,Returns,Email,Low,AGT-125,Closed,
TKT-0000064,CUS-010774,2022-09-01 20:00:00,2022-09-03 17:00:00,Product Quality,Phone,Low,AGT-208,Resolved,5.0
TKT-0000065,CUS-002507,2020-04-13 09:00:00,2020-04-15 00:00:00,Delivery,Email,Medium,AGT-138,Resolved,5.0
TKT-0000066,CUS-008786,2023-06-03 13:00:00,2023-06-05 08:00:00,Delivery,Email,High,AGT-070,Closed,4.0
TKT-0000067,CUS-000152,2021-06-05 10:00:00,2021-06-07 17:00:00,Promotion,Email,Medium,AGT-252,Resolved,2.0
TKT-0000068,CUS-002174,2020-10-23 03:00:00,2020-10-24 08:00:00,Delivery,Store,Medium,AGT-324,Resolved,
TKT-0000069,CUS-001541,2021-06-13 15:00:00,2021-06-17 09:00:00,Payment,Chat,Low,AGT-157,Resolved,4.0
TKT-0000070,CUS-008065,2024-05-25 21:00:00,2024-05-29 02:00:00,Payment,Social,Medium,AGT-248,Resolved,5.0
TKT-0000071,CUS-001212,2021-04-20 02:00:00,2021-04-21 21:00:00,Delivery,Email,Medium,AGT-263,Resolved,5.0
TKT-0000072,CUS-004315,2021-03-15 15:00:00,2021-03-16 19:00:00,Payment,Chat,Low,AGT-078,Resolved,3.0
TKT-0000073,CUS-002048,2023-02-20 01:00:00,2023-02-21 20:00:00,Returns,Chat,Medium,AGT-096,Resolved,
TKT-0000074,CUS-004383,2021-10-01 19:00:00,,Returns,Social,Low,AGT-187,Open,
TKT-0000075,CUS-010085,2022-01-02 03:00:00,2022-01-02 17:00:00,Technical,Social,Medium,AGT-092,Resolved,5.0
TKT-0000076,CUS-007064,2023-03-16 02:00:00,2023-03-20 13:00:00,Account,Store,Low,AGT-279,Resolved,
TKT-0000077,CUS-010062,2023-05-23 01:00:00,2023-05-25 09:00:00,Returns,Email,Low,AGT-090,Resolved,3.0
TKT-0000078,CUS-003205,2024-09-07 10:00:00,2024-09-07 15:00:00,Delivery,Phone,High,AGT-328,Resolved,
TKT-0000079,CUS-005997,2025-07-09 17:00:00,2025-07-13 02:00:00,Product Quality,Phone,Medium,AGT-303,Resolved,2.0
TKT-0000080,CUS-002733,2022-05-03 02:00:00,,Delivery,Phone,Medium,AGT-287,Open,
TKT-0000081,CUS-004623,2020-07-29 23:00:00,2020-07-31 05:00:00,Promotion,Store,Medium,AGT-037,Closed,
TKT-0000082,CUS-002713,2024-12-26 12:00:00,2024-12-29 19:00:00,Product Quality,Social,Medium,AGT-254,Resolved,4.0
TKT-0000083,CUS-010946,2026-08-02 02:00:00,2026-08-04 15:00:00,Technical,Phone,Low,AGT-118,Closed,
TKT-0000084,CUS-001950,2026-04-30 08:00:00,2026-05-01 13:00:00,Account,Phone,Low,AGT-261,Resolved,
TKT-0000085,CUS-010490,2020-03-20 22:00:00,2020-03-25 08:00:00,Payment,Phone,Low,AGT-331,Resolved,5.0
TKT-0000086,CUS-009431,2022-08-06 03:00:00,2022-08-07 02:00:00,Payment,Social,Low,AGT-132,Resolved,2.0
TKT-0000087,CUS-010641,2024-04-20 18:00:00,2024-04-22 23:00:00,Product Quality,Chat,Medium,AGT-190,Resolved,
TKT-0000088,CUS-011594,2026-07-17 14:00:00,2026-07-20 04:00:00,Returns,Social,High,AGT-107,Closed,5.0
TKT-0000089,CUS-000652,2026-06-14 12:00:00,2026-06-16 23:00:00,Delivery,Email,Low,AGT-296,Resolved,
TKT-0000090,CUS-004870,2024-03-04 15:00:00,2024-03-07 08:00:00,Product Quality,Email,High,AGT-289,Resolved,
TKT-0000091,CUS-011584,2021-02-02 03:00:00,2021-02-04 03:00:00,Product Quality,Phone,Medium,AGT-341,Resolved,5.0
TKT-0000092,CUS-000177,2024-05-01 14:00:00,,Technical,Email,Low,AGT-158,Open,
TKT-0000093,CUS-007272,2021-05-03 14:00:00,2021-05-03 15:00:00,Returns,Social,Low,AGT-341,Resolved,5.0
TKT-0000094,CUS-003854,2020-01-12 01:00:00,2020-01-13 14:00:00,Returns,Chat,Medium,AGT-101,Resolved,4.0
TKT-0000095,CUS-007966,2023-10-22 07:00:00,2023-10-24 18:00:00,Delivery,Chat,Medium,AGT-022,Resolved,5.0
TKT-0000096,CUS-011162,2025-08-21 17:00:00,2025-08-25 11:00:00,Returns,Store,Medium,AGT-085,Closed,
TKT-0000097,CUS-010816,2022-07-18 12:00:00,2022-07-22 14:00:00,Delivery,Store,Medium,AGT-284,Resolved,1.0
TKT-0000098,CUS-002576,2021-06-30 05:00:00,2021-07-02 18:00:00,Delivery,Social,Critical,AGT-009,Resolved,
TKT-0000099,CUS-011258,2020-10-06 15:00:00,,Promotion,Social,Low,AGT-016,Open,
TKT-0000100,CUS-010313,2022-01-06 03:00:00,2022-01-09 19:00:00,Delivery,Email,Low,AGT-173,Resolved,
TKT-0000101,CUS-006169,2024-05-05 22:00:00,2024-05-06 11:00:00,Returns,Social,High,AGT-198,Resolved,5.0
TKT-0000102,CUS-003381,2025-10-19 15:00:00,,Technical,Social,High,AGT-082,Open,
TKT-0000103,CUS-003586,2022-10-07 16:00:00,2022-10-08 11:00:00,Delivery,Store,Medium,AGT-174,Resolved,4.0
TKT-0000104,CUS-006388,2025-02-27 03:00:00,2025-02-28 15:00:00,Payment,Store,High,AGT-344,Resolved,
TKT-0000105,CUS-002591,2023-10-15 13:00:00,2023-10-19 14:00:00,Product Quality,Email,Low,AGT-326,Resolved,
TKT-0000106,CUS-011042,2024-01-08 05:00:00,2024-01-12 16:00:00,Delivery,Store,Low,AGT-259,Resolved,5.0
TKT-0000107,CUS-003028,2020-02-27 07:00:00,2020-03-02 14:00:00,Delivery,Store,Low,AGT-306,Resolved,3.0
TKT-0000108,CUS-002906,2024-02-04 00:00:00,2024-02-06 03:00:00,Product Quality,Email,Medium,AGT-015,Resolved,1.0
TKT-0000109,CUS-000860,2024-10-08 09:00:00,2024-10-08 20:00:00,Delivery,Phone,Low,AGT-306,Resolved,5.0
TKT-0000110,CUS-000859,2020-01-30 13:00:00,2020-02-04 02:00:00,Payment,Social,Low,AGT-189,Resolved,
TKT-0000111,CUS-007968,2022-06-01 14:00:00,2022-06-03 17:00:00,Product Quality,Store,Medium,AGT-349,Resolved,4.0
TKT-0000112,CUS-000489,2026-06-13 16:00:00,2026-06-17 03:00:00,Delivery,Social,High,AGT-005,Resolved,
TKT-0000113,CUS-003086,2021-05-28 20:00:00,2021-05-31 15:00:00,Account,Social,Medium,AGT-048,Resolved,4.0
TKT-0000114,CUS-000092,2024-11-23 15:00:00,2024-11-25 05:00:00,Returns,Chat,Medium,AGT-071,Closed,4.0
TKT-0000115,CUS-010110,2025-11-29 04:00:00,2025-11-29 10:00:00,Promotion,Email,Medium,AGT-237,Resolved,
TKT-0000116,CUS-004928,2020-01-13 02:00:00,2020-01-13 10:00:00,Returns,Phone,Medium,AGT-269,Resolved,
TKT-0000117,CUS-000086,2024-11-16 01:00:00,2024-11-20 08:00:00,Account,Email,Low,AGT-323,Resolved,
TKT-0000118,CUS-011079,2023-11-23 16:00:00,2023-11-27 23:00:00,Product Quality,Store,Low,AGT-243,Resolved,
TKT-0000119,CUS-010066,2022-11-05 20:00:00,2022-11-05 21:00:00,Product Quality,Chat,Medium,AGT-316,Resolved,
TKT-0000120,CUS-011390,2025-02-18 22:00:00,2025-02-21 23:00:00,Promotion,Phone,Medium,AGT-180,Resolved,4.0
TKT-0000121,CUS-001384,2022-11-05 19:00:00,2022-11-10 12:00:00,Returns,Phone,High,AGT-300,Resolved,
TKT-0000122,CUS-004561,2024-08-21 13:00:00,2024-08-25 10:00:00,Delivery,Chat,Critical,AGT-177,Resolved,5.0
TKT-0000123,CUS-006280,2020-04-24 20:00:00,2020-04-27 04:00:00,Promotion,Store,Low,AGT-197,Resolved,4.0
TKT-0000124,CUS-009559,2022-05-24 08:00:00,2022-05-25 22:00:00,Technical,Phone,Medium,AGT-263,Resolved,
TKT-0000125,CUS-009191,2021-04-24 19:00:00,2021-04-28 05:00:00,Delivery,Social,Medium,AGT-091,Resolved,5.0
TKT-0000126,CUS-004807,2026-04-18 03:00:00,2026-04-20 00:00:00,Delivery,Email,Low,AGT-190,Resolved,
TKT-0000127,CUS-002626,2022-08-16 08:00:00,2022-08-19 05:00:00,Delivery,Chat,Medium,AGT-119,Resolved,
TKT-0000128,CUS-008938,2022-11-11 21:00:00,2022-11-13 23:00:00,Delivery,Email,Low,AGT-201,Resolved,
TKT-0000129,CUS-004618,2025-10-06 23:00:00,2025-10-08 19:00:00,Payment,Phone,High,AGT-287,Resolved,4.0
TKT-0000130,CUS-010066,2024-07-27 08:00:00,2024-07-30 09:00:00,Promotion,Phone,Medium,AGT-117,Resolved,3.0
TKT-0000131,CUS-007563,2020-04-28 10:00:00,2020-04-30 17:00:00,Returns,Chat,High,AGT-015,Closed,5.0
TKT-0000132,CUS-006537,2025-09-27 03:00:00,2025-10-01 23:00:00,Delivery,Email,Medium,AGT-254,Resolved,
TKT-0000133,CUS-002859,2022-06-22 16:00:00,2022-06-23 12:00:00,Account,Email,Critical,AGT-274,Resolved,5.0
TKT-0000134,CUS-009471,2025-11-13 01:00:00,2025-11-15 06:00:00,Promotion,Phone,Medium,AGT-140,Resolved,
TKT-0000135,CUS-011038,2026-06-10 10:00:00,2026-06-11 01:00:00,Account,Email,Medium,AGT-173,Resolved,3.0
TKT-0000136,CUS-002827,2020-11-11 17:00:00,2020-11-12 17:00:00,Delivery,Email,Low,AGT-205,Resolved,1.0
TKT-0000137,CUS-005830,2021-03-15 15:00:00,,Delivery,Chat,Medium,AGT-022,Open,
TKT-0000138,CUS-007238,2025-08-11 07:00:00,2025-08-12 16:00:00,Returns,Phone,Low,AGT-013,Resolved,
TKT-0000139,CUS-011255,2023-12-17 08:00:00,2023-12-19 03:00:00,Account,Social,High,AGT-134,Resolved,
TKT-0000140,CUS-000355,2025-04-03 15:00:00,2025-04-06 05:00:00,Delivery,Social,Medium,AGT-190,Resolved,5.0
TKT-0000141,CUS-000308,2023-01-05 11:00:00,2023-01-09 11:00:00,Product Quality,Chat,Low,AGT-077,Resolved,
TKT-0000142,CUS-010836,2022-03-31 21:00:00,2022-04-01 06:00:00,Product Quality,Store,High,AGT-051,Resolved,
TKT-0000143,CUS-011113,2024-06-01 17:00:00,2024-06-03 23:00:00,Payment,Chat,Low,AGT-164,Resolved,
TKT-0000144,CUS-003937,2020-02-06 19:00:00,2020-02-10 16:00:00,Product Quality,Chat,Medium,AGT-055,Closed,2.0
TKT-0000145,CUS-000665,2024-03-16 16:00:00,2024-03-20 03:00:00,Account,Chat,Medium,AGT-284,Resolved,
TKT-0000146,CUS-000664,2024-09-26 06:00:00,2024-09-29 21:00:00,Product Quality,Store,Low,AGT-120,Closed,
TKT-0000147,CUS-009412,2024-11-24 11:00:00,,Delivery,Store,High,AGT-320,Open,
TKT-0000148,CUS-007538,2020-10-01 15:00:00,2020-10-06 03:00:00,Delivery,Social,Medium,AGT-131,Closed,
TKT-0000149,CUS-006542,2022-07-26 04:00:00,2022-07-30 09:00:00,Promotion,Social,High,AGT-064,Resolved,5.0
TKT-0000150,CUS-010714,2020-12-23 05:00:00,2020-12-26 03:00:00,Technical,Email,Medium,AGT-345,Closed,4.0
TKT-0000151,CUS-004703,2025-03-02 21:00:00,2025-03-06 09:00:00,Delivery,Phone,Low,AGT-215,Resolved,
TKT-0000152,CUS-001173,2025-07-28 18:00:00,2025-08-01 14:00:00,Product Quality,Chat,Critical,AGT-272,Resolved,
TKT-0000153,CUS-010441,2024-01-09 05:00:00,2024-01-10 21:00:00,Product Quality,Social,Low,AGT-010,Resolved,
TKT-0000154,CUS-002576,2024-03-21 17:00:00,2024-03-23 14:00:00,Product Quality,Phone,Medium,AGT-117,Resolved,2.0
TKT-0000155,CUS-002360,2021-12-03 08:00:00,2021-12-06 23:00:00,Returns,Social,Low,AGT-346,Closed,
TKT-0000156,CUS-009598,2023-06-06 21:00:00,2023-06-09 15:00:00,Promotion,Phone,Low,AGT-209,Resolved,
TKT-0000157,CUS-008205,2020-08-09 04:00:00,2020-08-12 14:00:00,Technical,Phone,Low,AGT-328,Resolved,
TKT-0000158,CUS-000211,2021-11-27 21:00:00,2021-11-28 19:00:00,Product Quality,Phone,Medium,AGT-125,Resolved,
TKT-0000159,CUS-011892,2021-12-30 11:00:00,2022-01-03 05:00:00,Returns,Chat,Medium,AGT-159,Closed,5.0
TKT-0000160,CUS-001274,2026-04-25 23:00:00,2026-04-29 03:00:00,Delivery,Store,Low,AGT-252,Resolved,
TKT-0000161,CUS-002396,2025-03-31 00:00:00,2025-04-04 18:00:00,Account,Email,Low,AGT-122,Resolved,3.0
TKT-0000162,CUS-000316,2024-05-23 19:00:00,2024-05-26 17:00:00,Delivery,Email,Low,AGT-256,Resolved,3.0
TKT-0000163,CUS-004361,2024-02-27 00:00:00,2024-02-28 07:00:00,Delivery,Phone,Medium,AGT-153,Resolved,3.0
TKT-0000164,CUS-011804,2026-07-28 11:00:00,2026-07-30 17:00:00,Delivery,Chat,Critical,AGT-201,Closed,3.0
TKT-0000165,CUS-007471,2023-05-01 05:00:00,2023-05-04 19:00:00,Returns,Store,Low,AGT-183,Resolved,
TKT-0000166,CUS-001859,2022-09-27 22:00:00,2022-09-30 07:00:00,Delivery,Email,Low,AGT-332,Resolved,5.0
TKT-0000167,CUS-002869,2022-07-10 07:00:00,2022-07-11 13:00:00,Returns,Email,High,AGT-211,Resolved,
TKT-0000168,CUS-011482,2021-04-27 13:00:00,2021-04-29 02:00:00,Delivery,Phone,Low,AGT-182,Resolved,4.0
TKT-0000169,CUS-006432,2021-08-11 16:00:00,2021-08-11 18:00:00,Technical,Phone,Low,AGT-283,Resolved,4.0
TKT-0000170,CUS-001730,2024-09-22 02:00:00,2024-09-23 04:00:00,Payment,Store,Critical,AGT-067,Closed,
TKT-0000171,CUS-001155,2024-02-18 16:00:00,2024-02-21 23:00:00,Product Quality,Email,Medium,AGT-347,Resolved,3.0
TKT-0000172,CUS-004064,2026-04-05 07:00:00,,Account,Email,High,AGT-066,Open,
TKT-0000173,CUS-007114,2023-01-19 18:00:00,2023-01-24 10:00:00,Account,Store,Low,AGT-095,Resolved,4.0
TKT-0000174,CUS-011411,2025-11-26 05:00:00,2025-11-28 18:00:00,Returns,Phone,Medium,AGT-319,Resolved,
TKT-0000175,CUS-005157,2022-06-20 18:00:00,2022-06-21 07:00:00,Payment,Phone,Medium,AGT-254,Resolved,
TKT-0000176,CUS-000778,2023-10-11 11:00:00,,Account,Social,Medium,AGT-158,Open,
TKT-0000177,CUS-001318,2026-05-06 14:00:00,2026-05-10 23:00:00,Delivery,Chat,Medium,AGT-049,Resolved,4.0
TKT-0000178,CUS-005380,2021-03-10 06:00:00,2021-03-13 13:00:00,Payment,Chat,Low,AGT-034,Closed,1.0
TKT-0000179,CUS-010649,2020-02-06 04:00:00,2020-02-07 23:00:00,Delivery,Phone,Low,AGT-163,Resolved,
TKT-0000180,CUS-011443,2023-12-05 21:00:00,2023-12-06 19:00:00,Returns,Chat,Low,AGT-300,Closed,3.0
TKT-0000181,CUS-002365,2024-11-22 22:00:00,2024-11-27 17:00:00,Account,Email,Medium,AGT-148,Resolved,
TKT-0000182,CUS-001905,2020-05-03 15:00:00,2020-05-04 03:00:00,Delivery,Chat,Medium,AGT-190,Resolved,
TKT-0000183,CUS-009409,2023-04-14 02:00:00,2023-04-16 07:00:00,Delivery,Phone,Low,AGT-165,Closed,
TKT-0000184,CUS-000622,2021-04-02 04:00:00,,Promotion,Phone,Low,AGT-335,Open,
TKT-0000185,CUS-007360,2022-10-20 17:00:00,2022-10-22 03:00:00,Payment,Phone,Low,AGT-076,Closed,5.0
TKT-0000186,CUS-010011,2021-11-01 20:00:00,2021-11-04 10:00:00,Account,Chat,High,AGT-197,Resolved,
TKT-0000187,CUS-008824,2023-07-25 09:00:00,2023-07-29 03:00:00,Delivery,Store,Low,AGT-206,Resolved,5.0
TKT-0000188,CUS-002908,2025-12-09 14:00:00,2025-12-13 07:00:00,Promotion,Store,Medium,AGT-139,Resolved,3.0
TKT-0000189,CUS-005677,2025-01-02 10:00:00,,Technical,Phone,Medium,AGT-058,Open,
TKT-0000190,CUS-000708,2024-02-12 19:00:00,,Returns,Email,Medium,AGT-166,Open,
TKT-0000191,CUS-009252,2021-04-07 11:00:00,,Delivery,Social,Medium,AGT-152,Open,
TKT-0000192,CUS-006149,2025-06-17 15:00:00,2025-06-19 09:00:00,Delivery,Phone,Medium,AGT-303,Resolved,
TKT-0000193,CUS-000737,2022-10-05 13:00:00,2022-10-06 09:00:00,Payment,Store,Medium,AGT-106,Resolved,5.0
TKT-0000194,CUS-008898,2021-08-26 19:00:00,2021-08-31 06:00:00,Delivery,Social,Medium,AGT-016,Resolved,2.0
TKT-0000195,CUS-005400,2022-12-12 12:00:00,2022-12-12 22:00:00,Returns,Store,Low,AGT-278,Resolved,
TKT-0000196,CUS-008944,2021-03-08 05:00:00,2021-03-10 18:00:00,Technical,Chat,Low,AGT-113,Closed,1.0
TKT-0000197,CUS-000057,2021-08-19 20:00:00,2021-08-23 23:00:00,Delivery,Email,Medium,AGT-057,Resolved,5.0
TKT-0000198,CUS-002435,2024-07-30 12:00:00,2024-07-31 17:00:00,Delivery,Store,Medium,AGT-219,Resolved,
TKT-0000199,CUS-006389,2024-07-20 19:00:00,2024-07-23 18:00:00,Returns,Email,High,AGT-318,Resolved,
TKT-0000200,CUS-011656,2025-10-07 20:00:00,2025-10-09 12:00:00,Account,Store,Medium,AGT-027,Resolved,
TKT-0000201,CUS-000773,2025-01-22 21:00:00,2025-01-24 07:00:00,Delivery,Email,Low,AGT-035,Resolved,4.0
TKT-0000202,CUS-003892,2023-08-25 18:00:00,2023-08-29 12:00:00,Product Quality,Store,Low,AGT-036,Closed,
TKT-0000203,CUS-011767,2020-12-20 17:00:00,2020-12-25 04:00:00,Delivery,Email,Low,AGT-298,Closed,
TKT-0000204,CUS-003924,2022-04-24 20:00:00,2022-04-26 08:00:00,Delivery,Chat,High,AGT-266,Resolved,
TKT-0000205,CUS-003630,2023-01-03 17:00:00,2023-01-04 22:00:00,Product Quality,Social,High,AGT-237,Closed,
TKT-0000206,CUS-008762,2024-03-22 22:00:00,2024-03-23 06:00:00,Technical,Email,Medium,AGT-117,Closed,4.0
TKT-0000207,CUS-005702,2023-08-30 16:00:00,2023-09-02 10:00:00,Payment,Chat,Medium,AGT-326,Resolved,
TKT-0000208,CUS-011598,2024-08-26 08:00:00,2024-08-29 15:00:00,Technical,Social,Medium,AGT-050,Resolved,4.0
TKT-0000209,CUS-010416,2022-07-28 05:00:00,2022-07-30 00:00:00,Delivery,Store,Medium,AGT-174,Resolved,
TKT-0000210,CUS-004753,2021-05-21 18:00:00,2021-05-23 16:00:00,Delivery,Phone,High,AGT-143,Resolved,
TKT-0000211,CUS-003217,2021-05-10 22:00:00,,Returns,Chat,Low,AGT-331,Open,
TKT-0000212,CUS-008986,2020-09-03 00:00:00,2020-09-04 01:00:00,Product Quality,Social,Medium,AGT-168,Resolved,4.0
TKT-0000213,CUS-004319,2021-05-22 09:00:00,2021-05-24 00:00:00,Promotion,Phone,Low,AGT-327,Resolved,
TKT-0000214,CUS-005338,2021-07-17 13:00:00,2021-07-18 05:00:00,Returns,Store,Medium,AGT-235,Closed,4.0
TKT-0000215,CUS-003671,2024-05-28 22:00:00,2024-05-29 04:00:00,Technical,Chat,High,AGT-299,Resolved,
TKT-0000216,CUS-005913,2021-07-25 12:00:00,2021-07-26 13:00:00,Delivery,Email,Low,AGT-278,Resolved,5.0
