review_id,customer_id,product_id,order_item_id,review_date,rating,review_title,review_text,verified_purchase
REV-0000048,CUS-000001,PRD-00056,ITM-000040717,2020-08-24,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000049,CUS-005432,PRD-00200,ITM-000019616,2023-06-28,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000050,CUS-003953,PRD-00280,ITM-000055797,2025-03-14,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000051,CUS-002766,PRD-00320,ITM-000069609,2021-11-20,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000052,CUS-002463,PRD-00363,ITM-000075404,2026-08-03,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000053,CUS-008102,PRD-00318,ITM-000040108,2020-08-23,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000054,CUS-003433,PRD-00597,ITM-000043275,2022-08-25,1,Product quality was disap,Product quality was disappointing.,True
REV-0000055,CUS-007134,PRD-00277,ITM-000068504,2026-09-16,4,,,True
REV-0000056,CUS-007194,PRD-00798,ITM-000078613,2023-07-13,1,,,True
REV-0000057,CUS-007949,PRD-00827,ITM-000055667,2025-08-23,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000058,CUS-007198,PRD-00398,ITM-000071496,2025-04-07,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000059,,PRD-00776,ITM-000071780,2021-06-24,1,Product quality was disap,Product quality was disappointing.,True
REV-0000060,CUS-000728,PRD-00354,ITM-000046523,2022-09-22,2,,,True
REV-0000061,CUS-005299,PRD-00353,ITM-000026657,2023-06-04,2,Product quality was disap,Product quality was disappointing.,True
REV-0000062,CUS-000746,PRD-00411,ITM-000063092,2020-04-10,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000063,CUS-010394,PRD-00281,ITM-000011062,2023-03-26,1,,,True
REV-0000064,CUS-011964,PRD-00402,ITM-000054353,2025-11-19,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000065,CUS-004603,PRD-00304,ITM-000015800,2024-02-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000066,CUS-006013,PRD-00472,ITM-000052132,2025-07-09,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000067,CUS-008512,PRD-00477,ITM-000073682,2023-06-25,1,Product quality was disap,Product quality was disappointing.,True
REV-0000068,CUS-001106,PRD-00329,ITM-000066516,2025-12-28,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000069,CUS-002380,PRD-00031,ITM-000053317,2024-06-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000070,CUS-001668,PRD-00718,ITM-000076995,2022-09-01,2,Product quality was disap,Product quality was disappointing.,True
REV-0000071,CUS-011353,PRD-00737,ITM-000063876,2023-09-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000072,CUS-007563,PRD-00748,ITM-000024768,2022-08-19,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000073,CUS-004985,PRD-00282,ITM-000030393,2024-05-01,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000074,CUS-010391,PRD-00860,ITM-000008111,2021-06-10,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000075,CUS-011731,PRD-00206,ITM-000061048,2021-07-03,3,,,True
REV-0000076,CUS-009715,PRD-00227,ITM-000035267,2024-01-31,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000077,CUS-007430,PRD-00063,ITM-000045073,2026-09-28,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000078,CUS-006889,PRD-00716,ITM-000054601,2026-05-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000079,CUS-009345,PRD-00625,ITM-000020650,2020-04-24,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000080,CUS-003128,PRD-00724,ITM-000077701,2023-10-29,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000081,CUS-010248,PRD-00470,ITM-000006483,2020-04-22,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000082,CUS-001359,PRD-00628,ITM-000015429,2022-06-25,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000083,CUS-000941,PRD-00417,ITM-000021094,2022-06-30,4,,,True
REV-0000084,CUS-010131,PRD-00596,ITM-000002360,2021-10-01,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000085,CUS-003946,PRD-00321,ITM-000064113,2020-06-29,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000086,CUS-010418,PRD-00285,ITM-000026564,2024-09-15,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000087,CUS-000579,PRD-00501,ITM-000059258,2020-05-02,1,Product quality was disap,Product quality was disappointing.,True
REV-0000088,CUS-002491,PRD-00196,ITM-000045427,2024-01-09,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000089,CUS-002422,PRD-00667,ITM-000005722,2021-01-22,5,,,True
REV-0000090,CUS-003735,PRD-00819,ITM-000076740,2023-11-25,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000091,CUS-001571,PRD-00210,ITM-000025962,2026-04-20,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000092,CUS-006664,PRD-00070,ITM-000007168,2024-04-16,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000093,CUS-008271,PRD-00758,ITM-000020875,2024-01-12,3,,,True
REV-0000094,CUS-000261,PRD-00095,ITM-000049919,2022-11-08,4,,,True
REV-0000095,CUS-010363,PRD-00314,ITM-000024470,2022-05-25,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000096,CUS-003250,PRD-00845,ITM-000039803,2026-09-13,4,,,True
REV-0000097,CUS-003292,PRD-00188,ITM-000036528,2025-02-23,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000098,CUS-002151,PRD-00159,ITM-000064734,2023-02-14,2,Product quality was disap,Product quality was disappointing.,True
REV-0000099,CUS-002392,PRD-00502,ITM-000022794,2021-06-29,4,,,True
REV-0000100,CUS-003538,PRD-00017,ITM-000025817,2025-05-03,5,,,True
REV-0000101,CUS-005621,PRD-00890,ITM-000015603,2025-03-06,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000102,CUS-003106,PRD-00246,ITM-000048100,2025-01-13,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000103,CUS-005104,PRD-00267,ITM-000026858,2024-03-16,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000104,CUS-008295,PRD-00108,ITM-000036639,2025-11-30,3,,,True
REV-0000105,CUS-007197,PRD-00823,ITM-000025933,2022-08-12,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000106,CUS-008846,PRD-00690,ITM-000060038,2024-11-07,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000107,CUS-003554,PRD-00355,ITM-000059492,2021-07-18,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000108,CUS-001085,PRD-00716,ITM-000026294,2024-12-01,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000109,CUS-007597,PRD-00163,ITM-000014776,2021-08-20,2,,,True
REV-0000110,CUS-008402,PRD-00188,ITM-000008835,2020-02-10,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000111,CUS-008721,PRD-00266,ITM-000001990,2025-06-24,5,,,True
REV-0000112,CUS-001262,PRD-00582,ITM-000004924,2024-01-28,2,Product quality was disap,Product quality was disappointing.,True
REV-0000113,,PRD-00816,ITM-000056538,2026-07-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000114,CUS-009020,PRD-00807,ITM-000068053,2025-06-21,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000115,CUS-005121,PRD-00561,ITM-000041107,2026-01-15,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000116,CUS-004906,PRD-00669,ITM-000069556,2021-07-24,5,,,True
REV-0000117,CUS-009998,PRD-00208,ITM-000073847,2025-03-17,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000118,CUS-002525,PRD-00199,ITM-000047538,2024-11-02,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000119,CUS-001047,PRD-00304,ITM-000042073,2025-09-03,1,,,True
REV-0000120,CUS-009400,PRD-00762,ITM-000042810,2020-06-11,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000121,CUS-008860,PRD-00749,ITM-000041758,2026-05-17,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000122,CUS-006495,PRD-00626,ITM-000069950,2020-11-08,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000123,CUS-005569,PRD-00877,ITM-000071626,2021-03-08,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000124,CUS-005555,PRD-00543,ITM-000032671,2026-09-23,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000125,CUS-005291,PRD-00067,ITM-000049969,2020-10-26,2,Product quality was disap,Product quality was disappointing.,True
REV-0000126,CUS-011484,PRD-00767,ITM-000061753,2026-09-15,5,,,True
REV-0000127,CUS-002985,PRD-00773,ITM-000026287,2025-01-21,2,Product quality was disap,Product quality was disappointing.,True
REV-0000128,CUS-006503,PRD-00619,ITM-000052261,2022-10-12,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000129,CUS-004679,PRD-00427,ITM-000048585,2024-03-06,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000130,CUS-004876,PRD-00754,ITM-000070490,2021-11-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000131,CUS-010288,PRD-00636,ITM-000034229,2024-07-22,5,,,True
REV-0000132,CUS-002646,PRD-00639,ITM-000012266,2023-07-17,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000133,CUS-006237,PRD-00531,ITM-000016941,2025-07-06,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000134,CUS-008100,PRD-00754,ITM-000059698,2024-12-11,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000135,CUS-006215,PRD-00199,ITM-000038473,2022-12-31,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000136,CUS-006830,PRD-00615,ITM-000071730,2021-12-12,4,,,True
REV-0000137,CUS-010446,PRD-00666,ITM-000055464,2026-01-02,2,,,True
REV-0000138,CUS-008995,PRD-00672,ITM-000003612,2020-05-23,3,,,True
REV-0000139,CUS-007284,PRD-00216,ITM-000023582,2021-05-01,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000140,CUS-005783,PRD-00559,ITM-000070967,2024-03-19,1,Product quality was disap,Product quality was disappointing.,True
REV-0000141,CUS-004960,PRD-00422,ITM-000050184,2026-04-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000142,CUS-006534,PRD-00423,ITM-000060361,2025-01-25,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000143,CUS-000237,PRD-00767,ITM-000033797,2023-07-29,2,Product quality was disap,Product quality was disappointing.,True
REV-0000144,CUS-005323,PRD-00098,ITM-000007094,2021-08-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000145,CUS-000093,PRD-00687,ITM-000074999,2020-05-25,1,Product quality was disap,Product quality was disappointing.,True
REV-0000146,CUS-011090,PRD-00569,ITM-000020112,2024-07-12,2,,,True
REV-0000147,CUS-003832,PRD-00775,ITM-000053170,2022-06-16,4,,,True
REV-0000148,CUS-004882,PRD-00606,ITM-000024560,2020-09-06,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000149,CUS-004961,PRD-00236,ITM-000004959,2020-08-14,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000150,CUS-004052,PRD-00489,ITM-000011999,2021-12-27,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000151,CUS-010355,PRD-00267,ITM-000034110,2020-06-08,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000152,CUS-000366,PRD-00574,ITM-000063907,2026-07-05,2,Product quality was disap,Product quality was disappointing.,True
REV-0000153,CUS-006248,PRD-00596,ITM-000068068,2022-09-07,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000154,,PRD-00406,ITM-000009983,2023-05-22,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000155,CUS-008614,PRD-00704,ITM-000005970,2023-12-22,2,Product quality was disap,Product quality was disappointing.,True
REV-0000156,CUS-010112,PRD-00248,ITM-000027545,2025-04-05,5,,,True
REV-0000157,CUS-006039,PRD-00835,ITM-000055806,2020-07-27,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000158,CUS-010412,PRD-00564,ITM-000078250,2025-10-18,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000159,CUS-008564,PRD-00112,ITM-000054069,2022-03-13,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000160,CUS-002470,PRD-00480,ITM-000010195,2020-04-03,2,Product quality was disap,Product quality was disappointing.,True
REV-0000161,CUS-007454,PRD-00719,ITM-000066239,2022-09-29,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000162,CUS-000202,PRD-00861,ITM-000032239,2024-06-09,2,Product quality was disap,Product quality was disappointing.,True
REV-0000163,CUS-008372,PRD-00665,ITM-000039525,2023-06-01,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000164,CUS-006070,PRD-00126,ITM-000075167,2026-09-03,4,,,True
REV-0000165,CUS-000653,PRD-00587,ITM-000000628,2021-03-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000166,CUS-001206,PRD-00316,ITM-000034800,2025-08-29,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000167,CUS-010702,PRD-00640,ITM-000034578,2020-02-04,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000168,CUS-000170,PRD-00673,ITM-000014112,2024-04-02,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000169,CUS-010744,PRD-00524,ITM-000073854,2022-12-19,4,,,True
REV-0000170,CUS-008395,PRD-00666,ITM-000038297,2026-08-24,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000171,CUS-003607,PRD-00133,ITM-000013022,2022-05-15,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000172,CUS-009585,PRD-00436,ITM-000073626,2024-02-06,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000173,CUS-000497,PRD-00844,ITM-000053642,2024-12-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000174,CUS-000526,PRD-00158,ITM-000057818,2021-08-18,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000175,CUS-004593,PRD-00213,ITM-000018168,2022-02-11,2,Product quality was disap,Product quality was disappointing.,True
REV-0000176,CUS-006168,PRD-00287,ITM-000053377,2023-01-14,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000177,CUS-006228,PRD-00609,ITM-000037665,2025-05-11,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000178,CUS-002171,PRD-00676,ITM-000079323,2023-01-26,4,,,True
REV-0000179,CUS-004527,PRD-00165,ITM-000044611,2020-03-22,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000180,CUS-009241,PRD-00597,ITM-000031188,2024-06-05,1,Product quality was disap,Product quality was disappointing.,True
REV-0000181,CUS-001228,PRD-00527,ITM-000032066,2025-08-02,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000182,CUS-002274,PRD-00548,ITM-000070609,2025-06-15,2,Product quality was disap,Product quality was disappointing.,True
REV-0000183,CUS-004902,PRD-00643,ITM-000050950,2022-06-05,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000184,CUS-006170,PRD-00021,ITM-000071562,2022-07-26,1,Product quality was disap,Product quality was disappointing.,True
REV-0000185,CUS-005335,PRD-00372,ITM-000052731,2024-07-29,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000186,CUS-003761,PRD-00700,ITM-000068706,2023-05-26,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000187,CUS-005409,PRD-00262,ITM-000064882,2023-01-15,1,Product quality was disap,Product quality was disappointing.,True
REV-0000188,CUS-004891,PRD-00323,ITM-000040031,2020-06-18,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000189,CUS-005548,PRD-00682,ITM-000030353,2025-03-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000190,CUS-004578,PRD-00742,ITM-000071695,2025-01-17,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000191,CUS-011170,PRD-00124,ITM-000069395,2026-07-21,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000192,CUS-004125,PRD-00772,ITM-000044671,2020-12-02,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000193,CUS-009086,PRD-00788,ITM-000002626,2026-01-03,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000194,CUS-007021,PRD-00289,ITM-000040650,2022-07-20,5,,,True
REV-0000195,CUS-004994,PRD-00176,ITM-000071815,2025-11-14,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000196,CUS-011961,PRD-00776,ITM-000063515,2022-04-28,2,Product quality was disap,Product quality was disappointing.,True
REV-0000197,CUS-000877,PRD-00077,ITM-000016702,2022-04-17,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000198,CUS-007867,PRD-00875,ITM-000065716,2022-04-11,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000199,CUS-011653,PRD-00377,ITM-000017814,2026-07-08,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000200,CUS-002582,PRD-00163,ITM-000057429,2021-11-11,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000201,CUS-008758,PRD-00475,ITM-000001306,2023-05-06,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000202,CUS-005011,PRD-00245,ITM-000063356,2025-11-07,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000203,CUS-011990,PRD-00874,ITM-000064927,2020-11-26,2,,,True
REV-0000204,CUS-001173,PRD-00813,ITM-000034987,2023-04-18,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000205,CUS-009235,PRD-00533,ITM-000039552,2023-10-23,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000206,CUS-008877,PRD-00830,ITM-000078638,2021-11-04,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000207,CUS-000160,PRD-00203,ITM-000020636,2022-11-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000208,CUS-003562,PRD-00180,ITM-000077683,2025-09-30,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000209,CUS-010584,PRD-00144,ITM-000043379,2024-12-09,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000210,CUS-005059,PRD-00603,ITM-000058483,2025-04-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000211,CUS-009067,PRD-00865,ITM-000074067,2022-04-28,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000212,CUS-006267,PRD-00583,ITM-000067015,2023-02-15,1,Product quality was disap,Product quality was disappointing.,True
REV-0000213,CUS-009754,PRD-00118,ITM-000074318,2025-01-07,1,Product quality was disap,Product quality was disappointing.,True
REV-0000214,CUS-003513,PRD-00595,ITM-000010880,2022-01-12,4,,,True
REV-0000215,CUS-005445,PRD-00027,ITM-000031831,2026-04-06,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000216,CUS-001556,PRD-00390,ITM-000018173,2025-05-12,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000217,CUS-011499,PRD-00834,ITM-000013595,2020-03-27,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000218,CUS-007475,PRD-00542,ITM-000053494,2023-03-20,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000219,CUS-008682,PRD-00220,ITM-000001149,2026-03-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000220,CUS-001702,PRD-00291,ITM-000073219,2026-03-08,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000221,CUS-001974,PRD-00617,ITM-000058403,2023-12-30,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000222,CUS-002568,PRD-00361,ITM-000021381,2024-06-20,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000223,CUS-006919,PRD-00033,ITM-000044954,2025-02-28,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000224,CUS-010495,PRD-00695,ITM-000018922,2021-12-15,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000225,CUS-006331,PRD-00760,ITM-000032566,2025-01-26,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000226,CUS-005306,PRD-00451,ITM-000009550,2026-09-17,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000227,CUS-000609,PRD-00791,ITM-000007590,2025-05-01,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000228,CUS-002329,PRD-00461,ITM-000055817,2021-04-07,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000229,CUS-005955,PRD-00335,ITM-000063598,2023-10-22,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000230,,PRD-00176,ITM-000048422,2026-07-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000231,CUS-001579,PRD-00304,ITM-000019295,2021-06-30,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000232,,PRD-00244,ITM-000067524,2020-03-25,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000233,,PRD-00627,ITM-000057014,2021-06-17,4,,,True
REV-0000234,CUS-011519,PRD-00321,ITM-000070056,2026-03-15,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000235,CUS-009294,PRD-00638,ITM-000055843,2021-06-24,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000236,CUS-011847,PRD-00086,ITM-000028735,2020-03-08,5,Good quality and exactly ,Good quality and exactly as expected.,True
