order_item_id,order_id,product_id,quantity,unit_price,discount_amount,unit_cost,fulfillment_status,returned,customer_id,channel,fulfillment_method,payment_method,department,category,brand
ITM-000000079,ORD-00000044,PRD-00154,2,23.65,0.0,15.74,Fulfilled,0,CUS-007632,Mobile,Courier,Buy Now Pay Later,Home & Living,Home Décor,Luma
ITM-000000080,ORD-00000045,PRD-00840,2,293.33,0.0,206.28,Fulfilled,0,CUS-006336,Store,In Store,Cash,Electronics & Accessories,Computer Accessories,Luma
ITM-000000081,ORD-00000045,PRD-00684,3,107.54,0.0,94.28,Fulfilled,1,CUS-006336,Store,In Store,Cash,Fashion & Accessories,Men's Clothing,Solara
ITM-000000082,ORD-00000046,PRD-00354,1,31.6,6.32,25.26,Fulfilled,0,CUS-003724,Mobile,Home Delivery,Digital Wallet,Beauty & Personal Care,Haircare,Mira
ITM-000000083,ORD-00000047,PRD-00492,2,89.38,0.0,62.41,Fulfilled,0,CUS-003229,Store,In Store,Card,Home & Living,Bedding,Nova
ITM-000000084,ORD-00000048,PRD-00483,1,90.65,0.0,45.67,Fulfilled,0,CUS-007015,Website,Home Delivery,Cash,Home & Living,Bedding,Nova
ITM-000000085,ORD-00000049,PRD-00289,2,94.59,0.0,53.14,Fulfilled,0,,Marketplace,Click & Collect,Card,Home & Living,Bedding,Mira
ITM-000000086,ORD-00000050,PRD-00866,2,112.02,0.0,81.79,Fulfilled,0,CUS-010430,Store,In Store,Buy Now Pay Later,Electronics & Accessories,Computer Accessories,Mira
ITM-000000087,ORD-00000050,PRD-00869,1,218.69,0.0,112.14,Fulfilled,0,CUS-010430,Store,In Store,Buy Now Pay Later,Beauty & Personal Care,Haircare,Orion
ITM-000000088,ORD-00000050,PRD-00821,1,38.14,1.91,17.73,Fulfilled,0,CUS-010430,Store,In Store,Buy Now Pay Later,Home & Living,Bedding,Solara
ITM-000000089,ORD-00000051,PRD-00580,1,211.61,0.0,127.62,Fulfilled,0,CUS-007963,Mobile,Click & Collect,Card,Fashion & Accessories,Footwear,Pulse
ITM-000000090,ORD-00000052,PRD-00719,1,227.4,0.0,166.83,Fulfilled,0,CUS-006904,Store,In Store,Card,Home & Living,Bedding,Nova
ITM-000000091,ORD-00000052,PRD-00708,1,28.66,2.87,16.81,Fulfilled,0,CUS-006904,Store,In Store,Card,Sport & Lifestyle,Travel,Solara
ITM-000000092,ORD-00000053,PRD-00555,1,32.64,0.0,21.59,Fulfilled,0,CUS-003974,Website,Home Delivery,Digital Wallet,Beauty & Personal Care,Fragrance,Mira
ITM-000000093,ORD-00000053,PRD-00149,2,24.09,0.0,17.14,Fulfilled,0,CUS-003974,Website,Home Delivery,Digital Wallet,Fashion & Accessories,Footwear,Aurelia Select
ITM-000000094,ORD-00000054,PRD-00722,1,107.27,0.0,63.45,Fulfilled,0,CUS-009919,Mobile,Courier,Card,Electronics & Accessories,Audio,Mira
ITM-000000095,ORD-00000055,PRD-00640,2,57.09,0.0,37.42,Fulfilled,0,CUS-010990,Store,In Store,Cash,Beauty & Personal Care,Cosmetics,Aurelia Select
ITM-000000096,ORD-00000055,PRD-00004,1,43.81,0.0,34.47,Fulfilled,0,CUS-010990,Store,In Store,Cash,Sport & Lifestyle,Fitness,Luma
ITM-000000097,ORD-00000056,PRD-00884,1,39.68,1.98,27.11,Cancelled,0,CUS-010863,Store,In Store,EFT,Sport & Lifestyle,Outdoor,Solara
ITM-000000098,ORD-00000057,PRD-00094,1,86.36,0.0,60.3,Fulfilled,0,CUS-008667,Store,In Store,Card,Beauty & Personal Care,Cosmetics,Luma
ITM-000000099,ORD-00000057,PRD-00708,3,28.66,0.0,17.33,Fulfilled,0,CUS-008667,Store,In Store,Card,Sport & Lifestyle,Travel,Solara
ITM-000000100,ORD-00000058,PRD-00577,1,52.59,0.0,23.36,Fulfilled,0,CUS-005632,Store,In Store,EFT,Fashion & Accessories,Women's Clothing,Vela
ITM-000000101,ORD-00000059,PRD-00518,1,15.53,0.78,12.07,Fulfilled,0,CUS-005396,Store,In Store,EFT,Home & Living,Home Décor,Aurelia Select
ITM-000000102,ORD-00000059,PRD-00666,1,41.81,0.0,29.04,Fulfilled,0,CUS-005396,Store,In Store,EFT,Sport & Lifestyle,Sports Accessories,Solara
ITM-000000103,ORD-00000060,PRD-00876,1,84.78,0.0,45.02,Fulfilled,0,CUS-003293,Store,In Store,Buy Now Pay Later,Fashion & Accessories,Men's Clothing,Nova
ITM-000000104,ORD-00000061,PRD-00602,1,231.37,0.0,127.92,Fulfilled,1,CUS-000691,Mobile,Click & Collect,EFT,Electronics & Accessories,Audio,Orion
ITM-000000105,ORD-00000062,PRD-00583,1,59.05,0.0,42.86,Fulfilled,1,CUS-011450,Website,Home Delivery,Digital Wallet,Fashion & Accessories,Footwear,Mira
ITM-000000106,ORD-00000063,PRD-00712,1,51.93,2.6,38.67,Fulfilled,0,CUS-007072,Website,Home Delivery,Card,Sport & Lifestyle,Sports Accessories,Luma
ITM-000000107,ORD-00000064,PRD-00471,1,105.94,10.59,61.32,Fulfilled,0,CUS-006289,Store,In Store,Digital Wallet,Beauty & Personal Care,fragrance,Pulse
ITM-000000108,ORD-00000064,PRD-00658,1,82.7,4.14,66.23,Fulfilled,0,CUS-006289,Store,In Store,Digital Wallet,Fashion & Accessories,Bags,Mira
ITM-000000109,ORD-00000065,PRD-00486,1,127.87,0.0,93.68,Fulfilled,0,CUS-009815,Store,In Store,Card,Beauty & Personal Care,Fragrance,Luma
ITM-000000110,ORD-00000065,PRD-00412,1,87.59,0.0,49.36,Fulfilled,0,CUS-009815,Store,In Store,Card,Sport & Lifestyle,Outdoor,Pulse
ITM-000000111,ORD-00000065,PRD-00255,1,58.64,0.0,45.33,Fulfilled,0,CUS-009815,Store,In Store,Card,Fashion & Accessories,Women's Clothing,Solara
ITM-000000112,ORD-00000066,PRD-00758,1,85.69,12.85,58.02,Cancelled,0,CUS-011447,Marketplace,Home Delivery,Digital Wallet,Electronics & Accessories,Chargers,Aurelia Select
ITM-000000113,ORD-00000067,PRD-00628,1,66.45,0.0,53.16,Fulfilled,0,CUS-010942,Store,In Store,Buy Now Pay Later,Sport & Lifestyle,Outdoor,Nova
ITM-000000114,ORD-00000067,PRD-00511,2,80.04,0.0,42.33,Fulfilled,0,CUS-010942,Store,In Store,Buy Now Pay Later,Home & Living,Furniture,Vela
ITM-000000115,ORD-00000067,PRD-00185,1,181.71,0.0,134.27,Fulfilled,0,CUS-010942,Store,In Store,Buy Now Pay Later,Fashion & Accessories,Men's Clothing,Vela
ITM-000000116,ORD-00000068,PRD-00444,2,50.49,0.0,35.8,Fulfilled,0,CUS-008011,Mobile,Home Delivery,Cash,Home & Living,Bedding,Orion
ITM-000000117,ORD-00000068,PRD-00125,1,45.99,4.6,30.54,Fulfilled,0,CUS-008011,Mobile,Home Delivery,Cash,Home & Living,Bedding,Mira
ITM-000000118,ORD-00000068,PRD-00207,1,227.02,11.35,106.24,Fulfilled,0,CUS-008011,Mobile,Home Delivery,Cash,Home & Living,Bedding,Luma
ITM-000000119,ORD-00000069,PRD-00419,1,111.73,0.0,75.42,Fulfilled,0,CUS-005888,Store,In Store,Cash,Beauty & Personal Care,Haircare,Solara
ITM-000000120,ORD-00000070,PRD-00149,1,24.09,2.41,16.06,Fulfilled,0,CUS-002914,Store,In Store,EFT,Fashion & Accessories,Footwear,Aurelia Select
ITM-000000121,ORD-00000071,PRD-00159,1,187.11,0.0,80.62,Fulfilled,0,CUS-003290,Store,In Store,EFT,Sport & Lifestyle,Outdoor,Orion
ITM-000000122,ORD-00000072,PRD-00595,1,101.73,0.0,56.85,Fulfilled,0,,Marketplace,Home Delivery,Cash,Beauty & Personal Care,Cosmetics,Orion
ITM-000000123,ORD-00000073,PRD-00624,3,69.62,41.77,46.51,Fulfilled,1,CUS-003689,Store,In Store,Cash,Home & Living,Furniture,Solara
ITM-000000124,ORD-00000073,PRD-00893,1,250.15,0.0,183.56,Fulfilled,0,CUS-003689,Store,In Store,Cash,Fashion & Accessories,Women's Clothing,Mira
ITM-000000125,ORD-00000074,PRD-00855,2,112.53,33.76,83.75,Fulfilled,0,CUS-005215,Website,Home Delivery,Cash,Fashion & Accessories,Bags,Vela
ITM-000000126,ORD-00000075,PRD-00856,1,110.72,5.54,53.45,Fulfilled,0,CUS-009023,Store,In Store,EFT,Sport & Lifestyle,Sports Accessories,Pulse
ITM-000000127,ORD-00000076,PRD-00014,1,110.68,0.0,69.55,Fulfilled,1,CUS-008812,Mobile,Home Delivery,Card,Electronics & Accessories,Audio,Orion
ITM-000000128,ORD-00000076,PRD-00003,1,17.02,0.0,11.69,Fulfilled,0,CUS-008812,Mobile,Home Delivery,Card,Sport & Lifestyle,Fitness,Nova
ITM-000000129,ORD-00000077,PRD-00208,1,151.57,0.0,104.67,Fulfilled,0,CUS-002369,Store,In Store,Card,Electronics & Accessories,Chargers,Pulse
ITM-000000130,ORD-00000077,PRD-00710,1,202.39,60.72,94.72,Fulfilled,0,CUS-002369,Store,In Store,Card,Home & Living,Furniture,Luma
ITM-000000131,ORD-00000078,PRD-00168,1,32.28,6.46,27.73,Fulfilled,0,CUS-006139,Website,Home Delivery,EFT,Beauty & Personal Care,Skincare,Nova
ITM-000000132,ORD-00000079,PRD-00819,1,42.61,0.0,23.4,Fulfilled,0,CUS-011969,Website,Home Delivery,Buy Now Pay Later,Electronics & Accessories,Computer Accessories,Mira
ITM-000000133,ORD-00000080,PRD-00303,1,170.92,0.0,87.55,Fulfilled,0,CUS-008835,Store,In Store,Card,Beauty & Personal Care,Skincare,Solara
ITM-000000134,ORD-00000081,PRD-00638,2,33.84,0.0,26.26,Fulfilled,0,CUS-011622,Store,In Store,Cash,Home & Living,Home Décor,Nova
ITM-000000135,ORD-00000082,PRD-00461,1,38.5,0.0,21.76,Fulfilled,0,CUS-003423,Marketplace,Home Delivery,Digital Wallet,Beauty & Personal Care,Skincare,Vela
ITM-000000136,ORD-00000082,PRD-00033,1,26.85,0.0,17.87,Fulfilled,0,CUS-003423,Marketplace,Home Delivery,Digital Wallet,Home & Living,Bedding,Orion
ITM-000000137,ORD-00000083,PRD-00832,1,79.5,0.0,51.63,Fulfilled,0,CUS-010318,Store,In Store,Buy Now Pay Later,Beauty & Personal Care,Fragrance,Solara
ITM-000000138,ORD-00000083,PRD-00538,1,96.35,0.0,61.85,Fulfilled,1,CUS-010318,Store,In Store,Buy Now Pay Later,Fashion & Accessories,Footwear,Aurelia Select
ITM-000000139,ORD-00000083,PRD-00344,1,54.8,10.96,26.42,Fulfilled,1,CUS-010318,Store,In Store,Buy Now Pay Later,Fashion & Accessories,Bags,Mira
ITM-000000140,ORD-00000084,PRD-00425,2,23.41,0.0,16.38,Fulfilled,0,CUS-010236,Store,In Store,Buy Now Pay Later,Home & Living,Kitchen,Orion
ITM-000000141,ORD-00000085,PRD-00047,1,120.85,24.17,57.83,Fulfilled,0,CUS-001162,Marketplace,Home Delivery,Cash,Electronics & Accessories,Computer Accessories,Pulse
ITM-000000142,ORD-00000085,PRD-00151,2,101.24,0.0,83.71,Fulfilled,0,CUS-001162,Marketplace,Home Delivery,Cash,Home & Living,Furniture,Solara
ITM-000000143,ORD-00000086,PRD-00610,1,31.24,0.0,15.36,Fulfilled,0,CUS-009591,Store,In Store,Digital Wallet,Electronics & Accessories,Smart Devices,Solara
ITM-000000144,ORD-00000086,PRD-00152,2,192.01,19.2,119.97,Fulfilled,0,CUS-009591,Store,In Store,Digital Wallet,Home & Living,Home Décor,Vela
ITM-000000145,ORD-00000087,PRD-00815,1,110.47,5.52,62.04,Fulfilled,0,CUS-007703,Website,Click & Collect,Buy Now Pay Later,Fashion & Accessories,Bags,Aurelia Select
ITM-000000146,ORD-00000088,PRD-00228,2,58.23,0.0,35.86,Cancelled,0,CUS-010319,Mobile,Click & Collect,EFT,Fashion & Accessories,Bags,Vela
ITM-000000147,ORD-00000089,PRD-00458,1,30.4,0.0,19.45,Fulfilled,0,CUS-011379,Mobile,Click & Collect,Digital Wallet,Sport & Lifestyle,Sports Accessories,Mira
ITM-000000148,ORD-00000089,PRD-00853,1,123.31,12.33,89.98,Fulfilled,0,CUS-011379,Mobile,Click & Collect,Digital Wallet,Fashion & Accessories,Men's Clothing,Orion
ITM-000000149,ORD-00000089,PRD-00791,1,134.46,0.0,97.24,Fulfilled,0,CUS-011379,Mobile,Click & Collect,Digital Wallet,Home & Living,Bedding,Aurelia Select
ITM-000000150,ORD-00000089,PRD-00880,1,78.74,0.0,49.16,Fulfilled,0,CUS-011379,Mobile,Click & Collect,Digital Wallet,Home & Living,Furniture,Mira
ITM-000000151,ORD-00000090,PRD-00602,1,231.37,0.0,124.51,Fulfilled,0,CUS-009828,Store,In Store,EFT,Electronics & Accessories,Audio,Orion
ITM-000000152,ORD-00000091,PRD-00567,2,120.3,0.0,60.62,Fulfilled,0,CUS-004954,Store,In Store,Card,Electronics & Accessories,Smart Devices,Solara
ITM-000000153,ORD-00000092,PRD-00747,2,163.55,0.0,124.26,Fulfilled,0,CUS-003727,Store,In Store,Card,Home & Living,Kitchen,Mira
ITM-000000154,ORD-00000092,PRD-00671,1,65.3,0.0,52.7,Fulfilled,0,CUS-003727,Store,In Store,Card,Electronics & Accessories,Audio,Mira
ITM-000000155,ORD-00000093,PRD-00251,2,62.16,0.0,40.51,Fulfilled,0,,Marketplace,Courier,Buy Now Pay Later,Beauty & Personal Care,Haircare,Solara
ITM-000000156,ORD-00000093,PRD-00157,2,140.43,0.0,67.39,Fulfilled,0,,Marketplace,Courier,Buy Now Pay Later,Fashion & Accessories,Men's Clothing,Nova
ITM-000000157,ORD-00000093,PRD-00368,1,40.83,0.0,29.05,Fulfilled,1,,Marketplace,Courier,Buy Now Pay Later,Electronics & Accessories,Audio,Solara
ITM-000000158,ORD-00000094,PRD-00639,1,341.98,0.0,168.08,Fulfilled,0,CUS-001535,Mobile,Click & Collect,Cash,Sport & Lifestyle,Travel,Pulse
