order_id,customer_id,order_date,channel,store_id,fulfillment_method,order_status,payment_method,gross_order_value,discount_amount,shipping_fee,tax_amount
ORD-00000044,CUS-007632,2023-06-06,Mobile,,Courier,Completed,Buy Now Pay Later,214.79,0.0,69.0,32.22
ORD-00000045,CUS-006336,2020-06-30,Store,STR-029,In Store,Completed,Cash,909.28,0.0,0.0,136.39
ORD-00000046,CUS-003724,2024-01-05,Mobile,,Home Delivery,Completed,Digital Wallet,31.6,6.32,49.0,3.79
ORD-00000047,CUS-003229,2021-03-10,Store,STR-015,In Store,Completed,Card,178.76,0.0,0.0,26.81
ORD-00000048,CUS-007015,2025-08-31,Website,,Home Delivery,Completed,Cash,90.65,0.0,89.0,13.6
ORD-00000049,,2021-08-10,Marketplace,,Click & Collect,Completed,Card,189.18,0.0,0.0,28.38
ORD-00000050,CUS-010430,2025-04-16,Store,STR-026,In Store,Completed,Buy Now Pay Later,480.87,1.91,0.0,71.84
ORD-00000051,CUS-007963,2022-03-12,Mobile,,Click & Collect,Completed,Card,211.61,0.0,0.0,31.74
ORD-00000052,CUS-006904,2022-02-06,Store,STR-022,In Store,Completed,Card,256.06,2.87,0.0,37.98
ORD-00000053,CUS-003974,2020-01-05,Website,,Home Delivery,Completed,Digital Wallet,80.82,0.0,49.0,12.12
ORD-00000054,CUS-009919,2026-02-16,Mobile,,Courier,Completed,Card,107.27,0.0,89.0,16.09
ORD-00000055,CUS-010990,2023-09-05,Store,STR-011,In Store,Completed,Cash,157.99,0.0,0.0,23.7
ORD-00000056,CUS-010863,2020-12-24,Store,STR-007,In Store,Cancelled,EFT,39.68,1.98,0.0,5.66
ORD-00000057,CUS-008667,2020-03-24,Store,STR-028,In Store,Completed,Card,172.34,0.0,0.0,25.85
ORD-00000058,CUS-005632,2021-11-02,Store,STR-036,In Store,Completed,EFT,52.59,0.0,0.0,7.89
ORD-00000059,CUS-005396,2023-04-14,Store,STR-026,In Store,Completed,EFT,57.34,0.78,0.0,8.48
ORD-00000060,CUS-003293,2020-03-23,Store,STR-025,In Store,Completed,Buy Now Pay Later,84.78,0.0,0.0,12.72
ORD-00000061,CUS-000691,2022-05-28,Mobile,,Click & Collect,Completed,EFT,231.37,0.0,0.0,34.71
ORD-00000062,CUS-011450,2022-01-27,Website,,Home Delivery,Completed,Digital Wallet,59.05,0.0,49.0,8.86
ORD-00000063,CUS-007072,2025-10-25,Website,,Home Delivery,Pending,Card,51.93,2.6,49.0,7.4
ORD-00000064,CUS-006289,2022-10-04,Store,STR-032,In Store,Completed,Digital Wallet,188.64,14.73,0.0,26.09
ORD-00000065,CUS-009815,2020-09-11,Store,STR-048,In Store,Completed,Card,274.1,0.0,0.0,41.12
ORD-00000066,CUS-011447,2021-08-10,Marketplace,,Home Delivery,Cancelled,Digital Wallet,85.69,12.85,89.0,10.93
ORD-00000067,CUS-010942,2025-07-04,Store,STR-049,In Store,Completed,Buy Now Pay Later,408.24,0.0,0.0,61.24
ORD-00000068,CUS-008011,2020-01-31,Mobile,,Home Delivery,Completed,Cash,373.99,15.95,69.0,53.71
ORD-00000069,CUS-005888,2020-11-20,Store,STR-045,In Store,Completed,Cash,111.73,0.0,0.0,16.76
ORD-00000070,CUS-002914,2020-01-26,Store,STR-026,In Store,Completed,EFT,24.09,2.41,0.0,3.25
ORD-00000071,CUS-003290,2020-04-29,Store,STR-018,In Store,Completed,EFT,187.11,0.0,0.0,28.07
ORD-00000072,,2026-02-26,Marketplace,,Home Delivery,Completed,Cash,101.73,0.0,89.0,15.26
ORD-00000073,CUS-003689,2026-08-08,Store,STR-002,In Store,Completed,Cash,459.01,41.77,0.0,62.59
ORD-00000074,CUS-005215,2024-11-23,Website,,Home Delivery,Completed,Cash,225.06,33.76,69.0,28.7
ORD-00000075,CUS-009023,2020-08-11,Store,STR-018,In Store,Completed,EFT,110.72,5.54,0.0,15.78
ORD-00000076,CUS-008812,2024-08-26,Mobile,,Home Delivery,Completed,Card,127.7,0.0,69.0,19.16
ORD-00000077,CUS-002369,2025-02-23,Store,STR-040,In Store,Pending,Card,353.96,60.72,0.0,43.99
ORD-00000078,CUS-006139,2025-03-27,Website,,Home Delivery,Completed,EFT,32.28,6.46,89.0,3.87
ORD-00000079,CUS-011969,2024-12-23,Website,,Home Delivery,Completed,Buy Now Pay Later,42.61,0.0,49.0,6.39
ORD-00000080,CUS-008835,2024-08-16,Store,STR-003,In Store,Completed,Card,170.92,0.0,0.0,25.64
ORD-00000081,CUS-011622,2022-12-12,Store,STR-011,In Store,Completed,Cash,67.68,0.0,0.0,10.15
ORD-00000082,CUS-003423,2020-05-29,Marketplace,,Home Delivery,Completed,Digital Wallet,65.35,0.0,49.0,9.8
ORD-00000083,CUS-010318,2025-06-28,Store,STR-045,In Store,Completed,Buy Now Pay Later,230.65,10.96,0.0,32.95
ORD-00000084,CUS-010236,2026-03-03,Store,STR-021,In Store,Completed,Buy Now Pay Later,46.82,0.0,0.0,7.02
ORD-00000085,CUS-001162,2023-05-02,Marketplace,,Home Delivery,Completed,Cash,323.33,24.17,69.0,44.87
ORD-00000086,CUS-009591,2022-11-09,Store,STR-036,In Store,Completed,Digital Wallet,415.26,19.2,0.0,59.41
ORD-00000087,CUS-007703,2026-02-11,Website,,Click & Collect,Completed,Buy Now Pay Later,110.47,5.52,0.0,15.74
ORD-00000088,CUS-010319,2023-01-08,Mobile,,Click & Collect,Cancelled,EFT,116.46,0.0,0.0,17.47
ORD-00000089,CUS-011379,2022-06-21,Mobile,,Click & Collect,Completed,Digital Wallet,366.91,12.33,0.0,53.19
ORD-00000090,CUS-009828,2025-11-27,Store,STR-039,In Store,Completed,EFT,231.37,0.0,0.0,34.71
ORD-00000091,CUS-004954,2026-03-05,Store,STR-033,In Store,Completed,Card,240.6,0.0,0.0,36.09
ORD-00000092,CUS-003727,2021-05-12,Store,STR-048,In Store,Completed,Card,392.4,0.0,0.0,58.86
ORD-00000093,,2021-11-01,Marketplace,,Courier,Completed,Buy Now Pay Later,446.01,0.0,69.0,66.9
ORD-00000094,CUS-001535,2022-01-31,Mobile,,Click & Collect,Completed,Cash,1132.2800000000002,151.81,0.0,147.07
ORD-00000095,CUS-008934,2021-01-23,Marketplace,,Click & Collect,Completed,EFT,83.92,0.0,0.0,12.59
ORD-00000096,CUS-001064,2025-09-12,Mobile,,Home Delivery,Completed,Cash,654.04,0.0,0.0,98.11
ORD-00000097,CUS-007469,2026-06-28,Store,STR-015,In Store,Pending,EFT,87.68,0.0,0.0,13.15
ORD-00000098,CUS-004936,2023-06-18,Website,,Click & Collect,Completed,EFT,384.46,0.0,0.0,57.67
ORD-00000099,CUS-011894,2024-09-27,Store,STR-039,In Store,Pending,Cash,62.67,0.0,0.0,9.4
ORD-00000100,CUS-003348,2022-10-19,Store,STR-023,In Store,Completed,Card,334.34,11.39,0.0,48.44
ORD-00000101,CUS-002425,2026-08-20,Store,STR-017,In Store,Pending,Card,148.29,0.0,0.0,22.24
ORD-00000102,CUS-009784,2026-05-12,Store,STR-011,In Store,Completed,Digital Wallet,45.59,0.0,0.0,6.84
ORD-00000103,CUS-003541,2024-12-29,Website,,Courier,Completed,Card,138.55,0.0,89.0,20.78
ORD-00000104,CUS-002330,2025-12-03,Marketplace,,Home Delivery,Completed,Cash,25.57,0.0,69.0,3.84
ORD-00000105,CUS-002134,2020-11-24,Store,STR-048,In Store,Completed,EFT,136.12,1.99,0.0,20.12
ORD-00000106,CUS-008249,2025-11-29,Mobile,,Home  Delivery,Cancelled,Digital Wallet,295.78,20.2,69.0,41.34
ORD-00000107,CUS-009762,2022-11-04,Store,STR-013,In Store,Pending,EFT,49.67,0.0,0.0,7.45
ORD-00000108,CUS-005559,2021-05-31,Website,,Home Delivery,Completed,Card,145.09,0.0,49.0,21.76
ORD-00000109,CUS-003099,2026-03-16,Website,,Click & Collect,Completed,Cash,217.49,1.62,0.0,32.38
ORD-00000110,CUS-005156,2025-08-16,Website,,Click & Collect,Completed,EFT,58.64,0.0,0.0,8.8
ORD-00000111,CUS-005987,2020-11-24,Store,STR-041,In Store,Completed,Buy Now Pay Later,426.44,36.28,0.0,58.52
ORD-00000112,CUS-007063,2024-05-17,Store,STR-018,In Store,Completed,Cash,109.54,21.91,0.0,13.14
ORD-00000113,CUS-007095,2025-11-16,Store,STR-008,In Store,Completed,Digital Wallet,258.78,0.0,0.0,38.82
ORD-00000114,CUS-000766,2024-08-10,Store,STR-018,In Store,Completed,Buy Now Pay Later,441.0,0.0,0.0,66.15
ORD-00000115,CUS-009497,2023-03-19,Marketplace,,Home Delivery,Completed,Cash,282.4,0.0,49.0,42.36
ORD-00000116,CUS-008251,2020-04-26,Store,STR-018,In Store,Completed,Cash,107.96,0.0,0.0,16.19
ORD-00000117,CUS-003657,2023-04-22,Store,STR-001,In Store,Completed,Buy Now Pay Later,130.83,6.54,0.0,18.64
ORD-00000118,CUS-011101,2023-09-14,Store,STR-006,In Store,Completed,Buy Now Pay Later,137.26,0.0,0.0,20.59
ORD-00000119,CUS-003977,2025-08-13,Store,STR-041,In Store,Completed,Buy Now Pay Later,40.32,0.0,0.0,6.05
ORD-00000120,CUS-002379,2021-06-15,Website,,Click & Collect,Pending,Cash,419.39,23.21,0.0,59.43
ORD-00000121,CUS-007186,2021-05-17,Store,STR-012,In Store,Completed,Cash,867.63,6.23,0.0,129.21
ORD-00000122,CUS-001684,2026-03-06,Store,STR-019,In Store,Completed,Card,631.08,0.0,0.0,94.66
ORD-00000123,CUS-008130,2025-08-01,Website,,Home Delivery,Completed,Digital Wallet,116.05,0.0,49.0,17.41
ORD-00000124,CUS-007271,2023-09-29,Mobile,,Home Delivery,Completed,Card,123.53,20.35,49.0,15.48
ORD-00000125,CUS-001273,2022-12-21,Website,,Home Delivery,Cancelled,EFT,146.61,0.0,69.0,21.99
ORD-00000126,CUS-009486,2024-02-11,Website,,Courier,Completed,Buy Now Pay Later,123.09,12.31,89.0,16.62
ORD-00000127,CUS-010241,2021-01-05,Mobile,,Home  Delivery,Completed,Card,34.31,0.0,49.0,5.15
ORD-00000128,CUS-008423,2021-08-15,Website,,Home Delivery,Completed,Card,136.24,18.12,69.0,17.72
ORD-00000129,CUS-008393,2023-08-11,Website,,Home Delivery,Completed,Cash,317.69,45.43,49.0,40.84
ORD-00000130,CUS-001832,2022-10-22,Website,,Click & Collect,Completed,Card,374.88,0.0,0.0,56.23
ORD-00000131,CUS-009402,2021-03-09,Mobile,,Home Delivery,Completed,Cash,560.37,0.0,0.0,84.06
ORD-00000132,CUS-002603,2023-07-12,Store,STR-007,In Store,Completed,Digital Wallet,439.92,0.0,0.0,65.99
ORD-00000133,CUS-011059,2024-05-08,Store,STR-035,In Store,Completed,Digital Wallet,66.94,0.0,0.0,10.04
ORD-00000134,CUS-007706,2025-05-30,Store,STR-045,In Store,Completed,Buy Now Pay Later,190.4,28.56,0.0,24.28
ORD-00000135,CUS-004651,2024-03-13,Store,STR-002,In Store,Completed,EFT,249.64,0.0,0.0,37.45
ORD-00000136,CUS-003017,2024-01-28,Website,,Courier,Completed,EFT,507.86,0.0,0.0,76.18
ORD-00000137,CUS-010727,2023-09-16,Store,STR-006,In Store,Completed,Digital Wallet,165.55,0.0,0.0,24.83
ORD-00000138,CUS-000300,2020-10-02,Store,STR-030,In Store,Completed,EFT,179.27,0.0,0.0,26.89
ORD-00000139,CUS-009322,2022-07-24,Mobile,,Home Delivery,Completed,Cash,149.81,14.98,69.0,20.22
ORD-00000140,CUS-009868,2023-01-02,Store,STR-034,In Store,Cancelled,Buy Now Pay Later,1059.1,0.0,0.0,158.86
ORD-00000141,CUS-005532,2023-06-29,Store,STR-028,In Store,Completed,Digital Wallet,466.98,12.76,0.0,68.13
ORD-00000142,CUS-006994,2021-12-20,Website,,Click & Collect,Completed,Digital Wallet,56.52,0.0,0.0,8.48
ORD-00000143,CUS-005923,2024-12-15,Store,STR-047,In Store,Completed,Digital Wallet,89.36,0.0,0.0,13.4
ORD-00000144,CUS-004173,2023-08-04,Website,,Courier,Completed,Cash,161.45999999999998,0.0,49.0,24.22
ORD-00000145,CUS-001541,2022-01-13,Store,STR-016,In Store,Completed,Buy Now Pay Later,109.72,2.05,0.0,16.15
ORD-00000146,CUS-002119,2023-02-17,Store,STR-028,In Store,Completed,Card,72.05,7.21,0.0,9.73
ORD-00000147,CUS-001350,2024-09-23,Store,STR-044,In Store,Completed,EFT,155.12,0.0,0.0,23.27
ORD-00000148,CUS-008511,2020-02-24,Marketplace,,Click & Collect,Completed,Buy Now Pay Later,223.16,11.16,0.0,31.8
ORD-00000149,CUS-010350,2022-04-10,Store,STR-038,In Store,Completed,Digital Wallet,76.85,0.0,0.0,11.53
ORD-00000150,CUS-006402,2021-05-20,Website,,Home Delivery,Completed,EFT,577.91,9.67,0.0,85.24
ORD-00000151,CUS-000131,2022-02-21,Website,,Home Delivery,Completed,Card,646.4100000000001,65.42,0.0,87.15
ORD-00000152,CUS-006917,2024-05-25,Marketplace,,Courier,Completed,Digital Wallet,45.59,2.28,89.0,6.5
ORD-00000153,CUS-010546,2021-06-03,Store,STR-029,In Store,Completed,Digital Wallet,30.4,0.0,0.0,4.56
ORD-00000154,CUS-004256,2023-08-17,Store,STR-040,In Store,Completed,Buy Now Pay Later,47.06,0.0,0.0,7.06
ORD-00000155,CUS-001951,2022-07-07,Website,,Click & Collect,Completed,Digital Wallet,327.34000000000003,0.0,0.0,49.1
ORD-00000156,CUS-002038,2020-05-09,Store,STR-023,In Store,Completed,Buy Now Pay Later,80.86,0.0,0.0,12.13
ORD-00000157,CUS-003141,2025-11-25,Website,,Home Delivery,Completed,Digital Wallet,32.47,4.87,69.0,4.14
ORD-00000158,CUS-000458,2023-12-25,Mobile,,Click & Collect,Completed,Card,356.25,48.6,0.0,46.15
ORD-00000159,CUS-010163,2021-12-24,Website,,Home Delivery,Completed,Buy Now Pay Later,123.67,0.0,89.0,18.55
ORD-00000160,CUS-000668,2023-05-09,Store,STR-034,In Store,Completed,Cash,220.36,8.5,0.0,31.78
ORD-00000161,CUS-000117,2026-07-30,Marketplace,,Courier,Completed,Card,208.53,0.0,89.0,31.28
ORD-00000162,CUS-000622,2020-12-31,Website,,Home Delivery,Completed,Buy Now Pay Later,101.24,0.0,69.0,15.19
ORD-00000163,CUS-008616,2025-09-03,Store,STR-004,In Store,Completed,Digital Wallet,306.82,16.150000000000002,0.0,43.6
ORD-00000164,CUS-002733,2020-01-05,Store,STR-006,In Store,Completed,Buy Now Pay Later,134.47,0.0,0.0,20.17
ORD-00000165,CUS-002060,2025-10-04,Store,STR-004,In Store,Completed,EFT,228.02,0.0,0.0,34.2
ORD-00000166,,2022-03-27,Marketplace,,Home Delivery,Completed,Digital Wallet,340.34,47.92,69.0,43.86
ORD-00000167,CUS-006172,2021-12-21,Mobile,,Home Delivery,Completed,Digital Wallet,45.84,4.58,69.0,6.19
ORD-00000168,CUS-010538,2025-03-12,Store,STR-012,In Store,Completed,Card,280.37,9.55,0.0,40.62
ORD-00000169,,2021-02-02,Marketplace,,Home Delivery,Completed,Digital Wallet,298.81,0.0,69.0,44.82
ORD-00000170,CUS-011913,2020-11-19,Store,STR-045,In Store,Completed,Buy Now Pay Later,108.13,0.0,0.0,16.22
ORD-00000171,CUS-002175,2023-02-09,Mobile,,Click & Collect,Completed,Digital Wallet,35.3,0.0,0.0,5.29
ORD-00000172,CUS-008256,2026-04-17,Store,STR-036,In Store,Completed,Card,545.8399999999999,16.28,0.0,79.43
ORD-00000173,CUS-007425,2022-03-17,Mobile,,Home Delivery,Completed,Digital Wallet,89.62,0.0,89.0,13.44
ORD-00000174,CUS-003590,2023-08-13,Store,STR-035,In Store,Completed,Buy Now Pay Later,267.94,0.0,0.0,40.19
ORD-00000175,CUS-010600,2022-08-26,Website,,Click & Collect,Completed,Buy Now Pay Later,352.64,0.0,0.0,52.9
ORD-00000176,CUS-005439,2025-01-19,Mobile,,Home Delivery,Cancelled,Card,200.57,0.0,69.0,30.09
ORD-00000177,CUS-011394,2025-12-28,Mobile,,Click & Collect,Completed,Card,37.28,0.0,0.0,5.59
ORD-00000178,CUS-003341,2026-07-05,Website,,Home Delivery,Completed,Digital Wallet,410.09,11.93,69.0,59.72
ORD-00000179,CUS-001519,2021-10-17,Store,STR-041,In Store,Completed,Digital Wallet,366.04,13.95,0.0,52.81
ORD-00000180,CUS-008635,2021-10-01,Website,,Home Delivery,Completed,Buy Now Pay Later,261.33,0.0,69.0,39.2
ORD-00000181,CUS-000143,2026-02-28,Store,STR-011,In Store,Completed,Buy Now Pay Later,89.62,0.0,0.0,13.44
ORD-00000182,CUS-007393,2023-11-19,Website,,Click & Collect,Completed,Card,649.9300000000001,40.4,0.0,91.43
ORD-00000183,CUS-006898,2022-03-09,Website,,Home Delivery,Completed,EFT,178.18,0.0,69.0,26.73
ORD-00000184,CUS-010556,2022-04-09,Website,,Click & Collect,Completed,Cash,458.53,8.41,0.0,67.52
ORD-00000185,CUS-008486,2021-03-05,Store,STR-005,In Store,Completed,EFT,144.25,0.0,0.0,21.64
ORD-00000186,CUS-006695,2020-07-24,Website,,Courier,Cancelled,Buy Now Pay Later,151.88,3.98,89.0,22.18
ORD-00000187,CUS-010102,2022-04-23,Marketplace,,Click & Collect,Completed,Cash,198.35,0.0,0.0,29.75
ORD-00000188,CUS-009889,2025-04-15,Store,STR-024,In Store,Cancelled,Digital Wallet,252.45,0.0,0.0,37.87
ORD-00000189,CUS-002220,2024-05-24,Store,STR-007,In Store,Cancelled,Digital Wallet,231.53000000000003,0.0,0.0,34.73
ORD-00000190,CUS-001748,2020-01-30,Store,STR-043,In Store,Completed,Digital Wallet,575.99,83.47,0.0,73.88
ORD-00000191,CUS-004397,2020-04-18,Website,,Home Delivery,Completed,Cash,125.28,6.26,89.0,17.85
ORD-00000192,CUS-007948,2025-10-15,Website,,Courier,Completed,Cash,255.91,40.99,69.0,32.24
ORD-00000193,CUS-006239,2025-04-15,Store,STR-040,In Store,Completed,Card,211.25,1.3,0.0,31.49
ORD-00000194,CUS-010575,2025-04-17,Store,STR-038,In Store,Completed,EFT,264.68,10.93,0.0,38.06
ORD-00000195,CUS-009719,2025-09-28,Store,STR-031,In Store,Completed,Cash,156.74,9.78,0.0,22.04
ORD-00000196,CUS-005511,2024-04-02,Mobile,,Click & Collect,Completed,EFT,96.35,0.0,0.0,14.45
ORD-00000197,CUS-008724,2022-04-01,Mobile,,Click & Collect,Completed,EFT,114.6,17.19,0.0,14.61
ORD-00000198,CUS-009867,2023-12-09,Store,STR-016,In Store,Cancelled,EFT,215.91,0.0,0.0,32.39
ORD-00000199,CUS-005479,2024-04-11,Store,STR-006,In Store,Completed,Card,108.61,0.0,0.0,16.29
ORD-00000200,CUS-010038,2025-08-20,Website,,Home Delivery,Completed,Card,413.21,0.0,69.0,61.98
ORD-00000201,CUS-007062,2023-07-17,Website,,Courier,Completed,Buy Now Pay Later,99.85,4.99,49.0,14.23
ORD-00000202,CUS-009851,2020-05-15,Website,,Home Delivery,Completed,Cash,44.39,0.0,49.0,6.66
ORD-00000203,CUS-001796,2024-02-24,Store,STR-015,In Store,Cancelled,Card,228.02,0.0,0.0,34.2
ORD-00000204,CUS-005687,2024-11-27,Store,STR-025,In Store,Completed,EFT,57.07,8.56,0.0,7.28
ORD-00000205,CUS-003108,2026-04-20,Marketplace,,Courier,Completed,Card,69.66,0.0,69.0,10.45
ORD-00000206,CUS-002184,2021-03-15,Marketplace,,Click & Collect,Completed,Buy Now Pay Later,96.58,2.87,0.0,14.06
ORD-00000207,CUS-000198,2025-09-24,Store,STR-044,In Store,Completed,Card,80.04,0.0,0.0,12.01
ORD-00000208,CUS-001488,2020-02-19,Website,,Home Delivery,Cancelled,EFT,578.06,15.47,0.0,84.39
ORD-00000209,CUS-010885,2024-11-13,Store,STR-006,In Store,Completed,Digital Wallet,101.89,0.0,0.0,15.28
ORD-00000210,CUS-010000,2022-01-30,Store,STR-015,In Store,Completed,EFT,35.4,0.0,0.0,5.31
ORD-00000211,CUS-001326,2020-10-12,Website,,Home Delivery,Completed,EFT,99.43,4.61,49.0,14.22
ORD-00000212,CUS-003508,2022-03-07,Website,,Home Delivery,Pending,Cash,204.12,0.0,69.0,30.62
ORD-00000213,CUS-002506,2023-09-05,Store,STR-045,In Store,Completed,EFT,82.69,0.0,0.0,12.4
ORD-00000214,CUS-001983,2021-04-13,Website,,Home Delivery,Completed,Cash,172.63,0.0,49.0,25.89
ORD-00000215,CUS-000614,2023-09-01,Store,STR-021,In Store,Completed,EFT,61.91,0.0,0.0,9.29
ORD-00000216,CUS-010565,2024-09-26,Store,STR-001,In Store,Completed,EFT,391.25,0.0,0.0,58.69
ORD-00000217,CUS-007125,2025-11-02,Store,STR-026,In Store,Completed,Digital Wallet,381.25,3.27,0.0,56.7
ORD-00000218,CUS-003866,2023-09-22,Store,STR-031,In Store,Completed,EFT,397.26,0.0,0.0,59.59
ORD-00000219,,2024-01-03,Marketplace,,Home Delivery,Completed,EFT,197.06,0.0,49.0,29.56
ORD-00000220,CUS-007772,2026-02-17,Website,,Home Delivery,Pending,EFT,85.63,0.0,49.0,12.84
ORD-00000221,CUS-000174,2020-03-25,Store,STR-041,In Store,Cancelled,EFT,191.24,9.72,0.0,27.23
ORD-00000222,CUS-003609,2025-01-27,Mobile,,Home Delivery,Completed,Card,218.76,4.95,69.0,32.07
ORD-00000223,CUS-010014,2026-07-07,Marketplace,,Click & Collect,Completed,Digital Wallet,658.8499999999999,1.46,0.0,98.61
ORD-00000224,CUS-011661,2025-07-03,Website,,Click & Collect,Pending,Buy Now Pay Later,353.43,0.0,0.0,53.01
ORD-00000225,CUS-004732,2026-02-24,Mobile,,Courier,Completed,Buy Now Pay Later,58.19,0.0,89.0,8.73
ORD-00000226,CUS-011480,2026-01-05,Marketplace,,Courier,Completed,EFT,79.36,0.0,49.0,11.9
ORD-00000227,CUS-002352,2023-12-04,Website,,Courier,Completed,Cash,177.08,26.56,69.0,22.58
ORD-00000228,CUS-003959,2025-05-16,Store,STR-018,In Store,Completed,Buy Now Pay Later,487.47,0.0,0.0,73.12
ORD-00000229,CUS-006622,2022-06-05,Store,STR-041,In Store,Completed,Card,49.67,0.0,0.0,7.45
ORD-00000230,CUS-011457,2020-10-14,Store,STR-036,In Store,Completed,EFT,242.04,36.31,0.0,30.86
ORD-00000231,CUS-006509,2020-07-25,Store,STR-033,In Store,Completed,Card,139.82,0.0,0.0,20.97
