event_id,customer_id,campaign_id,event_timestamp,event_type,device_type,channel,session_id
EVT-00000033,CUS-003162,CMP-0024,2022-06-10 13:08:00,Open,Mobile,Paid Search,SES-956748838
EVT-00000034,CUS-006464,CMP-0028,2021-11-28 20:24:00,Impression,Tablet,Social,SES-437836139
EVT-00000035,CUS-000688,CMP-0037,2024-11-14 20:19:00,Product View,Desktop,Push,SES-277121951
EVT-00000036,CUS-009903,CMP-0017,2023-11-07 13:08:00,Product View,Tablet,Paid Search,SES-412942134
EVT-00000037,CUS-010386,CMP-0017,2023-11-10 16:05:00,Product View,Tablet,Paid Search,SES-748354812
EVT-00000038,CUS-005697,CMP-0031,2022-01-07 06:04:00,Click,Desktop,Paid Search,SES-899660573
EVT-00000039,CUS-010175,CMP-0036,2023-11-10 13:38:00,Add To Cart,Tablet,SMS,SES-207309345
EVT-00000040,CUS-001839,CMP-0035,2021-04-08 02:28:00,Add To Cart,Desktop,Email,SES-926116247
EVT-00000041,CUS-006643,CMP-0009,2022-02-06 13:25:00,Impression,Tablet,Push,SES-302605857
EVT-00000042,CUS-007304,CMP-0020,2024-02-04 07:51:00,Product View,Desktop,Social,SES-179003455
EVT-00000043,CUS-000150,CMP-0011,2023-10-03 06:14:00,Product View,Desktop,Paid Search,SES-832478024
EVT-00000044,CUS-010605,CMP-0013,2026-02-06 07:35:00,Impression,Tablet,Push,SES-623644170
EVT-00000045,CUS-003957,CMP-0031,2021-12-31 07:44:00,Product View,Tablet,Paid Search,SES-485358379
EVT-00000046,CUS-001488,CMP-0022,2024-10-05 23:23:00,Impression,Tablet,SMS,SES-963858381
EVT-00000047,CUS-001078,CMP-0007,2022-02-25 01:11:00,Product View,Desktop,Social,SES-509736807
EVT-00000048,CUS-002488,CMP-0032,2020-01-22 18:04:00,Click,Tablet,SMS,SES-422142353
EVT-00000049,CUS-002929,CMP-0020,2024-02-15 00:00:00,Add To Cart,Mobile,Social,SES-167998235
EVT-00000050,CUS-009076,CMP-0027,2023-05-04 08:49:00,Product View,Desktop,SMS,SES-857967630
EVT-00000051,CUS-008172,CMP-0001,2022-10-02 06:52:00,Product View,Tablet,Social,SES-702733791
EVT-00000052,CUS-011898,CMP-0022,2024-10-21 12:40:00,Add To Cart,Mobile,SMS,SES-718502122
EVT-00000053,CUS-007037,CMP-0019,2024-01-22 04:13:00,Click,Mobile,Social,SES-796720017
EVT-00000054,CUS-004191,CMP-0018,2026-05-23 12:39:00,Product View,Desktop,Push,SES-870499771
EVT-00000055,CUS-008978,CMP-0028,2021-12-03 09:45:00,Open,Tablet,Social,SES-767659429
EVT-00000056,CUS-005911,CMP-0014,2025-08-21 02:34:00,Conversion,Mobile,Email,SES-345590458
EVT-00000057,CUS-004778,CMP-0035,2021-04-09 04:07:00,Impression,Tablet,Email,SES-930389304
EVT-00000058,CUS-010668,CMP-0015,2024-09-18 18:50:00,Add To Cart,Mobile,SMS,SES-826345964
EVT-00000059,CUS-009211,CMP-0007,2022-02-19 14:35:00,Product View,Desktop,Social,SES-526768414
EVT-00000060,CUS-004731,CMP-0017,2023-11-10 15:18:00,Product View,Mobile,Paid Search,SES-846391293
EVT-00000061,CUS-004466,CMP-0041,2024-01-25 19:39:00,Open,Desktop,Push,SES-614496147
EVT-00000062,CUS-001136,CMP-0024,2022-06-04 09:25:00,Add To Cart,Mobile,Paid Search,SES-683267780
EVT-00000063,CUS-008791,CMP-0048,2023-03-14 00:51:00,Impression,Desktop,Social,SES-443612415
EVT-00000064,CUS-007960,CMP-0016,2023-05-14 14:17:00,Impression,Desktop ,SMS,SES-961036361
EVT-00000065,CUS-001041,CMP-0014,2025-09-04 22:23:00,Impression,Mobile,Email,SES-283053388
EVT-00000066,CUS-002983,CMP-0030,2020-10-24 13:17:00,Impression,Mobile,Email,SES-149390332
EVT-00000067,CUS-008414,CMP-0030,2020-10-04 01:27:00,Open,Tablet,Email,SES-935787839
EVT-00000068,CUS-004692,CMP-0002,2020-04-24 22:43:00,Impression,Mobile,Social,SES-167596556
EVT-00000069,CUS-000266,CMP-0032,2020-02-06 03:24:00,Open,Tablet,SMS,SES-826150224
EVT-00000070,CUS-004439,CMP-0012,2021-09-21 12:51:00,Impression,Desktop,Paid Search,SES-246033499
EVT-00000071,CUS-003661,CMP-0038,2022-11-04 02:25:00,Impression,Mobile,Paid Search,SES-829075987
EVT-00000072,CUS-007977,CMP-0032,2020-01-17 23:12:00,Click,Desktop,SMS,SES-846916472
EVT-00000073,CUS-005160,CMP-0040,2023-11-13 02:52:00,Click,Desktop,Email,SES-726248379
EVT-00000074,CUS-008836,CMP-0046,2022-08-27 07:09:00,Conversion,Tablet,Email,SES-662882088
EVT-00000075,CUS-008299,CMP-0043,2021-07-30 17:11:00,Open,Mobile,Paid Search,SES-933427064
EVT-00000076,CUS-004019,CMP-0015,2024-09-13 05:45:00,Open,Tablet,SMS,SES-145897678
EVT-00000077,CUS-003542,CMP-0005,2026-07-11 04:06:00,Impression,Desktop,SMS,SES-695816378
EVT-00000078,CUS-005084,CMP-0021,2024-10-07 06:58:00,Impression,Desktop,SMS,SES-922611438
EVT-00000079,CUS-005097,CMP-0005,2026-07-16 01:18:00,Impression,Desktop,SMS,SES-898227234
EVT-00000080,CUS-006252,CMP-0046,2022-09-09 21:39:00,Impression,Desktop,Email,SES-369534780
EVT-00000081,CUS-010504,CMP-0011,2023-10-15 01:39:00,Add To Cart,Mobile,Paid Search,SES-770534662
EVT-00000082,CUS-008643,CMP-0014,2025-08-20 05:04:00,Impression,Tablet,Email,SES-595499950
EVT-00000083,CUS-002065,CMP-0032,2020-01-23 10:27:00,Add To Cart,Tablet,SMS,SES-263588830
EVT-00000084,CUS-009099,CMP-0014,2025-09-02 04:10:00,Product View,Mobile,Email,SES-492972815
EVT-00000085,CUS-003955,CMP-0039,2024-12-13 20:30:00,Product View,Desktop,Push,SES-752262377
EVT-00000086,CUS-006714,CMP-0040,2023-10-31 11:13:00,Product View,Desktop,Email,SES-533153524
EVT-00000087,CUS-003356,CMP-0036,2023-10-30 17:46:00,Click,Desktop,SMS,SES-206185824
EVT-00000088,CUS-000802,CMP-0020,2024-01-18 13:00:00,Product View,Tablet,Social,SES-253924787
EVT-00000089,CUS-000852,CMP-0045,2022-03-01 11:59:00,Impression,Tablet,Social,SES-473203796
EVT-00000090,CUS-008019,CMP-0016,2023-05-07 10:41:00,Product View,Mobile,SMS,SES-817455297
EVT-00000091,CUS-011383,CMP-0014,2025-08-15 21:10:00,Click,Desktop,Email,SES-636311567
EVT-00000092,CUS-004630,CMP-0013,2026-02-08 03:04:00,Impression,Desktop,Push,SES-389925932
EVT-00000093,CUS-002740,CMP-0030,2020-10-18 05:20:00,Add To Cart,Tablet,Email,SES-987211050
EVT-00000094,CUS-000258,CMP-0014,2025-08-09 23:00:00,Impression,Tablet,Email,SES-362854983
EVT-00000095,CUS-010246,CMP-0036,2023-10-27 12:41:00,Click,Mobile,SMS,SES-801610000
EVT-00000096,CUS-004374,CMP-0038,2022-11-13 08:48:00,Click,Mobile,Paid Search,SES-506104129
EVT-00000097,CUS-006100,CMP-0018,2026-05-17 00:38:00,Impression,Tablet,Push,SES-920955623
EVT-00000098,CUS-004078,CMP-0035,2021-03-06 06:45:00,Impression,Desktop,Email,SES-777319497
EVT-00000099,CUS-000929,CMP-0045,2022-02-28 01:53:00,Open,Desktop,Social,SES-554713754
EVT-00000100,CUS-003560,CMP-0010,2021-06-03 05:05:00,Open,Desktop,SMS,SES-458194979
EVT-00000101,CUS-008569,CMP-0048,2023-02-17 06:30:00,Product View,Mobile,Social,SES-672987270
EVT-00000102,CUS-009521,CMP-0040,2023-11-07 09:02:00,Click,Tablet,Email,SES-262616342
EVT-00000103,CUS-002990,CMP-0042,2022-05-30 10:23:00,Product View,Desktop,Paid Search,SES-905629657
EVT-00000104,CUS-007724,CMP-0025,2024-04-01 01:48:00,Product View,Tablet,Paid Search,SES-567400496
EVT-00000105,CUS-002514,CMP-0029,2026-07-10 13:09:00,Add To Cart,Desktop,Email,SES-968394432
EVT-00000106,CUS-008646,CMP-0012,2021-09-13 14:30:00,Click,Tablet,Paid Search,SES-708745978
EVT-00000107,CUS-002019,CMP-0035,2021-03-11 09:40:00,Add To Cart,Tablet,Email,SES-177618356
EVT-00000108,CUS-005452,CMP-0027,2023-05-04 09:23:00,Impression,Desktop,SMS,SES-572049224
EVT-00000109,CUS-002921,CMP-0001,2022-09-26 23:14:00,Product View,Tablet,Social,SES-846228945
EVT-00000110,CUS-007048,CMP-0031,2022-01-10 09:54:00,Impression,Tablet,Paid Search,SES-928319017
EVT-00000111,CUS-009142,CMP-0003,2021-02-08 02:06:00,Conversion,Tablet,Social,SES-829187129
EVT-00000112,CUS-002997,CMP-0011,2023-10-01 07:33:00,Add To Cart,Mobile,Paid Search,SES-617775659
EVT-00000113,CUS-005214,CMP-0039,2024-12-13 22:48:00,Add To Cart,Tablet,Push,SES-994107901
EVT-00000114,CUS-009771,CMP-0036,2023-10-22 20:35:00,Impression,Tablet,SMS,SES-886702708
EVT-00000115,CUS-009515,CMP-0023,2020-02-07 12:45:00,Impression,Desktop,Email,SES-510979746
EVT-00000116,CUS-001216,CMP-0039,2024-12-15 10:06:00,Impression,Tablet,Push,SES-505649233
EVT-00000117,CUS-003835,CMP-0002,2020-04-24 16:39:00,Impression,Tablet,Social,SES-296831209
EVT-00000118,CUS-007961,CMP-0038,2022-10-19 04:51:00,Impression,Mobile,Paid Search,SES-329363250
EVT-00000119,CUS-011690,CMP-0002,2020-03-30 23:48:00,Product View,Mobile,Social,SES-632274618
EVT-00000120,CUS-009225,CMP-0003,2021-01-29 09:34:00,Impression,Desktop,Social,SES-185648680
EVT-00000121,CUS-005738,CMP-0038,2022-11-05 14:55:00,Open,Mobile,Paid Search,SES-835224962
EVT-00000122,CUS-004455,CMP-0006,2024-07-30 06:19:00,Open,Desktop,Push,SES-880908815
EVT-00000123,CUS-009787,CMP-0016,2023-05-26 11:06:00,Open,Desktop,SMS,SES-364759137
EVT-00000124,CUS-000923,CMP-0013,2026-01-30 10:00:00,Click,Mobile,Push,SES-461500536
EVT-00000125,CUS-008092,CMP-0021,2024-10-10 19:23:00,Product View,Desktop,SMS,SES-287375760
EVT-00000126,CUS-006919,CMP-0025,2024-03-15 17:25:00,Add To Cart,Tablet,Paid Search,SES-946836523
EVT-00000127,CUS-000730,CMP-0014,2025-08-16 19:12:00,Product View,Tablet,Email,SES-858695827
EVT-00000128,CUS-002543,CMP-0008,2023-06-05 09:10:00,Product View,Tablet,Email,SES-558469947
EVT-00000129,CUS-007827,CMP-0042,2022-06-02 14:40:00,Impression,Desktop,Paid Search,SES-535501022
EVT-00000130,CUS-001071,CMP-0048,2023-02-24 17:48:00,Impression,Mobile,Social,SES-686698628
EVT-00000131,CUS-010572,CMP-0004,2024-04-22 13:15:00,Impression,Desktop,Paid Search,SES-661192567
EVT-00000132,CUS-005775,CMP-0005,2026-07-03 03:04:00,Product View,Mobile,SMS,SES-211894733
EVT-00000133,CUS-011606,CMP-0046,2022-09-06 09:46:00,Product View,Desktop,Email,SES-403621239
EVT-00000134,CUS-007161,CMP-0036,2023-10-14 17:26:00,Impression,Mobile,SMS,SES-953377381
EVT-00000135,CUS-001970,CMP-0047,2023-04-04 09:02:00,Impression,Desktop,Social,SES-729861822
EVT-00000136,CUS-007842,CMP-0013,2026-02-07 07:52:00,Open,Desktop,Push,SES-497190199
EVT-00000137,CUS-001457,CMP-0047,2023-03-31 14:20:00,Impression,Mobile,Social,SES-184947034
EVT-00000138,CUS-005869,CMP-0041,2024-01-18 21:01:00,Open,Mobile,Push,SES-265623727
EVT-00000139,CUS-003574,CMP-0028,2021-12-07 02:59:00,Click,Tablet,Social,SES-293468956
EVT-00000140,CUS-010745,CMP-0039,2024-12-19 00:55:00,Product View,Desktop,Push,SES-835563891
EVT-00000141,CUS-006797,CMP-0002,2020-04-03 23:02:00,Impression,Tablet,Social,SES-955005778
EVT-00000142,CUS-005358,CMP-0024,2022-06-01 11:06:00,Add To Cart,Desktop,Paid Search,SES-998660416
EVT-00000143,CUS-007503,CMP-0042,2022-05-29 20:56:00,Product View,Mobile,Paid Search,SES-470870803
EVT-00000144,CUS-000742,CMP-0029,2026-07-05 16:23:00,Impression,Mobile,Email,SES-285734400
EVT-00000145,CUS-005612,CMP-0028,2021-12-10 02:25:00,Add To Cart,Desktop,Social,SES-817707345
EVT-00000146,CUS-010367,CMP-0038,2022-11-05 06:46:00,Conversion,Tablet,Paid Search,SES-710832482
EVT-00000147,CUS-009459,CMP-0025,2024-03-31 02:52:00,Impression,Mobile,Paid Search,SES-875370954
EVT-00000148,CUS-010280,CMP-0017,2023-11-14 20:56:00,Open,Desktop,Paid Search,SES-522841038
EVT-00000149,CUS-000421,CMP-0008,2023-05-27 21:38:00,Click,Tablet,Email,SES-347301074
EVT-00000150,CUS-006306,CMP-0049,2024-07-02 06:57:00,Impression,Tablet,SMS,SES-307027610
EVT-00000151,CUS-000445,CMP-0019,2024-01-30 19:39:00,Product View,Mobile,Social,SES-519045917
EVT-00000152,CUS-006345,CMP-0035,2021-04-11 17:31:00,Impression,Tablet,Email,SES-436960859
EVT-00000153,CUS-010402,CMP-0039,2024-12-23 23:24:00,Impression,Desktop,Push,SES-601385561
EVT-00000154,CUS-003047,CMP-0045,2022-02-07 16:31:00,Impression,Tablet,Social,SES-396025009
EVT-00000155,CUS-000599,CMP-0037,2024-11-11 00:22:00,Impression,Desktop,Push,SES-449419142
EVT-00000156,CUS-006839,CMP-0014,2025-08-08 17:26:00,Impression,Desktop,Email,SES-859387768
EVT-00000157,CUS-005388,CMP-0021,2024-10-01 11:49:00,Add To Cart,Mobile,SMS,SES-881032984
EVT-00000158,CUS-005654,CMP-0023,2020-02-23 05:54:00,Product View,Tablet,Email,SES-440094778
EVT-00000159,CUS-006151,CMP-0005,2026-07-14 23:20:00,Product View,Tablet,SMS,SES-817623387
EVT-00000160,CUS-009284,CMP-0040,2023-11-04 06:13:00,Product View,Tablet,Email,SES-396031180
EVT-00000161,CUS-005656,CMP-0045,2022-02-03 12:33:00,Product View,Desktop,Social,SES-796801509
EVT-00000162,CUS-003388,CMP-0045,2022-02-13 08:38:00,Impression,Mobile,Social,SES-153069981
EVT-00000163,CUS-005963,CMP-0004,2024-04-10 05:23:00,Impression,Mobile,Paid Search,SES-188869740
EVT-00000164,CUS-001209,CMP-0040,2023-11-01 00:57:00,Impression,Tablet,Email,SES-849125103
EVT-00000165,CUS-010806,CMP-0018,2026-05-18 00:34:00,Click,Mobile,Push,SES-422832906
EVT-00000166,CUS-008814,CMP-0038,2022-11-08 09:10:00,Add To Cart,Mobile,Paid Search,SES-709689690
EVT-00000167,CUS-005306,CMP-0018,2026-05-17 06:02:00,Impression,Desktop,Push,SES-572647749
EVT-00000168,CUS-011564,CMP-0047,2023-03-31 22:05:00,Impression,Desktop,Social,SES-209452416
EVT-00000169,CUS-001866,CMP-0040,2023-11-10 23:23:00,Add To Cart,Desktop,Email,SES-979490176
EVT-00000170,CUS-002011,CMP-0005,2026-07-07 04:45:00,Open,Tablet,SMS,SES-520927769
EVT-00000171,CUS-001271,CMP-0007,2022-01-23 02:31:00,Add To Cart,Mobile,Social,SES-572873071
EVT-00000172,CUS-011102,CMP-0030,2020-10-20 05:21:00,Impression,Tablet,Email,SES-518540306
EVT-00000173,CUS-008260,CMP-0006,2024-07-13 05:25:00,Open,Tablet,Push,SES-676559493
EVT-00000174,CUS-002213,CMP-0029,2026-07-06 11:03:00,Impression,Desktop,Email,SES-163210061
EVT-00000175,CUS-007661,CMP-0018,2026-05-21 09:42:00,Click,Mobile,Push,SES-379389440
EVT-00000176,CUS-010584,CMP-0011,2023-10-10 20:28:00,Click,Desktop,Paid Search,SES-140432808
EVT-00000177,CUS-000277,CMP-0018,2026-05-26 02:19:00,Conversion,Tablet,Push,SES-664065423
EVT-00000178,CUS-008144,CMP-0035,2021-03-07 19:43:00,Impression,Desktop,Email,SES-591490771
EVT-00000179,CUS-007946,CMP-0028,2021-12-11 14:00:00,Impression,Mobile,Social,SES-887617923
EVT-00000180,CUS-009016,CMP-0047,2023-04-16 16:50:00,Click,Tablet,Social,SES-557348219
EVT-00000181,CUS-001476,CMP-0023,2020-02-19 08:58:00,Conversion,Tablet,Email,SES-350388794
EVT-00000182,CUS-004127,CMP-0036,2023-11-05 17:32:00,Product View,Tablet,SMS,SES-252479139
EVT-00000183,CUS-005579,CMP-0046,2022-09-09 16:51:00,Product View,Desktop,Email,SES-966892998
EVT-00000184,CUS-002317,CMP-0041,2024-01-23 12:48:00,Add To Cart,Mobile,Push,SES-865508489
EVT-00000185,CUS-011532,CMP-0037,2024-11-16 13:18:00,Impression,Tablet,Push,SES-590676405
EVT-00000186,CUS-011671,CMP-0033,2020-12-04 18:22:00,Product View,Tablet,SMS,SES-241494498
EVT-00000187,CUS-003856,CMP-0024,2022-05-23 23:21:00,Impression,Tablet,Paid Search,SES-243058763
EVT-00000188,CUS-000077,CMP-0017,2023-10-28 12:53:00,Add To Cart,Tablet,Paid Search,SES-120596229
EVT-00000189,CUS-002368,CMP-0002,2020-04-18 10:15:00,Impression,Tablet,Social,SES-334115693
EVT-00000190,CUS-008117,CMP-0035,2021-03-22 22:50:00,Add To Cart,Mobile,Email,SES-558689827
EVT-00000191,CUS-007249,CMP-0025,2024-04-15 16:12:00,Impression,Desktop,Paid Search,SES-117565473
EVT-00000192,CUS-002543,CMP-0050,2020-05-09 07:40:00,Conversion,Mobile,Push,SES-689608942
EVT-00000193,CUS-009757,CMP-0023,2020-02-07 02:41:00,Product View,Mobile,Email,SES-116985704
EVT-00000194,CUS-007549,CMP-0015,2024-09-20 21:46:00,Add To Cart,Mobile,SMS,SES-794297541
EVT-00000195,CUS-010390,CMP-0021,2024-10-19 14:27:00,Click,Tablet,SMS,SES-617669540
EVT-00000196,CUS-003506,CMP-0049,2024-07-14 07:58:00,Product View,Mobile,SMS,SES-110032287
EVT-00000197,CUS-004501,CMP-0050,2020-05-08 09:46:00,Impression,Tablet,Push,SES-641266705
EVT-00000198,CUS-004625,CMP-0016,2023-05-27 03:23:00,Impression,Tablet,SMS,SES-470592860
EVT-00000199,CUS-005378,CMP-0005,2026-07-02 00:16:00,Impression,Mobile,SMS,SES-236965926
EVT-00000200,CUS-009641,CMP-0012,2021-09-18 17:25:00,Product View,Desktop,Paid Search,SES-589136046
EVT-00000201,CUS-007560,CMP-0039,2024-12-20 10:19:00,Impression,Mobile,Push,SES-221941016
EVT-00000202,CUS-008343,CMP-0040,2023-10-31 01:44:00,Add To Cart,Desktop,Email,SES-599445187
EVT-00000203,CUS-006738,CMP-0015,2024-09-15 02:17:00,Impression,Desktop,SMS,SES-530708461
EVT-00000204,CUS-000890,CMP-0013,2026-01-29 16:36:00,Impression,Mobile,Push,SES-237161846
EVT-00000205,CUS-004845,CMP-0008,2023-05-29 08:45:00,Impression,Desktop,Email,SES-422992083
EVT-00000206,CUS-003119,CMP-0039,2024-12-25 10:07:00,Impression,Tablet,Push,SES-951430835
EVT-00000207,CUS-011262,CMP-0046,2022-08-24 19:53:00,Conversion,Tablet,Email,SES-954752077
EVT-00000208,CUS-008601,CMP-0004,2024-04-10 05:49:00,Click,Desktop,Paid Search,SES-110051009
EVT-00000209,CUS-005841,CMP-0023,2020-02-05 08:58:00,Product View,Mobile,Email,SES-769431743
EVT-00000210,CUS-006033,CMP-0006,2024-07-29 00:23:00,Add To Cart,Mobile,Push,SES-801283146
EVT-00000211,CUS-005789,CMP-0005,2026-06-24 21:47:00,Open,Desktop,SMS,SES-862855898
EVT-00000212,CUS-007658,CMP-0050,2020-04-25 05:18:00,Add To Cart,Tablet,Push,SES-858861492
EVT-00000213,CUS-004157,CMP-0023,2020-02-16 11:08:00,Add To Cart,Mobile,Email,SES-963949455
EVT-00000214,CUS-010803,CMP-0038,2022-11-18 16:12:00,Add To Cart,Mobile,Paid Search,SES-354545996
EVT-00000215,CUS-011363,CMP-0001,2022-09-16 03:10:00,Impression,Tablet,Social,SES-634669658
EVT-00000216,CUS-002959,CMP-0044,2025-05-19 22:14:00,Impression,Mobile,Email,SES-430853645
EVT-00000217,CUS-003806,CMP-0016,2023-05-27 19:05:00,Impression,Desktop,SMS,SES-130850788
EVT-00000218,CUS-006420,CMP-0013,2026-02-03 04:34:00,Click,Desktop,Push,SES-808436568
EVT-00000219,CUS-006408,CMP-0032,2020-01-14 14:04:00,Impression,Desktop,SMS,SES-242247562
EVT-00000220,CUS-008795,CMP-0021,2024-10-16 15:23:00,Product View,Mobile,SMS,SES-440778988
EVT-00000221,CUS-004981,CMP-0017,2023-11-13 06:17:00,Add To Cart,Desktop,Paid Search,SES-856184235
EVT-00000222,CUS-003698,CMP-0011,2023-09-26 19:10:00,Add To Cart,Desktop,Paid Search,SES-158307925
EVT-00000223,CUS-010056,CMP-0024,2022-06-03 05:27:00,Click,Mobile,Paid Search,SES-337175739
EVT-00000224,CUS-000692,CMP-0005,2026-06-24 03:50:00,Product View,Mobile,SMS,SES-511206554
EVT-00000225,CUS-001053,CMP-0010,2021-06-04 01:15:00,Add To Cart,Desktop,SMS,SES-236420919
EVT-00000226,CUS-008561,CMP-0010,2021-06-07 17:58:00,Open,Tablet,SMS,SES-239733606
EVT-00000227,CUS-006515,CMP-0047,2023-03-28 16:06:00,Click,Mobile,Social,SES-932923404
EVT-00000228,CUS-011612,CMP-0023,2020-02-17 17:47:00,Open,Desktop,Email,SES-466404387
EVT-00000229,CUS-000491,CMP-0025,2024-03-28 07:13:00,Impression,Mobile,Paid Search,SES-889718750
EVT-00000230,CUS-001798,CMP-0007,2022-01-30 12:28:00,Product View,Mobile,Social,SES-330750239
EVT-00000231,CUS-005450,CMP-0027,2023-05-13 03:52:00,Click,Tablet,SMS,SES-343173890
EVT-00000232,CUS-010381,CMP-0034,2025-11-20 13:18:00,Open,Desktop,Social,SES-577949330
EVT-00000233,CUS-007618,CMP-0018,2026-05-27 15:54:00,Conversion,Mobile,Push,SES-179957489
EVT-00000234,CUS-005210,CMP-0018,2026-05-17 16:06:00,Click,Tablet,Push,SES-827702712
EVT-00000235,CUS-002314,CMP-0022,2024-10-13 22:19:00,Open,Mobile,SMS,SES-729439512
EVT-00000236,CUS-002560,CMP-0009,2022-02-26 16:38:00,Product View,Tablet,Push,SES-554015732
EVT-00000237,CUS-003245,CMP-0049,2024-07-09 22:39:00,Impression,Mobile,SMS,SES-854800699
EVT-00000238,CUS-000646,CMP-0009,2022-01-31 20:42:00,Product View,Desktop,Push,SES-476011608
EVT-00000239,CUS-004632,CMP-0041,2024-01-28 22:05:00,Product View,Tablet,Push,SES-439876480
EVT-00000240,CUS-000652,CMP-0005,2026-07-24 15:36:00,Impression,Tablet,SMS,SES-203754959
EVT-00000241,CUS-009239,CMP-0011,2023-10-11 10:01:00,Impression,Tablet,Paid Search,SES-355478969
EVT-00000242,CUS-002576,CMP-0013,2026-02-08 10:37:00,Click,Mobile,Push,SES-696496125
EVT-00000243,CUS-002532,CMP-0048,2023-02-27 19:56:00,Impression,Tablet,Social,SES-430524979
EVT-00000244,CUS-001874,CMP-0043,2021-07-22 10:14:00,Product View,Mobile,Paid Search,SES-765903855
EVT-00000245,CUS-000314,CMP-0024,2022-07-01 17:33:00,Click,Desktop,Paid Search,SES-692910368
EVT-00000246,CUS-001484,CMP-0015,2024-09-20 12:32:00,Impression,Mobile,SMS,SES-230689267
EVT-00000247,CUS-004785,CMP-0022,2024-10-21 23:13:00,Product View,Desktop,SMS,SES-983476979
EVT-00000248,CUS-005218,CMP-0043,2021-07-28 11:33:00,Impression,Desktop,Paid Search,SES-152427639
EVT-00000249,CUS-003237,CMP-0010,2021-05-23 18:05:00,Impression,Desktop,SMS,SES-609934996
EVT-00000250,CUS-006425,CMP-0035,2021-03-05 11:20:00,Open,Tablet,Email,SES-585199831
EVT-00000251,CUS-007209,CMP-0034,2025-11-17 23:43:00,Conversion,Mobile,Social,SES-555726170
EVT-00000252,CUS-011672,CMP-0031,2021-12-30 20:18:00,Add To Cart,Tablet,Paid Search,SES-623333404
