payment_id,order_id,customer_id,payment_date,payment_method,payment_provider,payment_status,transaction_reference,amount,refund_amount,failed
PAY-00000082,ORD-00000082,CUS-003423,2020-05-29,Digital Wallet,WalletPay,Successful,TXN-72827017902,114.35,0.0,0
PAY-00000083,ORD-00000083,CUS-010318,2025-06-28,Buy Now Pay Later,FlexPay,Successful,TXN-94102209901,219.69,0.0,0
PAY-00000084,ORD-00000084,CUS-010236,2026-03-03,Buy Now Pay Later,FlexPay,Successful,TXN-19030110493,46.82,0.0,0
PAY-00000085,ORD-00000085,CUS-001162,2023-05-02,Cash,Store POS,Successful,TXN-99848413712,368.16,0.0,0
PAY-00000086,ORD-00000086,CUS-009591,2022-11-09,Digital Wallet,WalletPay,Successful,TXN-49530432863,396.06,0.0,0
PAY-00000087,ORD-00000087,CUS-007703,2026-02-11,Buy Now Pay Later,FlexPay,Successful,TXN-51189092217,104.95,0.0,0
PAY-00000088,ORD-00000088,CUS-010319,2023-01-08,EFT,Bank Transfer,Reversed,TXN-19142255745,116.46,116.46,1
PAY-00000089,ORD-00000089,CUS-011379,2022-06-21,Digital Wallet,WalletPay,Successful,TXN-80524102576,354.58,0.0,0
PAY-00000090,ORD-00000090,CUS-009828,2025-11-27,EFT,Bank Transfer,Successful,TXN-50035688317,231.37,0.0,0
PAY-00000091,ORD-00000091,CUS-004954,2026-03-05,Card,Bank Gateway,Successful,TXN-44108480315,240.6,0.0,0
PAY-00000092,ORD-00000092,CUS-003727,2021-05-12,Card,Bank Gateway,Successful,TXN-80146653248,392.4,0.0,0
PAY-00000093,ORD-00000093,,2021-11-01,Buy Now Pay Later,FlexPay,Successful,TXN-58902512922,515.01,0.0,0
PAY-00000094,ORD-00000094,CUS-001535,2022-01-31,Cash,Store POS,Successful,TXN-37551122586,980.47,0.0,0
PAY-00000095,ORD-00000095,CUS-008934,2021-01-23,EFT,Bank Transfer,Successful,TXN-73845244561,83.92,0.0,0
PAY-00000096,ORD-00000096,CUS-001064,2025-09-12,Cash,Store POS,Successful,TXN-20661539384,654.04,0.0,0
PAY-00000097,ORD-00000097,CUS-007469,2026-06-28,EFT,Bank Transfer,Pending,TXN-61222448086,87.68,0.0,1
PAY-00000098,ORD-00000098,CUS-004936,2023-06-18,EFT,Bank Transfer,Successful,TXN-23472081518,384.46,0.0,0
PAY-00000099,ORD-00000099,CUS-011894,2024-09-27,Cash,Store POS,Pending,TXN-68954704345,62.67,0.0,1
PAY-00000100,ORD-00000100,CUS-003348,2022-10-19,Card,Bank Gateway,Successful,TXN-67824145759,322.95,0.0,0
PAY-00000101,ORD-00000101,CUS-002425,2026-08-20,Card,Bank Gateway,Pending,TXN-27437319133,148.29,0.0,1
PAY-00000102,ORD-00000102,CUS-009784,2026-05-12,Digital Wallet,WalletPay,Successful,TXN-75719049995,45.59,0.0,0
PAY-00000103,ORD-00000103,CUS-003541,2024-12-29,Card,Bank Gateway,Successful,TXN-96829118253,227.55,0.0,0
PAY-00000104,ORD-00000104,CUS-002330,2025-12-03,Cash,Store POS,Successful,TXN-94526739590,94.57,0.0,0
PAY-00000105,ORD-00000105,CUS-002134,2020-11-24,EFT,Bank Transfer,Successful,TXN-47263987198,134.13,0.0,0
PAY-00000106,ORD-00000106,CUS-008249,2025-11-29,Digital Wallet,WalletPay,Reversed,TXN-84241746147,344.58,344.58,1
PAY-00000107,ORD-00000107,CUS-009762,2022-11-04,EFT,Bank Transfer,Pending,TXN-98669321683,49.67,0.0,1
PAY-00000108,ORD-00000108,CUS-005559,2021-05-31,Card,Bank Gateway,Successful,TXN-47000121035,194.09,0.0,0
PAY-00000109,ORD-00000109,CUS-003099,2026-03-16,Cash,Store POS,Successful,TXN-46054576422,215.87,0.0,0
PAY-00000110,ORD-00000110,CUS-005156,2025-08-16,EFT,Bank Transfer,Successful,TXN-67266085151,58.64,0.0,0
PAY-00000111,ORD-00000111,CUS-005987,2020-11-24,Buy Now Pay Later,FlexPay,Successful,TXN-25746033463,390.16,0.0,0
PAY-00000112,ORD-00000112,CUS-007063,2024-05-17,Cash,Store POS,Successful,TXN-66549471915,87.63,0.0,0
PAY-00000113,ORD-00000113,CUS-007095,2025-11-16,Digital Wallet,WalletPay,Successful,TXN-95709928085,258.78,0.0,0
PAY-00000114,ORD-00000114,CUS-000766,2024-08-10,Buy Now Pay Later,FlexPay,Successful,TXN-98447284139,441.0,0.0,0
PAY-00000115,ORD-00000115,CUS-009497,2023-03-19,Cash,Store POS,Successful,TXN-45942995223,331.4,0.0,0
PAY-00000116,ORD-00000116,CUS-008251,2020-04-26,Cash,Store POS,Successful,TXN-81364286446,107.96,0.0,0
PAY-00000117,ORD-00000117,CUS-003657,2023-04-22,Buy Now Pay Later,FlexPay,Successful,TXN-72982080994,124.29,0.0,0
PAY-00000118,ORD-00000118,CUS-011101,2023-09-14,Buy Now Pay Later,FlexPay,Successful,TXN-85030776665,137.26,0.0,0
PAY-00000119,ORD-00000119,CUS-003977,2025-08-13,Buy Now Pay Later,FlexPay,Successful,TXN-69487239997,40.32,0.0,0
PAY-00000120,ORD-00000120,CUS-002379,2021-06-15,Cash,Store POS,Pending,TXN-87950836806,396.18,0.0,1
PAY-00000121,ORD-00000121,CUS-007186,2021-05-17,Cash,Store POS,Successful,TXN-34688639648,861.4,0.0,0
PAY-00000122,ORD-00000122,CUS-001684,2026-03-06,Card,Bank Gateway,Successful,TXN-15274475800,631.08,0.0,0
PAY-00000123,ORD-00000123,CUS-008130,2025-08-01,Digital Wallet,WalletPay,Successful,TXN-74143627782,165.05,0.0,0
PAY-00000124,ORD-00000124,CUS-007271,2023-09-29,Card,Bank Gateway,Successful,TXN-73318840411,152.18,0.0,0
PAY-00000125,ORD-00000125,CUS-001273,2022-12-21,EFT,Bank Transfer,Reversed,TXN-53950952478,215.61,215.61,1
PAY-00000126,ORD-00000126,CUS-009486,2024-02-11,Buy Now Pay Later,FlexPay,Successful,TXN-43552098560,199.78,0.0,0
PAY-00000127,ORD-00000127,CUS-010241,2021-01-05,Card,Bank Gateway,Successful,TXN-45329371977,83.31,0.0,0
PAY-00000128,ORD-00000128,CUS-008423,2021-08-15,Card,Bank Gateway,Successful,TXN-56930457537,187.12,0.0,0
PAY-00000129,ORD-00000129,CUS-008393,2023-08-11,Cash,Store POS,Successful,TXN-51441043523,321.26,0.0,0
PAY-00000130,ORD-00000130,CUS-001832,2022-10-22,Card,Bank Gateway,Successful,TXN-53160425477,374.88,0.0,0
PAY-00000131,ORD-00000131,CUS-009402,2021-03-09,Cash,Store POS,Successful,TXN-29034514452,560.37,0.0,0
PAY-00000132,ORD-00000132,CUS-002603,2023-07-12,Digital Wallet,WalletPay,Successful,TXN-91285305100,439.92,0.0,0
PAY-00000133,ORD-00000133,CUS-011059,2024-05-08,Digital Wallet,WalletPay,Successful,TXN-30356187538,66.94,0.0,0
PAY-00000134,ORD-00000134,CUS-007706,2025-05-30,Buy Now Pay Later,FlexPay,Successful,TXN-32075430569,161.84,0.0,0
PAY-00000135,ORD-00000135,CUS-004651,2024-03-13,EFT,Bank Transfer,Successful,TXN-15074817213,249.64,0.0,0
PAY-00000136,ORD-00000136,CUS-003017,2024-01-28,EFT,Bank Transfer,Successful,TXN-49827437363,507.86,0.0,0
PAY-00000137,ORD-00000137,CUS-010727,2023-09-16,Digital Wallet,WalletPay,Successful,TXN-45299141975,165.55,0.0,0
PAY-00000138,ORD-00000138,CUS-000300,2020-10-02,EFT,Bank Transfer,Successful,TXN-30431753496,179.27,0.0,0
PAY-00000139,ORD-00000139,CUS-009322,2022-07-24,Cash,Store POS,Successful,TXN-95897094242,203.83,0.0,0
PAY-00000140,ORD-00000140,CUS-009868,2023-01-02,Buy Now Pay Later,FlexPay,Reversed,TXN-24178884971,1059.1,1059.1,1
PAY-00000141,ORD-00000141,CUS-005532,2023-06-29,Digital Wallet,WalletPay,Successful,TXN-43139471875,454.22,0.0,0
PAY-00000142,ORD-00000142,CUS-006994,2021-12-20,Digital Wallet,WalletPay,Successful,TXN-54530656211,56.52,0.0,0
PAY-00000143,ORD-00000143,CUS-005923,2024-12-15,Digital Wallet,WalletPay,Successful,TXN-85842453552,89.36,0.0,0
PAY-00000144,ORD-00000144,CUS-004173,2023-08-04,Cash,Store POS,Successful,TXN-50897950005,210.46,0.0,0
PAY-00000145,ORD-00000145,CUS-001541,2022-01-13,Buy Now Pay Later,FlexPay,Successful,TXN-61754042746,107.67,0.0,0
PAY-00000146,ORD-00000146,CUS-002119,2023-02-17,Card,Bank Gateway,Successful,TXN-86947213160,64.84,0.0,0
PAY-00000147,ORD-00000147,CUS-001350,2024-09-23,EFT,Bank Transfer,Successful,TXN-86714121930,155.12,0.0,0
PAY-00000148,ORD-00000148,CUS-008511,2020-02-24,Buy Now Pay Later,FlexPay,Successful,TXN-12540962981,212.0,0.0,0
PAY-00000149,ORD-00000149,CUS-010350,2022-04-10,Digital Wallet,WalletPay,Successful,TXN-38455115785,76.85,0.0,0
PAY-00000150,ORD-00000150,CUS-006402,2021-05-20,EFT,Bank Transfer,Successful,TXN-67280752978,568.24,0.0,0
PAY-00000151,ORD-00000151,CUS-000131,2022-02-21,Card,Bank Gateway,Successful,TXN-55179644645,580.99,0.0,0
PAY-00000152,ORD-00000152,CUS-006917,2024-05-25,Digital Wallet,WalletPay,Successful,TXN-25564321189,132.31,0.0,0
PAY-00000153,ORD-00000153,CUS-010546,2021-06-03,Digital Wallet,WalletPay,Successful,TXN-71469653686,30.4,0.0,0
PAY-00000154,ORD-00000154,CUS-004256,2023-08-17,Buy Now Pay Later,FlexPay,Successful,TXN-89081641122,47.06,0.0,0
PAY-00000155,ORD-00000155,CUS-001951,2022-07-07,Digital Wallet,WalletPay,Successful,TXN-59809778620,327.34,0.0,0
PAY-00000156,ORD-00000156,CUS-002038,2020-05-09,Buy Now Pay Later,FlexPay,Successful,TXN-99176432482,80.86,0.0,0
PAY-00000157,ORD-00000157,CUS-003141,2025-11-25,Digital Wallet,WalletPay,Successful,TXN-94733335697,96.6,0.0,0
PAY-00000158,ORD-00000158,CUS-000458,2023-12-25,Card,Bank Gateway,Successful,TXN-55140219527,307.65,0.0,0
PAY-00000159,ORD-00000159,CUS-010163,2021-12-24,Buy Now Pay Later,FlexPay,Successful,TXN-67027431659,212.67,0.0,0
PAY-00000160,ORD-00000160,CUS-000668,2023-05-09,Cash,Store POS,Successful,TXN-58711652185,211.86,0.0,0
PAY-00000161,ORD-00000161,CUS-000117,2026-07-30,Card,Bank Gateway,Successful,TXN-98602468867,297.53,0.0,0
PAY-00000162,ORD-00000162,CUS-000622,2020-12-31,Buy Now Pay Later,FlexPay,Successful,TXN-62190505205,170.24,0.0,0
PAY-00000163,ORD-00000163,CUS-008616,2025-09-03,Digital Wallet,WalletPay,Successful,TXN-28535653764,290.67,0.0,0
PAY-00000164,ORD-00000164,CUS-002733,2020-01-05,Buy Now Pay Later,FlexPay,Successful,TXN-32099420522,134.47,0.0,0
PAY-00000165,ORD-00000165,CUS-002060,2025-10-04,EFT,Bank Transfer,Successful,TXN-27525691934,228.02,0.0,0
PAY-00000166,ORD-00000166,,2022-03-27,Digital Wallet,WalletPay,Successful,TXN-61253903770,361.42,0.0,0
PAY-00000167,ORD-00000167,CUS-006172,2021-12-21,Digital Wallet,WalletPay,Successful,TXN-96477542508,110.26,0.0,0
PAY-00000168,ORD-00000168,CUS-010538,2025-03-12,Card,Bank Gateway,Successful,TXN-53211908614,270.82,0.0,0
PAY-00000169,ORD-00000169,,2021-02-02,Digital Wallet,WalletPay,Successful,TXN-33573897168,367.81,0.0,0
PAY-00000170,ORD-00000170,CUS-011913,2020-11-19,Buy Now Pay Later,FlexPay,Successful,TXN-10391086542,108.13,0.0,0
PAY-00000171,ORD-00000171,CUS-002175,2023-02-09,Digital Wallet,WalletPay,Successful,TXN-10272945932,35.3,0.0,0
PAY-00000172,ORD-00000172,CUS-008256,2026-04-17,Card,Bank Gateway,Successful,TXN-37560102208,529.56,0.0,0
PAY-00000173,ORD-00000173,CUS-007425,2022-03-17,Digital Wallet,WalletPay,Successful,TXN-96808201567,178.62,0.0,0
PAY-00000174,ORD-00000174,CUS-003590,2023-08-13,Buy Now Pay Later,FlexPay,Successful,TXN-85644474159,267.94,0.0,0
PAY-00000175,ORD-00000175,CUS-010600,2022-08-26,Buy Now Pay Later,FlexPay,Successful,TXN-41742062443,352.64,0.0,0
PAY-00000176,ORD-00000176,CUS-005439,2025-01-19,Card,Bank Gateway,Reversed,TXN-25252680045,269.57,269.57,1
PAY-00000177,ORD-00000177,CUS-011394,2025-12-28,Card,Bank Gateway,Successful,TXN-89970638610,37.28,0.0,0
PAY-00000178,ORD-00000178,CUS-003341,2026-07-05,Digital Wallet,WalletPay,Successful,TXN-17965825908,467.16,0.0,0
PAY-00000179,ORD-00000179,CUS-001519,2021-10-17,Digital Wallet,WalletPay,Successful,TXN-96913945324,352.09,0.0,0
PAY-00000180,ORD-00000180,CUS-008635,2021-10-01,Buy Now Pay Later,FlexPay,Successful,TXN-60918840565,330.33,0.0,0
PAY-00000181,ORD-00000181,CUS-000143,2026-02-28,Buy Now Pay Later,FlexPay,Successful,TXN-43648832020,89.62,0.0,0
PAY-00000182,ORD-00000182,CUS-007393,2023-11-19,Card,Bank Gateway,Successful,TXN-72693093991,609.53,0.0,0
PAY-00000183,ORD-00000183,CUS-006898,2022-03-09,EFT,Bank Transfer,Successful,TXN-68344908803,247.18,0.0,0
PAY-00000184,ORD-00000184,CUS-010556,2022-04-09,Cash,Store POS,Successful,TXN-98803931233,450.12,0.0,0
PAY-00000185,ORD-00000185,CUS-008486,2021-03-05,EFT,Bank Transfer,Successful,TXN-93208007540,144.25,0.0,0
PAY-00000186,ORD-00000186,CUS-006695,2020-07-24,Buy Now Pay Later,FlexPay,Reversed,TXN-97898534136,236.9,236.9,1
PAY-00000187,ORD-00000187,CUS-010102,2022-04-23,Cash,Store POS,Successful,TXN-37020571298,198.35,0.0,0
PAY-00000188,ORD-00000188,CUS-009889,2025-04-15,Digital Wallet,WalletPay,Reversed,TXN-60903999797,252.45,252.45,1
PAY-00000189,ORD-00000189,CUS-002220,2024-05-24,Digital Wallet,WalletPay,Reversed,TXN-37465353900,231.53,231.53,1
PAY-00000190,ORD-00000190,CUS-001748,2020-01-30,Digital Wallet,WalletPay,Successful,TXN-22314728650,492.52,0.0,0
PAY-00000191,ORD-00000191,CUS-004397,2020-04-18,Cash,Store POS,Successful,TXN-77073231710,208.02,0.0,0
PAY-00000192,ORD-00000192,CUS-007948,2025-10-15,Cash,Store POS,Successful,TXN-44351746665,283.92,0.0,0
PAY-00000193,ORD-00000193,CUS-006239,2025-04-15,Card,Bank Gateway,Successful,TXN-99768568198,209.95,0.0,0
PAY-00000194,ORD-00000194,CUS-010575,2025-04-17,EFT,Bank Transfer,Successful,TXN-87350652087,253.75,0.0,0
PAY-00000195,ORD-00000195,CUS-009719,2025-09-28,Cash,Store POS,Successful,TXN-12444161224,146.96,0.0,0
PAY-00000196,ORD-00000196,CUS-005511,2024-04-02,EFT,Bank Transfer,Successful,TXN-17239368939,96.35,0.0,0
PAY-00000197,ORD-00000197,CUS-008724,2022-04-01,EFT,Bank Transfer,Successful,TXN-75608589810,97.41,0.0,0
PAY-00000198,ORD-00000198,CUS-009867,2023-12-09,EFT,Bank Transfer,Reversed,TXN-65696767059,215.91,215.91,1
PAY-00000199,ORD-00000199,CUS-005479,2024-04-11,Card,Bank Gateway,Successful,TXN-45117390781,108.61,0.0,0
PAY-00000200,ORD-00000200,CUS-010038,2025-08-20,Card,Bank Gateway,Successful,TXN-18479698694,482.21,0.0,0
PAY-00000201,ORD-00000201,CUS-007062,2023-07-17,Buy Now Pay Later,FlexPay,Successful,TXN-62903631114,143.86,0.0,0
PAY-00000202,ORD-00000202,CUS-009851,2020-05-15,Cash,Store POS,Successful,TXN-47309700762,93.39,0.0,0
PAY-00000203,ORD-00000203,CUS-001796,2024-02-24,Card,Bank Gateway,Reversed,TXN-71353242715,228.02,228.02,1
PAY-00000204,ORD-00000204,CUS-005687,2024-11-27,EFT,Bank Transfer,Successful,TXN-21636888773,48.51,0.0,0
PAY-00000205,ORD-00000205,CUS-003108,2026-04-20,Card,Bank Gateway,Successful,TXN-82653318396,138.66,0.0,0
PAY-00000206,ORD-00000206,CUS-002184,2021-03-15,Buy Now Pay Later,FlexPay,Successful,TXN-54237604372,93.71,0.0,0
PAY-00000207,ORD-00000207,CUS-000198,2025-09-24,Card,Bank Gateway,Successful,TXN-76898418033,80.04,0.0,0
PAY-00000208,ORD-00000208,CUS-001488,2020-02-19,EFT,Bank Transfer,Reversed,TXN-50917508887,562.59,562.59,1
PAY-00000209,ORD-00000209,CUS-010885,2024-11-13,Digital Wallet,WalletPay,Successful,TXN-84741222762,101.89,0.0,0
PAY-00000210,ORD-00000210,CUS-010000,2022-01-30,EFT,Bank Transfer,Successful,TXN-69228521920,35.4,0.0,0
PAY-00000211,ORD-00000211,CUS-001326,2020-10-12,EFT,Bank Transfer,Successful,TXN-84528170962,143.82,0.0,0
