customer_id,campaign_id,event_timestamp,event_type,device_type,channel,order_date,converted
CUS-000055,CMP-0032,2020-01-08 11:33:00,Product View,Mobile,SMS,,0
CUS-002855,CMP-0032,2020-01-08 12:25:00,Add To Cart,Desktop,SMS,,0
CUS-007665,CMP-0032,2020-01-08 14:55:00,Conversion,Tablet,SMS,,0
CUS-005376,CMP-0032,2020-01-08 17:20:00,Impression,Mobile,SMS,,0
CUS-006887,CMP-0032,2020-01-08 22:28:00,Open,Mobile,SMS,,0
CUS-002455,CMP-0032,2020-01-08 22:56:00,Add To Cart,Mobile,SMS,,0
CUS-008813,CMP-0032,2020-01-08 23:27:00,Add To Cart,Desktop,SMS,,0
CUS-011759,CMP-0032,2020-01-09 00:37:00,Product View,Desktop,SMS,,0
CUS-003033,CMP-0032,2020-01-09 01:26:00,Impression,Desktop,SMS,,0
CUS-010271,CMP-0032,2020-01-09 02:42:00,Add To Cart,Desktop,SMS,,0
CUS-010818,CMP-0032,2020-01-09 04:00:00,Click,Tablet,SMS,,0
CUS-006187,CMP-0032,2020-01-09 04:08:00,Conversion,Desktop,SMS,,0
CUS-008516,CMP-0032,2020-01-09 04:57:00,Product View,Desktop,SMS,,0
CUS-005355,CMP-0032,2020-01-09 05:23:00,Impression,Desktop,SMS,,0
CUS-002432,CMP-0032,2020-01-09 07:35:00,Impression,Mobile,SMS,,0
CUS-008995,CMP-0032,2020-01-09 10:35:00,Click,Desktop,SMS,,0
CUS-002715,CMP-0032,2020-01-09 13:30:00,Impression,Mobile,SMS,,0
CUS-009126,CMP-0032,2020-01-09 14:44:00,Product View,Desktop,SMS,2020-01-23,1
CUS-008130,CMP-0032,2020-01-09 14:53:00,Click,Tablet,SMS,,0
CUS-006139,CMP-0032,2020-01-09 15:02:00,Impression,Desktop,SMS,,0
CUS-010037,CMP-0032,2020-01-09 17:28:00,Click,Tablet,SMS,,0
CUS-010899,CMP-0032,2020-01-09 19:21:00,Impression,Desktop,SMS,,0
CUS-003422,CMP-0032,2020-01-09 19:30:00,Open,Desktop,SMS,,0
CUS-002701,CMP-0032,2020-01-09 21:24:00,Open,Tablet,SMS,,0
CUS-004061,CMP-0032,2020-01-09 22:24:00,Impression,Tablet,SMS,,0
CUS-010512,CMP-0032,2020-01-10 01:49:00,Impression,Mobile,SMS,,0
CUS-000856,CMP-0032,2020-01-10 02:40:00,Click,Tablet,SMS,,0
CUS-000941,CMP-0032,2020-01-10 05:04:00,Conversion,Tablet,SMS,,0
CUS-007326,CMP-0032,2020-01-10 05:15:00,Impression,Desktop,SMS,,0
CUS-005802,CMP-0032,2020-01-10 06:02:00,Impression,Desktop ,SMS,,0
CUS-000440,CMP-0032,2020-01-10 13:35:00,Impression,Desktop,SMS,,0
CUS-009516,CMP-0032,2020-01-10 13:42:00,Impression,Tablet,SMS,,0
CUS-003666,CMP-0032,2020-01-10 17:59:00,Open,Tablet,SMS,,0
CUS-001660,CMP-0032,2020-01-10 20:55:00,Click,Desktop,SMS,,0
CUS-005388,CMP-0032,2020-01-10 21:19:00,Impression,Mobile,SMS,,0
CUS-003886,CMP-0032,2020-01-10 23:00:00,Impression,Mobile,SMS,,0
CUS-005440,CMP-0032,2020-01-10 23:11:00,Conversion,Desktop,SMS,,0
CUS-004113,CMP-0032,2020-01-11 02:13:00,Impression,Mobile,SMS,,0
CUS-010719,CMP-0032,2020-01-11 04:34:00,Impression,Desktop,SMS,,0
CUS-007128,CMP-0032,2020-01-11 08:49:00,Impression,Mobile,SMS,,0
CUS-003353,CMP-0032,2020-01-11 17:30:00,Conversion,Tablet,SMS,,0
CUS-000405,CMP-0032,2020-01-11 17:53:00,Open,Tablet,SMS,,0
CUS-003928,CMP-0032,2020-01-11 23:43:00,Product View,Mobile,SMS,,0
CUS-006422,CMP-0032,2020-01-12 00:53:00,Open,Mobile,SMS,,0
CUS-001246,CMP-0032,2020-01-12 03:44:00,Impression,Desktop,SMS,,0
CUS-003022,CMP-0032,2020-01-12 04:45:00,Add To Cart,Mobile,SMS,,0
CUS-001987,CMP-0032,2020-01-12 09:53:00,Impression,Mobile,SMS,,0
CUS-010101,CMP-0032,2020-01-12 10:11:00,Product View,Mobile,SMS,2020-01-17,1
CUS-001738,CMP-0032,2020-01-12 10:32:00,Click,Mobile,SMS,,0
CUS-008979,CMP-0032,2020-01-12 10:47:00,Product View,Tablet,SMS,,0
CUS-004627,CMP-0032,2020-01-12 10:55:00,Product View,Desktop,SMS,,0
CUS-000758,CMP-0032,2020-01-12 12:56:00,Product View,Desktop,SMS,,0
CUS-011607,CMP-0032,2020-01-12 13:16:00,Impression,Desktop,SMS,,0
CUS-002548,CMP-0032,2020-01-12 15:58:00,Impression,Desktop,SMS,,0
CUS-003045,CMP-0032,2020-01-12 17:05:00,Open,Mobile,SMS,,0
CUS-000535,CMP-0032,2020-01-12 17:32:00,Impression,Tablet,SMS,,0
CUS-005632,CMP-0032,2020-01-12 17:41:00,Click,Desktop,SMS,,0
CUS-005404,CMP-0032,2020-01-12 18:01:00,Product View,Tablet,SMS,,0
CUS-005223,CMP-0032,2020-01-12 19:51:00,Conversion,Tablet,SMS,,0
CUS-001918,CMP-0032,2020-01-12 22:55:00,Impression,Tablet,SMS,,0
CUS-011289,CMP-0032,2020-01-13 00:55:00,Impression,Desktop,SMS,,0
CUS-003995,CMP-0032,2020-01-13 02:31:00,Impression,Tablet,SMS,,0
CUS-005851,CMP-0032,2020-01-13 04:53:00,Click,Tablet,SMS,,0
CUS-010133,CMP-0032,2020-01-13 05:11:00,Impression,tablet,SMS,,0
CUS-005807,CMP-0032,2020-01-13 09:09:00,Click,Tablet,SMS,,0
CUS-002992,CMP-0032,2020-01-13 10:06:00,Add To Cart,Mobile,SMS,,0
CUS-001866,CMP-0032,2020-01-13 13:11:00,Open,Mobile,SMS,,0
CUS-009745,CMP-0032,2020-01-13 13:25:00,Impression,Tablet,SMS,,0
CUS-003845,CMP-0032,2020-01-13 13:35:00,Add To Cart,Tablet,SMS,,0
CUS-001303,CMP-0032,2020-01-13 15:21:00,Product View,Desktop,SMS,,0
CUS-001310,CMP-0032,2020-01-13 15:51:00,Impression,Tablet,SMS,,0
CUS-010284,CMP-0032,2020-01-13 16:53:00,Add To Cart,Desktop,SMS,,0
CUS-004672,CMP-0032,2020-01-13 22:13:00,Product View,Mobile,SMS,,0
CUS-006459,CMP-0032,2020-01-13 22:35:00,Click,Desktop ,SMS,,0
CUS-009605,CMP-0032,2020-01-13 22:49:00,Add To Cart,Tablet,SMS,,0
CUS-003339,CMP-0032,2020-01-13 23:34:00,Impression,Mobile,SMS,,0
CUS-000485,CMP-0032,2020-01-14 02:38:00,Add To Cart,Tablet,SMS,,0
CUS-002023,CMP-0032,2020-01-14 06:20:00,Impression,Desktop,SMS,,0
CUS-002617,CMP-0032,2020-01-14 07:57:00,Product View,Mobile,SMS,,0
CUS-011728,CMP-0032,2020-01-14 11:15:00,Product View,Tablet,SMS,,0
CUS-011080,CMP-0032,2020-01-14 11:34:00,Product View,Tablet,SMS,,0
CUS-004104,CMP-0032,2020-01-14 11:47:00,Conversion,Tablet,SMS,,0
CUS-007034,CMP-0032,2020-01-14 12:52:00,Impression,Tablet,SMS,,0
CUS-006408,CMP-0032,2020-01-14 14:04:00,Impression,Desktop,SMS,,0
CUS-006805,CMP-0032,2020-01-14 17:13:00,Product View,Mobile,SMS,,0
CUS-001296,CMP-0032,2020-01-14 18:32:00,Click,Tablet,SMS,,0
CUS-007539,CMP-0032,2020-01-14 18:41:00,Click,mobile,SMS,,0
CUS-008313,CMP-0032,2020-01-14 19:21:00,Product View,Mobile,SMS,,0
CUS-009743,CMP-0032,2020-01-14 20:27:00,Impression,Desktop,SMS,,0
CUS-007880,CMP-0032,2020-01-14 20:44:00,Product View,Desktop,SMS,,0
CUS-011038,CMP-0032,2020-01-15 00:08:00,Product View,Tablet,SMS,,0
CUS-007315,CMP-0032,2020-01-15 00:55:00,Product View,Tablet,SMS,,0
CUS-001400,CMP-0032,2020-01-15 00:56:00,Impression,Mobile,SMS,,0
CUS-000692,CMP-0032,2020-01-15 01:11:00,Product View,Mobile,SMS,,0
CUS-004271,CMP-0032,2020-01-15 04:21:00,Conversion,Mobile,SMS,,0
CUS-004577,CMP-0032,2020-01-15 05:34:00,Add To Cart,Mobile,SMS,,0
CUS-008068,CMP-0032,2020-01-15 07:39:00,Conversion,Desktop,SMS,,0
CUS-005867,CMP-0032,2020-01-15 09:05:00,Open,Tablet,SMS,,0
CUS-006500,CMP-0032,2020-01-15 12:35:00,Conversion,Mobile,SMS,,0
CUS-004812,CMP-0032,2020-01-15 17:02:00,Impression,Mobile,SMS,,0
CUS-008469,CMP-0032,2020-01-15 17:11:00,Product View,Tablet,SMS,,0
CUS-001748,CMP-0032,2020-01-15 17:17:00,Impression,Mobile,SMS,,0
CUS-001550,CMP-0032,2020-01-15 18:34:00,Impression,Mobile,SMS,,0
CUS-000498,CMP-0032,2020-01-15 18:56:00,Impression,Desktop,SMS,,0
CUS-009014,CMP-0032,2020-01-15 19:42:00,Product View,Tablet,SMS,,0
CUS-006719,CMP-0032,2020-01-15 20:25:00,Impression,Tablet,SMS,,0
CUS-004413,CMP-0032,2020-01-15 21:57:00,Product View,Mobile,SMS,,0
CUS-002822,CMP-0032,2020-01-16 00:38:00,Add To Cart,Tablet,SMS,,0
CUS-011691,CMP-0032,2020-01-16 03:22:00,Add To Cart,Tablet,SMS,,0
CUS-002064,CMP-0032,2020-01-16 03:26:00,Impression,Desktop,SMS,,0
CUS-009761,CMP-0032,2020-01-16 04:49:00,Product View,Desktop,SMS,,0
CUS-004422,CMP-0032,2020-01-16 08:02:00,Impression,Desktop,SMS,,0
CUS-008745,CMP-0032,2020-01-16 08:48:00,Impression,Tablet,SMS,,0
CUS-005402,CMP-0032,2020-01-16 11:01:00,Product View,Desktop,SMS,,0
CUS-001054,CMP-0032,2020-01-16 13:21:00,Impression,Desktop,SMS,,0
CUS-003580,CMP-0032,2020-01-16 16:19:00,Click,Mobile,SMS,,0
CUS-007778,CMP-0032,2020-01-16 18:26:00,Impression,Mobile,SMS,,0
CUS-009193,CMP-0032,2020-01-16 18:53:00,Impression,Desktop,SMS,,0
CUS-008380,CMP-0032,2020-01-16 19:11:00,Open,Mobile,SMS,,0
CUS-006775,CMP-0032,2020-01-16 19:13:00,Impression,Tablet,SMS,,0
CUS-002250,CMP-0032,2020-01-16 20:06:00,Impression,Mobile,SMS,,0
CUS-007987,CMP-0032,2020-01-16 20:08:00,Click,Mobile,SMS,,0
CUS-010167,CMP-0032,2020-01-16 21:20:00,Add To Cart,Mobile,SMS,,0
CUS-002303,CMP-0032,2020-01-16 22:06:00,Product View,Mobile,SMS,,0
CUS-002676,CMP-0032,2020-01-16 22:08:00,Impression,Mobile,SMS,,0
CUS-010108,CMP-0032,2020-01-17 00:34:00,Open,Desktop,SMS,,0
CUS-004688,CMP-0032,2020-01-17 01:27:00,Impression,Tablet,SMS,,0
CUS-000609,CMP-0032,2020-01-17 01:52:00,Impression,Desktop,SMS,,0
CUS-007962,CMP-0032,2020-01-17 05:26:00,Open,Desktop,SMS,,0
CUS-007963,CMP-0032,2020-01-17 06:06:00,Impression,Mobile,SMS,,0
CUS-001360,CMP-0032,2020-01-17 08:23:00,Add To Cart,Mobile,SMS,,0
CUS-008147,CMP-0032,2020-01-17 08:36:00,Click,Mobile,SMS,,0
CUS-009693,CMP-0032,2020-01-17 14:30:00,Add To Cart,Tablet,SMS,,0
CUS-006202,CMP-0032,2020-01-17 20:36:00,Click,Mobile,SMS,,0
CUS-005952,CMP-0032,2020-01-17 20:58:00,Impression,Desktop,SMS,,0
CUS-007562,CMP-0032,2020-01-17 21:21:00,Click,Mobile,SMS,,0
CUS-010175,CMP-0032,2020-01-17 21:34:00,Click,Mobile,SMS,,0
CUS-001134,CMP-0032,2020-01-17 21:43:00,Product View,Desktop,SMS,,0
CUS-007977,CMP-0032,2020-01-17 23:12:00,Click,Desktop,SMS,,0
CUS-008496,CMP-0032,2020-01-17 23:33:00,Impression,Desktop,SMS,,0
CUS-008497,CMP-0032,2020-01-18 00:58:00,Product View,Desktop,SMS,,0
CUS-001226,CMP-0032,2020-01-18 01:34:00,Click,Mobile,SMS,,0
CUS-008898,CMP-0032,2020-01-18 03:23:00,Click,Desktop,SMS,,0
CUS-008231,CMP-0032,2020-01-18 04:59:00,Impression,Desktop,SMS,,0
CUS-001272,CMP-0032,2020-01-18 05:20:00,Add To Cart,Mobile,SMS,,0
CUS-006927,CMP-0032,2020-01-18 06:25:00,Impression,Desktop,SMS,,0
CUS-003652,CMP-0032,2020-01-18 07:43:00,Open,Tablet,SMS,,0
CUS-002226,CMP-0032,2020-01-18 08:01:00,Product View,Desktop,SMS,,0
CUS-002736,CMP-0032,2020-01-18 10:35:00,Impression,Mobile,SMS,,0
CUS-009551,CMP-0032,2020-01-18 12:18:00,Product View,Mobile,SMS,,0
CUS-006994,CMP-0032,2020-01-18 13:04:00,Open,Mobile,SMS,,0
CUS-004593,CMP-0032,2020-01-18 13:56:00,Click,Tablet,SMS,,0
CUS-000454,CMP-0032,2020-01-18 14:12:00,Product View,Tablet,SMS,,0
CUS-008661,CMP-0032,2020-01-18 16:00:00,Add To Cart,Tablet,SMS,,0
CUS-005870,CMP-0032,2020-01-18 16:06:00,Product View,Desktop,SMS,,0
CUS-005050,CMP-0032,2020-01-18 21:14:00,Conversion,Desktop,SMS,,0
CUS-009010,CMP-0032,2020-01-18 22:24:00,Click,Tablet,SMS,,0
CUS-002157,CMP-0032,2020-01-19 03:53:00,Product View,Desktop,SMS,,0
CUS-002612,CMP-0032,2020-01-19 04:01:00,Product View,Tablet,SMS,,0
CUS-009819,CMP-0032,2020-01-19 06:17:00,Open,Desktop,SMS,,0
CUS-005832,CMP-0032,2020-01-19 06:24:00,Add To Cart,Tablet,SMS,,0
CUS-011336,CMP-0032,2020-01-19 06:57:00,Product View,Tablet,SMS,,0
CUS-003514,CMP-0032,2020-01-19 07:21:00,Product View,Tablet,SMS,,0
CUS-010693,CMP-0032,2020-01-19 08:17:00,Open,Desktop,SMS,,0
CUS-004164,CMP-0032,2020-01-19 10:06:00,Impression,Mobile,SMS,,0
CUS-005227,CMP-0032,2020-01-19 10:07:00,Conversion,Tablet,SMS,,0
CUS-000581,CMP-0032,2020-01-19 12:43:00,Click,Mobile,SMS,,0
CUS-004081,CMP-0032,2020-01-19 13:32:00,Click,Tablet,SMS,,0
CUS-001825,CMP-0032,2020-01-19 15:53:00,Product View,Tablet,SMS,,0
CUS-010334,CMP-0032,2020-01-19 16:36:00,Open,Mobile,SMS,,0
CUS-003130,CMP-0032,2020-01-19 18:53:00,Impression,Desktop,SMS,,0
CUS-010191,CMP-0032,2020-01-19 20:56:00,Click,Tablet,SMS,,0
CUS-005194,CMP-0032,2020-01-19 21:13:00,Impression,Desktop,SMS,,0
CUS-011332,CMP-0032,2020-01-19 21:29:00,Impression,Desktop,SMS,,0
CUS-008336,CMP-0032,2020-01-19 22:06:00,Click,Tablet,SMS,,0
CUS-001609,CMP-0032,2020-01-19 22:22:00,Impression,Tablet,SMS,2020-01-20,1
CUS-007393,CMP-0032,2020-01-19 23:02:00,Add To Cart,Desktop,SMS,,0
CUS-009494,CMP-0032,2020-01-19 23:04:00,Product View,Desktop,SMS,,0
CUS-010505,CMP-0032,2020-01-19 23:41:00,Open,Desktop,SMS,,0
CUS-008611,CMP-0032,2020-01-20 00:56:00,Add To Cart,Mobile,SMS,,0
CUS-010704,CMP-0032,2020-01-20 02:13:00,Impression,Mobile,SMS,,0
CUS-009286,CMP-0032,2020-01-20 05:47:00,Impression,Desktop,SMS,,0
CUS-006631,CMP-0032,2020-01-20 08:18:00,Click,Mobile,SMS,,0
CUS-010990,CMP-0032,2020-01-20 08:31:00,Product View,Tablet,SMS,,0
CUS-011497,CMP-0032,2020-01-20 10:41:00,Conversion,desktop,SMS,,0
CUS-002366,CMP-0032,2020-01-20 11:14:00,Impression,Mobile,SMS,,0
CUS-002445,CMP-0032,2020-01-20 13:13:00,Product View,Tablet,SMS,,0
CUS-011077,CMP-0032,2020-01-20 14:33:00,Impression,Tablet,SMS,,0
CUS-007333,CMP-0032,2020-01-20 23:16:00,Add To Cart,Tablet,SMS,,0
CUS-002607,CMP-0032,2020-01-20 23:17:00,Impression,Tablet,SMS,,0
CUS-011681,CMP-0032,2020-01-21 00:40:00,Impression,Tablet,SMS,2020-01-28,1
CUS-008278,CMP-0032,2020-01-21 00:45:00,Click,Mobile,SMS,,0
CUS-003879,CMP-0032,2020-01-21 01:54:00,Product View,Desktop,SMS,,0
CUS-004342,CMP-0032,2020-01-21 02:27:00,Add To Cart,Mobile,SMS,,0
CUS-003428,CMP-0032,2020-01-21 03:18:00,Impression,Mobile,SMS,,0
CUS-011593,CMP-0032,2020-01-21 04:09:00,Impression,Desktop,SMS,,0
CUS-008825,CMP-0032,2020-01-21 04:26:00,Impression,Tablet,SMS,,0
CUS-007479,CMP-0032,2020-01-21 05:36:00,Add To Cart,Tablet,SMS,,0
CUS-004096,CMP-0032,2020-01-21 09:06:00,Click,Mobile,SMS,,0
CUS-002691,CMP-0032,2020-01-21 09:37:00,Open,Desktop,SMS,,0
CUS-010273,CMP-0032,2020-01-21 11:51:00,Add To Cart,Desktop,SMS,,0
CUS-000394,CMP-0032,2020-01-21 12:45:00,Impression,Tablet,SMS,,0
CUS-006643,CMP-0032,2020-01-21 13:11:00,Impression,Tablet,SMS,,0
CUS-005618,CMP-0032,2020-01-21 18:23:00,Add To Cart,Tablet,SMS,,0
CUS-001956,CMP-0032,2020-01-21 18:30:00,Product View,Mobile,SMS,,0
CUS-005045,CMP-0032,2020-01-22 02:26:00,Impression,Mobile,SMS,,0
CUS-002854,CMP-0032,2020-01-22 03:58:00,Add To Cart,Tablet,SMS,,0
CUS-004876,CMP-0032,2020-01-22 06:39:00,Product View,Desktop,SMS,,0
CUS-003297,CMP-0032,2020-01-22 09:31:00,Impression,Tablet,SMS,,0
CUS-000392,CMP-0032,2020-01-22 10:38:00,Open,Tablet,SMS,,0
CUS-000252,CMP-0032,2020-01-22 11:31:00,Impression,Tablet,SMS,,0
CUS-003026,CMP-0032,2020-01-22 12:10:00,Click,Tablet,SMS,,0
CUS-001783,CMP-0032,2020-01-22 12:24:00,Conversion,Desktop,SMS,,0
CUS-007463,CMP-0032,2020-01-22 15:12:00,Impression,Tablet,SMS,,0
CUS-000157,CMP-0032,2020-01-22 15:12:00,Product View,Desktop,SMS,,0
CUS-001413,CMP-0032,2020-01-22 17:39:00,Conversion,Tablet,SMS,,0
CUS-002221,CMP-0032,2020-01-22 17:47:00,Click,Tablet,SMS,,0
CUS-002488,CMP-0032,2020-01-22 18:04:00,Click,Tablet,SMS,,0
CUS-000612,CMP-0032,2020-01-22 18:40:00,Impression,Mobile,SMS,,0
CUS-004767,CMP-0032,2020-01-22 19:00:00,Click,Mobile,SMS,,0
CUS-000796,CMP-0032,2020-01-22 19:23:00,Impression,Tablet,SMS,,0
CUS-002804,CMP-0032,2020-01-22 21:30:00,Product View,Mobile,SMS,,0
CUS-000950,CMP-0032,2020-01-22 22:50:00,Impression,Desktop,SMS,,0
CUS-000417,CMP-0032,2020-01-22 23:14:00,Add To Cart,Desktop,SMS,,0
CUS-001192,CMP-0032,2020-01-23 01:35:00,Click,Mobile,SMS,,0
CUS-006390,CMP-0032,2020-01-23 03:50:00,Product View,Mobile,SMS,,0
CUS-005909,CMP-0032,2020-01-23 03:52:00,Impression,Tablet,SMS,,0
CUS-004569,CMP-0032,2020-01-23 05:04:00,Product View,Tablet,SMS,,0
CUS-002065,CMP-0032,2020-01-23 10:27:00,Add To Cart,Tablet,SMS,,0
CUS-007828,CMP-0032,2020-01-23 11:02:00,Open,Desktop,SMS,,0
CUS-001073,CMP-0032,2020-01-23 12:07:00,Product View,Mobile,SMS,,0
CUS-010867,CMP-0032,2020-01-23 12:23:00,Impression,Mobile,SMS,,0
CUS-011661,CMP-0032,2020-01-23 12:53:00,Impression,Tablet,SMS,,0
CUS-000325,CMP-0032,2020-01-23 14:40:00,Click,Desktop,SMS,,0
CUS-004020,CMP-0032,2020-01-23 19:23:00,Impression,Tablet,SMS,,0
CUS-010795,CMP-0032,2020-01-23 21:48:00,Impression,Mobile,SMS,,0
CUS-011023,CMP-0032,2020-01-23 21:51:00,Impression,Tablet,SMS,,0
CUS-008305,CMP-0032,2020-01-23 23:26:00,Impression,Tablet,SMS,,0
CUS-009424,CMP-0032,2020-01-24 01:55:00,Open,Desktop,SMS,,0
CUS-007191,CMP-0032,2020-01-24 02:17:00,Open,Desktop,SMS,,0
CUS-000482,CMP-0032,2020-01-24 03:21:00,Product View,Mobile,SMS,,0
CUS-002015,CMP-0032,2020-01-24 03:37:00,Impression,Desktop,SMS,,0
CUS-006449,CMP-0032,2020-01-24 03:47:00,Product View,Tablet,SMS,,0
CUS-011467,CMP-0032,2020-01-24 03:49:00,Open,Mobile,SMS,,0
CUS-002568,CMP-0032,2020-01-24 04:02:00,Product View,mobile,SMS,,0
CUS-009475,CMP-0032,2020-01-24 04:14:00,Product View,Tablet,SMS,,0
CUS-010634,CMP-0032,2020-01-24 06:42:00,Impression,Mobile,SMS,,0
CUS-007933,CMP-0032,2020-01-24 07:39:00,Impression,Mobile,SMS,,0
CUS-010417,CMP-0032,2020-01-24 10:40:00,Add To Cart,Mobile,SMS,,0
