return_id,order_item_id,customer_id,return_request_date,return_received_date,return_reason,return_condition,refund_amount,refund_status,return_channel
RET-00000100,ITM-000001183,CUS-011163,2022-04-12,2022-04-25,Not as Described,Resellable,170.81,Processed,Store
RET-00000101,ITM-000001184,CUS-011048,2024-02-14,2024-02-20,Damaged Delivery,Damaged,62.99,Approved,Courier
RET-00000102,ITM-000001203,CUS-003084,2020-08-05,2020-08-07,Changed Mind,Damaged,144.03,Processed,Store
RET-00000103,ITM-000001214,CUS-004161,2024-06-10,2024-06-18,Wrong Item,Resellable,181.28,Pending,Store
RET-00000104,ITM-000001217,CUS-005120,2024-01-22,2024-01-29,Not as Described,Defective,574.92,Processed,Store
RET-00000105,ITM-000001232,CUS-008039,2023-11-14,2023-11-20,Wrong Item,Defective,98.08,Approved,Store
RET-00000106,ITM-000001289,CUS-006807,2024-10-18,2024-10-28,Size/Fit,Resellable,124.78,Approved,Courier
RET-00000107,ITM-000001292,CUS-010889,2020-08-23,2020-08-26,,Damaged,61.35,Approved,Courier
RET-00000108,ITM-000001295,CUS-000597,2020-08-04,2020-08-10,Damaged Delivery,Opened,28.64,Processed,Courier
RET-00000109,ITM-000001303,CUS-011665,2023-04-21,2023-05-03,Size/Fit,Damaged,56.84,Processed,Courier
RET-00000110,ITM-000001336,CUS-011889,2021-01-09,2021-01-14,Changed Mind,Resellable,36.62,Processed,Courier
RET-00000111,ITM-000001343,CUS-003265,2020-11-11,2020-11-24,,Damaged,21.53,Pending,Courier
RET-00000112,ITM-000001360,CUS-005609,2025-03-31,2025-04-11,Changed Mind,Defective,54.16,Processed,Courier
RET-00000113,ITM-000001379,CUS-006917,2020-08-09,2020-08-11,Defective Product,Opened,22.3,Pending,Store
RET-00000114,ITM-000001402,CUS-000342,2022-03-24,2022-03-29,Changed Mind,Defective,36.62,Processed,Courier
RET-00000115,ITM-000001411,CUS-002622,2021-06-07,2021-06-09,Size/Fit,Opened,121.4,Processed,Store
RET-00000116,ITM-000001447,CUS-009825,2022-08-06,2022-08-10,Changed Mind,Opened,58.02,Pending,Courier
RET-00000117,ITM-000001457,CUS-010921,2020-01-30,2020-02-02,Changed Mind,Defective,90.92,Approved,Store
RET-00000118,ITM-000001460,CUS-008957,2020-08-21,2020-09-02,Not as Described,Damaged,131.09,Processed,Courier
RET-00000119,ITM-000001479,CUS-004523,2024-03-04,2024-03-15,Changed Mind,Opened,119.49,Approved,Store
RET-00000120,ITM-000001487,CUS-005167,2023-08-28,2023-09-02,Size/Fit,Defective,533.76,Pending,Store
RET-00000121,ITM-000001504,CUS-001841,2025-05-09,2025-05-16,Damaged Delivery,Resellable,286.72,Approved,Courier
RET-00000122,ITM-000001511,CUS-008823,2020-11-20,2020-12-02,Changed Mind,Defective,28.66,Pending,Store
RET-00000123,ITM-000001514,CUS-000595,2022-09-17,2022-09-23,Defective Product,Defective,24.02,Pending,Courier
RET-00000124,ITM-000001520,CUS-001695,2020-12-13,2020-12-13,Defective Product,Resellable,38.14,Pending,Courier
RET-00000125,ITM-000001534,CUS-008037,2020-05-12,2020-05-21,Not as Described,Opened,108.26,Approved,Store
RET-00000126,ITM-000001536,CUS-002851,2020-04-19,2020-04-29,Not as Described,Resellable,34.8,Approved,Store
RET-00000127,ITM-000001539,,2022-01-09,2022-01-21,Changed Mind,Opened,76.06,Approved,Courier
RET-00000128,ITM-000001559,CUS-011149,2020-10-31,2020-11-04,Not as Described,Damaged,110.47,Processed,Courier
RET-00000129,ITM-000001595,CUS-009326,2023-07-15,2023-07-19,Size/Fit,Opened,231.28,Approved,Courier
RET-00000130,ITM-000001603,CUS-003689,2024-11-19,2024-11-30,Changed Mind,Damaged,189.88,Approved,Courier
RET-00000131,ITM-000001622,CUS-010016,2020-11-16,2020-11-20,,Damaged,42.68,Processed,Courier
RET-00000132,ITM-000001649,CUS-002356,2026-06-02,2026-06-12,Defective Product,Defective,37.62,Approved,Store
RET-00000133,ITM-000001671,CUS-000503,2025-09-05,2025-09-06,Defective Product,Resellable,29.55,Pending,Store
RET-00000134,ITM-000001675,CUS-007728,2023-07-22,2023-07-29,Changed Mind,Resellable,29.66,Approved,Store
RET-00000135,ITM-000001685,CUS-003320,2023-11-08,2023-11-12,Defective Product,Opened,66.0,Approved,Courier
RET-00000136,ITM-000001690,CUS-002028,2023-03-09,2023-03-09,Size/Fit,Defective,95.2,Pending,Courier
RET-00000137,ITM-000001693,CUS-008211,2023-12-18,2023-12-18,Damaged Delivery,Resellable,23.53,Approved,Courier
RET-00000138,ITM-000001699,CUS-007072,2020-05-18,2020-05-29,,Damaged,42.22,Processed,Store
RET-00000139,ITM-000001700,CUS-007072,2020-05-14,2020-05-23,Changed Mind,Damaged,76.53,Approved,Courier
RET-00000140,ITM-000001717,CUS-010945,2021-03-18,2021-03-18,,Opened,33.25,Processed,Store
RET-00000141,ITM-000001740,CUS-009079,2025-12-02,2025-12-02,Size/Fit,Resellable,61.84,Processed,Courier
RET-00000142,ITM-000001741,CUS-001309,2024-07-29,2024-08-03,Changed Mind,Opened,212.87,Processed,Courier
RET-00000143,ITM-000001752,CUS-002536,2022-05-18,2022-05-30,Other,Resellable,50.56,Approved,Store
RET-00000144,ITM-000001759,CUS-001588,2026-06-27,2026-07-10,Defective Product,Defective,49.67,Approved,Courier
RET-00000145,ITM-000001786,CUS-009999,2023-08-03,2023-08-14,Not as Described,Opened,85.64,Pending,Courier
RET-00000146,ITM-000001789,CUS-008618,2024-04-17,2024-04-27,Damaged Delivery,Defective,16.36,Pending,Store
RET-00000147,ITM-000001790,CUS-008618,2024-03-31,2024-04-10,Changed Mind,Resellable,29.2,Approved,Store
RET-00000148,ITM-000001811,CUS-003039,2023-07-07,2023-07-13,Defective Product,Opened,18.07,Approved,Courier
RET-00000149,ITM-000001824,CUS-011859,2020-10-06,2020-10-14,Changed Mind,Opened,98.99,Processed,Courier
RET-00000150,ITM-000001840,CUS-002931,2022-03-18,2022-03-26,Defective Product,Resellable,119.15,Processed,Store
RET-00000151,ITM-000001847,CUS-006386,2024-12-12,2024-12-15,Changed Mind,Defective,179.85,Processed,Courier
RET-00000152,ITM-000001858,CUS-004268,2024-10-24,2024-11-03,Defective Product,Resellable,82.06,Approved,Courier
RET-00000153,ITM-000001875,CUS-005089,2022-01-26,2022-02-06,Damaged Delivery,Defective,114.48,Approved,Courier
RET-00000154,ITM-000001900,CUS-009214,2020-04-12,2020-04-21,,Defective,225.06,Pending,Courier
RET-00000155,ITM-000001907,CUS-007624,2021-06-05,2021-06-17,Changed Mind,Damaged,879.99,Pending,Store
RET-00000156,ITM-000001964,CUS-003598,2025-01-01,2025-01-13,Size/Fit,Opened,40.62,Approved,Courier
RET-00000157,ITM-000001972,CUS-009969,2021-07-30,2021-08-08,Size/Fit,Resellable,97.41,Processed,Courier
RET-00000158,ITM-000002003,CUS-009826,2025-12-21,2025-12-27,Defective Product,Opened,82.0,Approved,Store
RET-00000159,ITM-000002010,CUS-006483,2023-05-01,2023-05-04,Changed Mind,Opened,26.99,Processed,Store
RET-00000160,ITM-000002021,CUS-011995,2024-05-11,2024-05-16,Damaged Delivery,Defective,60.18,Processed,Courier
RET-00000161,ITM-000002025,CUS-001533,2023-08-26,2023-09-07,Size/Fit,Defective,73.05,Pending,Courier
RET-00000162,ITM-000002043,CUS-003403,2022-06-28,2022-07-02,Changed Mind,Resellable,81.95,Approved,Store
RET-00000163,ITM-000002050,CUS-002062,2025-11-03,2025-11-13,Defective Product,Damaged,38.02,Pending,Store
RET-00000164,ITM-000002060,CUS-000715,2021-05-06,2021-05-16,Changed Mind,Defective,78.49,Pending,Courier
RET-00000165,ITM-000002069,CUS-004119,2025-11-05,2025-11-14,Changed Mind,Defective,79.34,Processed,Store
RET-00000166,ITM-000002092,CUS-004721,2021-11-24,2021-12-03,Defective Product,Damaged,62.7,Pending,Store
RET-00000167,ITM-000002115,CUS-009560,2026-04-30,2026-05-07,Changed Mind,Defective,110.16,Processed,Courier
RET-00000168,ITM-000002137,CUS-001192,2025-04-18,2025-04-24,Changed Mind,Damaged,46.78,Processed,Courier
RET-00000169,ITM-000002140,CUS-003288,2023-04-24,2023-04-24,Defective Product,Defective,28.95,Processed,Store
RET-00000170,ITM-000002150,CUS-000721,2022-05-03,2022-05-16,Size/Fit,Opened,49.35,Processed,Store
RET-00000171,ITM-000002152,CUS-002673,2025-02-12,2025-02-22,Defective Product,Resellable,111.3,Approved,Courier
RET-00000172,ITM-000002159,CUS-008957,2025-02-06,2025-02-07,Not as Described,Opened,181.71,Approved,Store
RET-00000173,ITM-000002182,CUS-011384,2025-07-16,2025-07-19,Not as Described,Opened,254.24,Pending,Courier
RET-00000174,ITM-000002186,CUS-010120,2021-03-16,2021-03-26,,Damaged,59.62,Processed,Store
RET-00000175,ITM-000002210,CUS-011575,2021-12-01,2021-12-06,,Resellable,73.25,Pending,Courier
RET-00000176,ITM-000002217,CUS-008675,2026-04-17,2026-04-26,Defective Product,Defective,96.04,Approved,Courier
RET-00000177,ITM-000002236,CUS-001240,2025-08-08,2025-08-09,Size/Fit,Opened,37.23,Approved,Courier
RET-00000178,ITM-000002238,CUS-008525,2026-03-01,2026-03-10,Size/Fit,Opened,29.12,Pending,Courier
RET-00000179,ITM-000002260,CUS-000349,2020-12-03,2020-12-07,Damaged Delivery,Resellable,59.84,Processed,Courier
RET-00000180,ITM-000002261,CUS-001019,2026-02-13,2026-02-13,Size/Fit,Defective,82.18,Approved,Courier
RET-00000181,ITM-000002273,CUS-007600,2025-04-02,2025-04-09,Size/Fit,Damaged,466.84,Pending,Courier
RET-00000182,ITM-000002275,,2026-07-11,2026-07-23,Changed Mind,Damaged,43.74,Pending,Courier
RET-00000183,ITM-000002284,CUS-006403,2023-03-12,2023-03-25,Defective Product,Opened,124.91,Approved,Store
RET-00000184,ITM-000002290,CUS-003635,2021-12-25,2021-12-27,Not as Described,Damaged,58.64,Approved,Courier
RET-00000185,ITM-000002325,CUS-011562,2026-03-15,2026-03-23,Size/Fit,Defective,355.68,Approved,Courier
RET-00000186,ITM-000002337,CUS-006756,2024-10-17,2024-10-29,Changed Mind,Damaged,52.59,Pending,Courier
RET-00000187,ITM-000002374,CUS-009298,2022-10-03,2022-10-11,Defective Product,Opened,57.3,Approved,Store
RET-00000188,ITM-000002380,CUS-000053,2021-01-19,2021-01-26,Wrong Item,Opened,33.55,Approved,Store
RET-00000189,ITM-000002385,CUS-003426,2021-06-23,2021-07-02,Changed Mind,Opened,127.53,Pending,Courier
RET-00000190,ITM-000002396,CUS-006751,2022-12-09,2022-12-09,Damaged Delivery,Defective,45.67,Pending,Store
RET-00000191,ITM-000002397,CUS-011210,2025-05-12,2025-05-16,Not as Described,Resellable,215.02,Approved,Courier
RET-00000192,ITM-000002413,CUS-009660,2021-12-24,2021-12-30,,Damaged,79.34,Approved,Courier
RET-00000193,ITM-000002423,CUS-011915,2020-04-09,2020-04-12,Not as Described,Defective,34.72,Approved,Store
RET-00000194,ITM-000002435,CUS-002798,2022-08-15,2022-08-15,Changed Mind,Damaged,45.74,Pending,Store
RET-00000195,ITM-000002446,CUS-010412,2020-06-07,2020-06-10,Defective Product,Defective,59.83,Processed,Courier
RET-00000196,ITM-000002448,CUS-002957,2020-10-03,2020-10-16,Changed Mind,Damaged,97.43,Approved,Courier
RET-00000197,ITM-000002468,CUS-004665,2026-03-07,2026-03-11,Changed Mind,Damaged,138.9,Pending,Store
RET-00000198,ITM-000002472,CUS-008886,2020-05-29,2020-06-06,Not as Described,Opened,19.7,Pending,Courier
RET-00000199,ITM-000002502,CUS-009844,2023-11-04,2023-11-13,Size/Fit,Resellable,67.52,Pending,Courier
RET-00000200,ITM-000002509,CUS-000864,2023-03-19,2023-04-01,Size/Fit,Opened,51.06,Pending,Courier
RET-00000201,ITM-000002513,CUS-007440,2025-04-24,2025-04-28,Not as Described,Opened,140.43,Approved,Store
RET-00000202,ITM-000002554,CUS-004300,2025-07-21,2025-07-24,Size/Fit,Resellable,63.68,Pending,Store
RET-00000203,ITM-000002555,CUS-006763,2025-05-21,2025-05-25,Wrong Item,Opened,12.86,Pending,Courier
RET-00000204,ITM-000002560,,2024-12-22,2025-01-01,Size/Fit,Defective,107.74,Pending,Courier
RET-00000205,ITM-000002569,CUS-005606,2022-10-22,2022-10-30,Changed Mind,Damaged,61.46,Processed,Store
RET-00000206,ITM-000002579,CUS-008785,2026-04-25,2026-05-05,Size/Fit,Defective,355.68,Approved,Courier
RET-00000207,ITM-000002588,CUS-002017,2020-06-25,2020-07-08,Not as Described,Resellable,11.89,Pending,Courier
RET-00000208,ITM-000002590,CUS-002867,2025-09-08,2025-09-19,Changed Mind,Defective,68.31,Processed,Store
RET-00000209,ITM-000002591,CUS-010811,2022-02-26,2022-03-05,Changed Mind,Opened,440.62,Pending,Store
RET-00000210,ITM-000002597,CUS-007981,2021-07-27,2021-08-05,Size/Fit,Resellable,232.95,Approved,Courier
RET-00000211,ITM-000002610,CUS-009086,2025-02-05,2025-02-15,Defective Product,Resellable,45.87,Processed,Courier
RET-00000212,ITM-000002618,CUS-003915,2020-04-28,2020-05-06,Changed Mind,Resellable,192.87,Approved,Courier
RET-00000213,ITM-000002621,CUS-009751,2021-06-07,2021-06-17,Defective Product,Resellable,39.48,Approved,Store
RET-00000214,ITM-000002636,CUS-003686,2024-12-29,2024-12-31,Defective Product,Resellable,216.88,Processed,Courier
RET-00000215,ITM-000002668,CUS-004138,2024-11-20,2024-12-01,Size/Fit,Opened,121.4,Processed,Store
RET-00000216,ITM-000002685,CUS-004407,2024-09-19,2024-09-28,Defective Product,Damaged,19.41,Approved,Courier
RET-00000217,ITM-000002686,CUS-003412,2026-04-22,2026-04-25,Not as Described,Opened,123.29,Approved,Courier
RET-00000218,ITM-000002687,CUS-003412,2026-04-19,2026-04-20,Not as Described,Resellable,68.66,Processed,Courier
RET-00000219,ITM-000002694,CUS-007306,2024-11-11,2024-11-16,Changed Mind,Damaged,32.1,Processed,Store
RET-00000220,ITM-000002698,CUS-007837,2021-02-08,2021-02-12,Not as Described,Defective,72.26,Processed,Store
RET-00000221,ITM-000002701,CUS-011909,2025-10-05,2025-10-10,Damaged Delivery,Defective,31.83,Processed,Courier
RET-00000222,ITM-000002715,CUS-002352,2026-02-15,2026-02-27,Size/Fit,Defective,40.62,Processed,Courier
RET-00000223,ITM-000002739,CUS-007273,2022-09-07,2022-09-18,Defective Product,Resellable,93.33,Processed,Courier
RET-00000224,ITM-000002747,CUS-009999,2023-06-13,2023-06-22,Not as Described,Resellable,390.6,Processed,Courier
RET-00000225,ITM-000002796,CUS-005699,2020-06-18,2020-06-19,,Defective,197.42,Approved,Courier
RET-00000226,ITM-000002799,CUS-002751,2023-04-24,2023-04-26,Changed Mind,Defective,126.27,Pending,Courier
RET-00000227,ITM-000002808,CUS-000951,2026-06-27,2026-06-30,Wrong Item,Defective,34.43,Processed,Courier
RET-00000228,ITM-000002819,CUS-005857,2024-06-10,2024-06-15,Size/Fit,Resellable,27.27,Approved,Courier
RET-00000229,ITM-000002825,CUS-005398,2020-05-24,2020-05-31,Wrong Item,Opened,81.15,Processed,Store
RET-00000230,ITM-000002834,CUS-002414,2024-10-31,2024-11-11,Changed Mind,Resellable,107.96,Processed,Store
RET-00000231,ITM-000002848,CUS-004086,2022-05-23,2022-06-05,Size/Fit,Defective,524.34,Pending,Courier
RET-00000232,ITM-000002857,CUS-001627,2025-02-24,2025-03-06,Not as Described,Resellable,269.18,Approved,Courier
RET-00000233,ITM-000002860,CUS-001960,2026-05-20,2026-05-20,Not as Described,Opened,41.06,Processed,Courier
RET-00000234,ITM-000002867,CUS-003992,2025-04-22,2025-05-02,Damaged Delivery,Damaged,143.36,Pending,Courier
RET-00000235,ITM-000002881,CUS-003051,2025-06-08,2025-06-15,Changed Mind,Damaged,74.71,Approved,Courier
RET-00000236,ITM-000002883,CUS-003051,2025-06-10,2025-06-13,Size/Fit,Defective,34.72,Approved,Store
RET-00000237,ITM-000002919,CUS-000235,2026-08-17,2026-08-20,Changed Mind,Damaged,142.93,Processed,Courier
RET-00000238,ITM-000002926,CUS-006760,2021-12-07,2021-12-11,Changed Mind,Damaged,21.89,Approved,Store
